node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
veas-as,VEAS AS,organisasjon,matsvinn-sirkulaer,kompost-jordprodukt,NO,"Regional avløpsressursaktør med Veas-jord og andre jord-/gjødselprodukter fra avløpsressurser; eksisterende biogass-/gjødsel-aktor berikes inn i kompost-/jordproduktcellen.",,2026,920171400,https://veas.nu/baerekraft-og-samfunnsansvar/miljo/,primary,machine_verified,hoy,2026-07-02,"Egen side dokumenterer Veas-jord og flytende nitrogenprodukt fra avløpsressurser; Brreg-validert i tidligere MVK-pass. Kontroller faktisk produktvolum og marked før hard claim-lock."
veas-marked-as,VEAS MARKED AS,organisasjon,matsvinn-sirkulaer,kompost-jordprodukt,NO,"Veas-selskap for markedsføring og salg av ressursprodukter, inkludert Veas-jord og gjødselprodukter fra avløpsressurser; eksisterende biogass-/gjødsel-aktor berikes.",,2026,920652336,https://veas.nu/ressursene-i-avlopsvannet-2/gjodsel/,primary,machine_verified,hoy,2026-07-02,"Veas-side dokumenterer jordforbedrings- og gjødselprodukter; Brreg-validert i tidligere MVK-pass. Kontroller konsernrolle, produktvolum og omsetningskanal før hard claim-lock."
minorga-vekst-as,MINORGA VEKST AS,organisasjon,matsvinn-sirkulaer,kompost-jordprodukt,NO,"Omsettings- og jordproduksjonsselskap knyttet til mineralorganisk gjødsel og jordprodukter basert på biorest, slam og hageavfallskompost fra IVAR-systemet; eksisterende gjødsel-/jordforbedringsaktor berikes.",,2026,997863623,https://www.ivar.no/getfile.php/13126631-1569567962/IVAR%20Dokumenter/Innkalling%20Styret%20IVAR%20IKS%20-%2004.10.2019.pdf,public,machine_verified,middels,2026-07-02,"IVAR-styresak dokumenterer Minorga Veksts jordproduksjonsrolle; Brreg-validert i tidligere MVK-pass. Kilden er eldre og rollen bør kontrolleres mot nyere primærkilde før hard claim-lock."
avfall-sor-naering-as,AVFALL SØR NÆRING AS,organisasjon,matsvinn-sirkulaer,kompost-jordprodukt,NO,"Brreg-aktiv avfalls-/deponiaktør som markedsfører og selger tjenester knyttet til næringsavfall og jordprodukter.",,2026,921837410,https://data.brreg.no/enhetsregisteret/api/enheter/921837410,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg API validert aktiv AS 2026-07-02; NACE 38.320; registertekst bekrefter jordprodukter og avfallsrolle, men ikke kompostandel, produktvolum eller avsetningsmarked."
glenne-kompostjord-as,GLENNE KOMPOSTJORD AS,organisasjon,matsvinn-sirkulaer,kompost-jordprodukt,NO,"Brreg-aktiv jord-/kompostjordaktør med registertekst for jord, kompostjord og jord med høyt innhold av mikroliv.",,2026,923162798,https://data.brreg.no/enhetsregisteret/api/enheter/923162798,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg API validert aktiv AS 2026-07-02; NACE 20.150; bekrefter kompostjord-/jordproduktrolle, men ikke innsatsmateriale, produksjonsvolum eller marked."
hardanger-sand-og-kompost-as,HARDANGER SAND OG KOMPOST AS,organisasjon,matsvinn-sirkulaer,kompost-jordprodukt,NO,"Brreg-aktiv materialgjenvinningsaktør for mottak og kompostering av avfall samt salg av stein, sand og jord.",,2026,827116742,https://data.brreg.no/enhetsregisteret/api/enheter/827116742,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg API validert aktiv AS 2026-07-02; NACE 38.210; bekrefter mottak/kompostering av avfall og salg av jord, men ikke fraksjoner, mengder eller driftsstatus utover aktiv enhet."
kompostering-as,KOMPOSTERING AS,organisasjon,matsvinn-sirkulaer,kompost-jordprodukt,NO,"Brreg-aktiv materialgjenvinningsaktør for kompostering, salg av vekstjord, sortering og gjenvinning av produkter fra massetipp og transport.",,2026,988557897,https://data.brreg.no/enhetsregisteret/api/enheter/988557897,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg API validert aktiv AS 2026-07-02; NACE 38.210; bekrefter kompostering og vekstjord, men ikke aktuell kapasitet, innsatsmaterialer eller produktvolum."
midt-telemark-jordforedling-as,MIDT-TELEMARK JORDFOREDLING AS,organisasjon,matsvinn-sirkulaer,kompost-jordprodukt,NO,"Brreg-aktiv materialgjenvinningsaktør for foredling av jord og annet organisk avfall.",,2026,926425552,https://data.brreg.no/enhetsregisteret/api/enheter/926425552,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg API validert aktiv AS 2026-07-02; NACE 38.210; bekrefter jordforedling og organisk avfall, men ikke råvarestrøm, produktvolum eller avsetning."
eirs-jord-as,EIRS JORD AS,organisasjon,matsvinn-sirkulaer,kompost-jordprodukt,NO,"Brreg-aktiv komposterings- og dyrkingsaktør som tilbyr kurs, rådgivning, komposteringsutstyr og komposteringstjenester.",,2026,936966195,https://data.brreg.no/enhetsregisteret/api/enheter/936966195,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg API validert aktiv AS 2026-07-02; NACE 85.597; bekrefter komposteringstjenester og utstyr, men ikke egen jordproduktproduksjon, volum eller kundegrunnlag."
kompostmakk-ostbo,KOMPOSTMAKK ØSTBØ,organisasjon,matsvinn-sirkulaer,kompost-jordprodukt,NO,"Brreg-aktiv vermikompostaktør som driver oppdrett av kompostmakk og produserer kompost/castings for hobbydyrkere og andre som vil kompostere matavfall.",,2026,934595009,https://data.brreg.no/enhetsregisteret/api/enheter/934595009,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg API validert aktiv ENK 2026-07-02; NACE 01.489; registertekst bekrefter kompostmakk, matavfallskompostering og kompostproduksjon, men ikke volum eller marked."
