node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
matsentralen-norge,Matsentralen Norge,organisasjon,matsvinn-sirkulaer,matredistribusjon,NO,"Paraplyorganisasjon for nettverket av matsentraler i Norge; kobler overskuddsmat fra matbransjen til ideelle organisasjoner.",,2026,919702974,https://www.matsentralen.no/kontakt,primary,machine_verified,hoy,2026-06-26,"Kontakt-/nettverksside oppgir 8 matsentraler og org.nr.; Brreg API validert 919702974"
matsentralen-innlandet,Matsentralen Innlandet,organisasjon,matsvinn-sirkulaer,matredistribusjon,NO,"Regional matsentral i Matsentralen-nettverket med adresse Stolvstadlia 7b i Rudshogda.",,2026,,https://www.matsentralen.no/kontakt,primary,machine_verified,hoy,2026-06-26,"Oppfort paa Matsentralen Norges kontaktside med e-post og telefon"
matsentralen-nord-norge,Matsentralen Nord-Norge,organisasjon,matsvinn-sirkulaer,matredistribusjon,NO,"Regional matsentral i Matsentralen-nettverket med adresse Strandveien 144c i Tromso.",,2026,,https://www.matsentralen.no/kontakt,primary,machine_verified,hoy,2026-06-26,"Oppfort paa Matsentralen Norges kontaktside med e-post og telefon"
matsentralen-ost,Matsentralen Ost,organisasjon,matsvinn-sirkulaer,matredistribusjon,NO,"Regional matsentral i Matsentralen-nettverket med adresse Gladengveien 17 i Oslo.",,2026,,https://www.matsentralen.no/kontakt,primary,machine_verified,hoy,2026-06-26,"Oppfort paa Matsentralen Norges kontaktside med e-post og telefon"
matsentralen-rogaland,Matsentralen Rogaland,organisasjon,matsvinn-sirkulaer,matredistribusjon,NO,"Regional matsentral i Matsentralen-nettverket med adresse Hoveveien 9 i Sandnes.",,2026,,https://www.matsentralen.no/kontakt,primary,machine_verified,hoy,2026-06-26,"Oppfort paa Matsentralen Norges kontaktside med e-post og telefon"
matsentralen-sor,Matsentralen Sor,organisasjon,matsvinn-sirkulaer,matredistribusjon,NO,"Regional matsentral i Matsentralen-nettverket med adresse Barstolveien 46 A i Kristiansand.",,2026,,https://www.matsentralen.no/kontakt,primary,machine_verified,hoy,2026-06-26,"Oppfort paa Matsentralen Norges kontaktside med e-post og telefon"
matsentralen-trondelag,Matsentralen Trondelag,organisasjon,matsvinn-sirkulaer,matredistribusjon,NO,"Regional matsentral i Matsentralen-nettverket med adresse Nordslettvegen 3 i Trondheim.",,2026,,https://www.matsentralen.no/kontakt,primary,machine_verified,hoy,2026-06-26,"Oppfort paa Matsentralen Norges kontaktside med e-post og telefon"
matsentralen-vestfold-telemark,Matsentralen Vestfold og Telemark,organisasjon,matsvinn-sirkulaer,matredistribusjon,NO,"Regional matsentral i Matsentralen-nettverket med adresse Hegdalveien 84 i Larvik.",,2026,,https://www.matsentralen.no/kontakt,primary,machine_verified,hoy,2026-06-26,"Oppfort paa Matsentralen Norges kontaktside med e-post og telefon"
matsentralen-vestland,Matsentralen Vestland,organisasjon,matsvinn-sirkulaer,matredistribusjon,NO,"Regional matsentral i Matsentralen-nettverket med adresse Toppemyr 7 i Mjolkeraen.",,2026,,https://www.matsentralen.no/kontakt,primary,machine_verified,hoy,2026-06-26,"Oppfort paa Matsentralen Norges kontaktside med e-post og telefon"
matvett,Matvett AS,organisasjon,matsvinn-sirkulaer,matredistribusjon,NO,"Mat- og serveringsbransjens satsing for aa forebygge og redusere matsvinn i Norge.",,2026,997898397,https://www.matvett.no/bransje/kontakt,primary,machine_verified,hoy,2026-06-26,"Egen kontaktside beskriver rolle; Brreg API validert 997898397"
