node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
almgard-is-as,ALMGARD IS AS,organisasjon,foredling-industri,meieri,NO,"Brreg-registrert aktor i foredling-industri/meieri med 10.520 (Produksjon av iskrem og andre spiselige isprodukter). Produksjon av iskrem. Iskremproduksjon og andre produkter/tjenester som naturlig hører samman med dette, herunder å delta i andre selskap med lignende virksohet, og kjøp og salg av aksjer eller annen måte å gjøre sen interessert i andre foretak.",,2026,918858229,https://data.brreg.no/enhetsregisteret/api/enheter/918858229,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.520; ingen Company-rad funnet i lokal DB ved pre-dedup.
avdem-gardsysteri-as,AVDEM GARDSYSTERI AS,organisasjon,foredling-industri,meieri,NO,"Brreg-registrert aktor i foredling-industri/meieri med 10.510 (Produksjon av meierivarer). Produksjon og sal av ost og andre mjølkeprodukt basert på lokal mjølk, og gjennom dette drive kunnskaps- og kulturformidling om mat- og handverkstradisjonar. Selskapet kan også engasjere seg i andre prosjekt og selskap som aukar lokal foredling, eller på annen måte medverkar til lokal verdiskaping. Produksjon og sal av ost og andre mjølkeprodukt basert på lokal mjølk, og gjennom dette drive kunnskaps- og kulturformid",,2026,984083157,https://data.brreg.no/enhetsregisteret/api/enheter/984083157,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.510; ingen Company-rad funnet i lokal DB ved pre-dedup.
dalati-dairy-as,DALATI DAIRY AS,organisasjon,foredling-industri,meieri,NO,"Brreg-registrert aktor i foredling-industri/meieri med 10.510 (Produksjon av meierivarer). Produksjon og salg av ost, yoghurt og andre meieriprodukter. Produksjon og salg av ost, yoghurt og andre meieriprodukter.",,2026,924389907,https://data.brreg.no/enhetsregisteret/api/enheter/924389907,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.510; ingen Company-rad funnet i lokal DB ved pre-dedup.
det-norske-meieri-as,DET NORSKE MEIERI AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert aktor i foredling-industri/meieri med 10.510 (Produksjon av meierivarer). Produksjon av meierivarer. Produksjon av meierivarer.,,2026,925075981,https://data.brreg.no/enhetsregisteret/api/enheter/925075981,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.510; ingen Company-rad funnet i lokal DB ved pre-dedup.
diplom-is-as,DIPLOM-IS AS,organisasjon,foredling-industri,meieri,NO,"Brreg-registrert aktor i foredling-industri/meieri med 10.520 (Produksjon av iskrem og andre spiselige isprodukter). Foredling av jordbruksprodukter ved produksjon og markedsføring av iskrem og andre frosne produkter, samt hva hermed står i forbindelse. Produksjon og markedsføring av andre produkter som har tilknytning til virksomheten. Deltagelse med innskudd, eierandeler eller på annen måte i selskaper eller organisasjoner som har sammenheng med virksomhet. Foredling av jordbruksprodukter ved produksjon og markedsføring av iskrem",,2026,984460198,https://data.brreg.no/enhetsregisteret/api/enheter/984460198,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.520; ingen Company-rad funnet i lokal DB ved pre-dedup.
dolcevidda-iskremeri-as,DOLCEVIDDA ISKREMERI AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert aktor i foredling-industri/meieri med 10.520 (Produksjon av iskrem og andre spiselige isprodukter). Produksjon og salg av iskrem og konditoriprodukter. Produksjon og salg av iskrem og konditoriprodukter.,,2026,918969985,https://data.brreg.no/enhetsregisteret/api/enheter/918969985,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.520; ingen Company-rad funnet i lokal DB ved pre-dedup.
eggen-gardsysteri-as,EGGEN GARDSYSTERI AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert aktor i foredling-industri/meieri med 10.510 (Produksjon av meierivarer). Ysteri. Produksjon og salg av ulike typer osteprodukter ved bruk av medlemmers mjølk. Drift av ysteri med produksjon av ulike typer produkter laget av økologisk melk. Foretaket skal drive sin virksomhet i lokalene på Eggen Gård gnr.10 bnr.4 beliggende i Vingeln i Tolga kommune.,,2026,993427799,https://data.brreg.no/enhetsregisteret/api/enheter/993427799,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.510; ingen Company-rad funnet i lokal DB ved pre-dedup.
heidal-ysteri-as,HEIDAL YSTERI AS,organisasjon,foredling-industri,meieri,NO,"Brreg-registrert aktor i foredling-industri/meieri med 10.510 (Produksjon av meierivarer). Produksjon av brunost, samt ved aksjetegning eller på annen måte gjøre seg interessert i andre foretagener. I tillegg lafting og restaureringsarbeid, samt annen virksomhet i naturlig tilknytning til dette. Produksjon av brunost, samt ved aksjetegning eller på annen måte gjøre seg interessert i andre foretagener. I tillegg lafting og restaureringsarbeid, samt annen virksomhet i naturlig tilknytning til dette.",,2026,979984235,https://data.brreg.no/enhetsregisteret/api/enheter/979984235,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.510; ingen Company-rad funnet i lokal DB ved pre-dedup.
hennig-olsen-is-as,HENNIG-OLSEN IS AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert aktor i foredling-industri/meieri med 10.520 (Produksjon av iskrem og andre spiselige isprodukter). Produksjon og salg av iskrem. Drive produksjon og salg av iskrem og alt som står i forbindelse hermed.,,2026,987094753,https://data.brreg.no/enhetsregisteret/api/enheter/987094753,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.520; ingen Company-rad funnet i lokal DB ved pre-dedup.
isbj-rn-is-as,ISBJØRN IS AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert aktor i foredling-industri/meieri med 10.520 (Produksjon av iskrem og andre spiselige isprodukter). Produsere og selge iskrem. Selskapets formål er å drive produksjon og salg av iskrem.,,2026,998767571,https://data.brreg.no/enhetsregisteret/api/enheter/998767571,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.520; ingen Company-rad funnet i lokal DB ved pre-dedup.
