node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
agra-foods-as,AGRA FOODS AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,"Brreg-registrert aktor i foredling-industri/naeringsmiddel-ovrig med 10.890 (Produksjon av næringsmidler ikke nevnt annet sted). Drive tilvirkning av margarin, smult, smør, tek- niske fettstoffer og lignende produkter og de for fremmstilling av forannevnte produkter nødvendige råstoffer, samt utøve enhver i sammenheng dermed stående virksomhet. Å delta direkte eller indirekte i tilvirkning, markedsføring og salg av næringsmidler, samt annen virksomhet som står i forbindelse med dette.",,2026,910098071,https://data.brreg.no/enhetsregisteret/api/enheter/910098071,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.890; ingen Company-rad funnet i lokal DB ved pre-dedup.
arctic-bioscience-as,ARCTIC BIOSCIENCE AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,"Brreg-registrert aktor i foredling-industri/naeringsmiddel-ovrig med 10.410 (Produksjon av oljer og fettstoffer). Iidentifisere og kommersialisere marine virkestoffer og alt som derved står i forbindelse, herunder deltagelse i andre selskaper og virksomheter. Identifisere og kommersialisere marine virkestoffer og alt som derved står i forbindelse, herunder deltagelse i andre selskaper og virksomheter.",,2026,996638812,https://data.brreg.no/enhetsregisteret/api/enheter/996638812,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.410; ingen Company-rad funnet i lokal DB ved pre-dedup.
arctic-mustard-as,ARCTIC MUSTARD AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert aktor i foredling-industri/naeringsmiddel-ovrig med 10.840 (Produksjon av smakstilsettingsstoffer og krydderier). Produksjon og salg av sennepssauser. Å drive produksjon og salg av senneps produkter samt alt som hører inn under dette. Selskapet skal også arbeide med å utvikle senneps-relaterte produkter.,,2026,913866126,https://data.brreg.no/enhetsregisteret/api/enheter/913866126,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.840; ingen Company-rad funnet i lokal DB ved pre-dedup.
arctic-natural-nutrition-as,ARCTIC NATURAL NUTRITION AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,"Brreg-registrert aktor i foredling-industri/naeringsmiddel-ovrig med 10.890 (Produksjon av næringsmidler ikke nevnt annet sted). Utvikling og bearbeidelse av råvarene frukt og grønnsaker som vil bli videreforedlet til kosttilskudd og andre ernæringsprodukter. Dette omfatter også distribusjon og salg av kosttilskudd og andre ernæringsprodukter. Utvikling, produksjon, salg og distribusjon av kosttilskudd og andre ernæringsprodukter.",,2026,928103668,https://data.brreg.no/enhetsregisteret/api/enheter/928103668,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.890; ingen Company-rad funnet i lokal DB ved pre-dedup.
arctic-protein-industries-as,ARCTIC PROTEIN INDUSTRIES AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert aktor i foredling-industri/naeringsmiddel-ovrig med 10.890 (Produksjon av næringsmidler ikke nevnt annet sted). Produsere protein som skal selges til dyrefôrprodusenter og fiskefôrprodusenter. Produksjon av insekt- og gjødselprodukter.,,2026,931863444,https://data.brreg.no/enhetsregisteret/api/enheter/931863444,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.890; ingen Company-rad funnet i lokal DB ved pre-dedup.
arcticblueberry-as,ARCTICBLUEBERRY AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,"Brreg-registrert aktor i foredling-industri/naeringsmiddel-ovrig med 10.890 (Produksjon av næringsmidler ikke nevnt annet sted). Produksjon og salg av blåbærkonsentrat, pulver, produkter av andre bær og andre produkter som naturlig hører sammen med dette, herunder å delta i andre selskap med lignende, virksomhet, og kjøp og salg av aksjer eller på annen måte gjøre seg interessert i andre foretak. Spa, manikyr, pedikyr, fotpleie ,negler, kroppsbehandlinger, ansiktsbehandling, skjønnhetspleie og annen forebyggende helsetjenester. Produksjon og s",,2026,920295959,https://data.brreg.no/enhetsregisteret/api/enheter/920295959,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.890; ingen Company-rad funnet i lokal DB ved pre-dedup.
asian-home-cooking-as,ASIAN HOME COOKING AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,"Brreg-registrert aktor i foredling-industri/naeringsmiddel-ovrig med 10.890 (Produksjon av næringsmidler ikke nevnt annet sted). Produksjon og salg av mat, drikke og tilhørende utstyr, samt kjøp og salg av varer og det som naturlig står i forbindelse med dette. Produksjon og salg av mat, drikke og tilhørende utstyr, samt kjøp og salg av varer og det som naturlig står i forbindelse med dette.",,2026,974452901,https://data.brreg.no/enhetsregisteret/api/enheter/974452901,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.890; ingen Company-rad funnet i lokal DB ved pre-dedup.
austratt-kaffebrenneri-as,AUSTRÅTT KAFFEBRENNERI AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,"Brreg-registrert aktor i foredling-industri/naeringsmiddel-ovrig med 10.830 (Bearbeiding av te og kaffe). Kaffebrenning, produksjon og salg av kafferelaterte produkter. Kaffebrenning, produksjon og salg av kafferelaterte produkter.",,2026,921902743,https://data.brreg.no/enhetsregisteret/api/enheter/921902743,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.830; ingen Company-rad funnet i lokal DB ved pre-dedup.
b-culture-as,B. CULTURE AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,"Brreg-registrert aktor i foredling-industri/naeringsmiddel-ovrig med 10.840 (Produksjon av smakstilsettingsstoffer og krydderier). Utvikling av sauser, dressinger, marinader etc. Utvikling og salg av livsmedel (sauser, dressinger, eddik og marinader).",,2026,925836192,https://data.brreg.no/enhetsregisteret/api/enheter/925836192,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.840; ingen Company-rad funnet i lokal DB ved pre-dedup.
berg-lipidtech-as,BERG LIPIDTECH AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,"Brreg-registrert aktor i foredling-industri/naeringsmiddel-ovrig med 10.410 (Produksjon av oljer og fettstoffer). Drive produksjon og salg av marine fiskeoljer, samt ved aksjetegning eller på annen måte gjøre seg interessert i andre økonomiske foretak. Drive produksjon og salg av marine fiskeoljer, samt ved aksjetegning eller på annen måte gjøre seg interessert i andre økonomiske foretak.",,2026,924042958,https://data.brreg.no/enhetsregisteret/api/enheter/924042958,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.410; ingen Company-rad funnet i lokal DB ved pre-dedup.
