node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
debio,DEBIO,organisasjon,okologi-sertifisering,kontrollorgan-merkeordning,NO,"Brreg-registrert aktor i okologi-sertifisering med 71.200 (Teknisk prøving og analyse). Regelutvikling, kontroll og godkjenning av økologisk produksjon, foredling og import.",,2026,971475471,https://data.brreg.no/enhetsregisteret/api/enheter/971475471,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 71.200; sentralt kontroll-/sertifiseringsorgan for okologisk produksjon og O-merket.
debio-marked-as,DEBIO MARKED AS,organisasjon,okologi-sertifisering,kontrollorgan-merkeordning,NO,"Brreg-registrert aktor i okologi-sertifisering med 85.597 (Annen undervisning ellers). Informere, veilede og drive utviklingsprosjekt innen økologi og på andre bærekraftige områder.",,2026,915190715,https://data.brreg.no/enhetsregisteret/api/enheter/915190715,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.597; markeds-/kompetanseaktor knyttet til Debio og O-merket; rolle maa avgrenses per claim.
stiftelsen-norsk-mat,STIFTELSEN NORSK MAT,organisasjon,okologi-sertifisering,kontrollorgan-merkeordning,NO,Brreg-registrert aktor i okologi-sertifisering med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers). Å styrke konkurranseevnen til norsk matproduksjon.,,2026,990675627,https://data.brreg.no/enhetsregisteret/api/enheter/990675627,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.992; merkeordnings-/kvalitetssystemaktor; okologikobling maa avgrenses per claim.
mattilsynet,MATTILSYNET,organisasjon,okologi-sertifisering,kontrollorgan-merkeordning,NO,Brreg-registrert aktor i okologi-sertifisering med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Offentlig tilsyn,,2026,985399077,https://data.brreg.no/enhetsregisteret/api/enheter/985399077,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; tilsynsmyndighet for matomraadet og okologiregelverk/produksjon.
landbruksdirektoratet,LANDBRUKSDIREKTORATET,organisasjon,okologi-sertifisering,kontrollorgan-merkeordning,NO,Brreg-registrert aktor i okologi-sertifisering med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Utøvende og rådgivende forvaltningsorgan underlagt Landbruksdepartementet,,2026,981544315,https://data.brreg.no/enhetsregisteret/api/enheter/981544315,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; myndighetsaktor for okologisk jordbruksrapportering og virkemidler.
norsk-akkreditering,NORSK AKKREDITERING,organisasjon,okologi-sertifisering,kontrollorgan-merkeordning,NO,"Brreg-registrert aktor i okologi-sertifisering med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Akkreditering, kvalitetssystemer",,2026,986028307,https://data.brreg.no/enhetsregisteret/api/enheter/986028307,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; akkrediteringsmyndighet; konkret rolle mot kontrollorgan/standarder maa dokumenteres per claim.
okologisk-norge,ØKOLOGISK NORGE,organisasjon,okologi-sertifisering,kontrollorgan-merkeordning,NO,Brreg-registrert aktor i okologi-sertifisering med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers). Åpen organisasjon for alle som slutter seg til formålet. Organisasjonen vil arbeide for å fremme utviklingen av økologisk landbruk.,,2026,982512069,https://data.brreg.no/enhetsregisteret/api/enheter/982512069,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.992; organisasjon for okologisk landbruk og mat; merke-/politikkrolle maa avgrenses per claim.
norsk-okologisk-forening,NORSK ØKOLOGISK FORENING,organisasjon,okologi-sertifisering,kontrollorgan-merkeordning,NO,"Brreg-registrert aktor i okologi-sertifisering med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers). Foreningens formål er å være kontaktforum for økologer i Norge og å fremme økologi som fag i norsk, nordisk og internasjonalt perspektiv.",,2026,998568544,https://data.brreg.no/enhetsregisteret/api/enheter/998568544,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.992; okologisk organisasjonsaktor; status/aktivitet maa etterkontrolleres foer hard claim-lock.
kiwa-as,KIWA AS,organisasjon,okologi-sertifisering,kontrollorgan-merkeordning,NO,"Brreg-registrert aktor i okologi-sertifisering med 71.200 (Teknisk prøving og analyse). Testing, inspeksjon, og sertifisering, samt annen beslektet virksomhet.",,2026,976491696,https://data.brreg.no/enhetsregisteret/api/enheter/976491696,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 71.200; bred teknisk kontroll-/sertifiseringsaktor; mat-/okologikobling maa dokumenteres per claim.
dnv-business-assurance-norway,DNV BUSINESS ASSURANCE NORWAY AS,organisasjon,okologi-sertifisering,kontrollorgan-merkeordning,NO,"Brreg-registrert aktor i okologi-sertifisering med 71.200 (Teknisk prøving og analyse). På forretningsmessig basis å tilby tjenester for sertifisering av ledelsessystemer, produkter og personell samt tilhørende inspeksjons- og andre tjenester som er forenlig med sertifiserings- virksomheten.",,2026,959627606,https://data.brreg.no/enhetsregisteret/api/enheter/959627606,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 71.200; bred sertifiseringsaktor; mat-/okologikobling maa dokumenteres per claim.
