node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
regenerativt-norge,REGENERATIVT NORGE,nettverk,okologi-sertifisering,regenerativ-sertifisering,NO,"Brreg-registrert aktor i okologi-sertifisering med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers). Nasjonalt kompetansesenter for regenerativt og helhetlig landbruk. Vi samler folk, virksomheter, kunnskap og inspirerende praksis som bidrar til høyeste mulige vitalitet i økosystemene.",,2026,926330381,https://data.brreg.no/enhetsregisteret/api/enheter/926330381,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.992; nasjonal/regional regenerativ organisasjonsaktor; sertifiserings-/kontrollrolle maa avgrenses.
faglag-for-regenerativt-landbruk-i-trondelag,FAGLAG FOR REGENERATIVT LANDBRUK I TRØNDELAG,nettverk,okologi-sertifisering,regenerativ-sertifisering,NO,"Brreg-registrert aktor i okologi-sertifisering med 94.120 (Aktiviteter i yrkessammenslutninger). Skal være en erfaringsbase og et kompetansesenter for regenerativt landbruk i Trøndelag. Skal drive målrettet informasjonsarbeid og kunnskapsformidling innen temaet. Dette gjennom lokalt nettverk i Trøndelag for medlemmer, erfaringsutveksling gjennom markdager og gårdspresentasjoner, erfaringsutveksling og samarbeid med andre organisasjoner og aktører som driver med regenerative jordbrukspraksiser innen alle produksjoner. Organisere kurs og studieturer.",,2026,929115996,https://data.brreg.no/enhetsregisteret/api/enheter/929115996,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.120; regionalt faglag; ikke formelt sertifiseringsorgan uten ekstra kilde.
regenerativt-faglag-i-ostfold-og-akershus,REGENERATIVT FAGLAG I ØSTFOLD OG AKERSHUS,nettverk,okologi-sertifisering,regenerativ-sertifisering,NO,"Brreg-registrert aktor i okologi-sertifisering med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers). Kompetansebygging, erfaringsutveksling og informasjon innen regenerativt landbruk.",,2026,933146359,https://data.brreg.no/enhetsregisteret/api/enheter/933146359,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.992; regionalt faglag; ikke formelt sertifiseringsorgan uten ekstra kilde.
gronefed-regenerative-forening,GRØNEFED REGENERATIVE FORENING,nettverk,okologi-sertifisering,regenerativ-sertifisering,NO,"Brreg-registrert aktor i okologi-sertifisering med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers). Grønefed regenerative forening er en frivillig organisasjon med det overordnede formål om å føre samfunnet i takt med økosystemet, som både mennesker, dyr, planter og jord er en del av, ved å fremme regenerative prinsipper og regenerative driftsformer. 1. Jobbe for å aktivt sette et større fokus på regenerativ ideologi og dens fordeler for mennesket, samfunnet og naturen. 2. Arbeide for regenerativ utbredelse og utvikle den for norske forhold, blant annet gjennom informasjons- og kursvirksomhet og kontaktformidling 3. Skape en møteplass og et ressurssenter for mennesker med regenerative interesser. 4. Avholde arrangementer, samling.",,2026,927596784,https://data.brreg.no/enhetsregisteret/api/enheter/927596784,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.992; regenerativt fag-/nettverksmiljoe; rolle maa etterkontrolleres.
norsk-landbruksradgiving-sa,NORSK LANDBRUKSRÅDGIVING SA,nettverk,okologi-sertifisering,regenerativ-sertifisering,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.610 (Tjenester tilknyttet planteproduksjon). Være landbrukets førstevalg innenfor rådgivning til bønder og dyrkere på de fagområder som medlemmene etterspør og som gir størst mulig verdiskaping for bonden og dyrkeren. Foretaket skal være en aktiv og fremtidsrettet kunnskapsutvikler og formidler tilpasset bondens behov. Foretaket skal gi helhetlig og uavhengig rådgivning av høy kvalitet, som gir rom for utvikling, som bidrar til å øke medlemmenes lønnsomhet, som er attraktiv for ansatte, og som har godt fagmiljø og gir den enkelte ansatte mulighet for utvikling. Dette innebærer aktivitet innen rådgiving, kurs, forsøksvirksomhet, kompetanseutvikling og salg av tilhørende tjenes.",,2026,931892126,https://data.brreg.no/enhetsregisteret/api/enheter/931892126,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.610; raadgivingsaktor med regenerativ kurs-/kompetanserolle; sertifisering maa avgrenses.
det-kongelige-selskap-for-norges-vel,DET KONGELIGE SELSKAP FOR NORGES VEL,nettverk,okologi-sertifisering,regenerativ-sertifisering,NO,Brreg-registrert aktor i okologi-sertifisering med 72.100 (Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk). Norges Vel skal arbeide for utvikling av livskraftige lokalsamfunn.,,2026,965208739,https://data.brreg.no/enhetsregisteret/api/enheter/965208739,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 72.100; FoU-/kompetanseaktor i regenerativbonde-samarbeid; sertifiseringsrolle maa avgrenses.
jordhelse-as,JORDHELSE AS,nettverk,okologi-sertifisering,regenerativ-sertifisering,NO,Brreg-registrert aktor i okologi-sertifisering med 20.150 (Produksjon av gjødsel og nitrogenforbindelser). Gjødselproduksjon.,,2026,926019740,https://data.brreg.no/enhetsregisteret/api/enheter/926019740,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 20.150; jordhelse-/inputaktor; kontroll-/sertifiseringsrolle maa etterkontrolleres.
regenerativ-revolusjon-as,REGENERATIV REVOLUSJON AS,nettverk,okologi-sertifisering,regenerativ-sertifisering,NO,"Brreg-registrert aktor i okologi-sertifisering med 85.597 (Annen undervisning ellers). Fremme kunnskap og informasjon om den regenerative revolusjonen. Organisere aktiviteter og tilbud som støtter mennesker i prosessen med å finne sin regenerative vei. Mobilisere til, organisere og bygge en sosial, regenerativ bevegelse. Og annet som naturlig faller sammen med dette.",,2026,937127847,https://data.brreg.no/enhetsregisteret/api/enheter/937127847,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.597; opplaerings-/kompetanseaktor for regenerativ praksis; sertifiseringsrolle maa etterkontrolleres.
regenerativbonde,Regenerativ bonde,prosjekt,okologi-sertifisering,regenerativ-sertifisering,NO,"Offisiell kompetanseplattform for regenerativt landbruk, etablert gjennom samarbeid mellom Norges Vel, Regenerativt Norge og Norsk Landbruksraadgiving.",,2026,,https://www.regenerativbonde.no/,official_program_page,needs_review,hoy,2026-07-01,Offisiell prosjektside identifisert 2026-07-01; prosjekt-/kompetansenode uten egen juridisk enhet.
demeter-certification,Demeter Certification,ordning,okologi-sertifisering,regenerativ-sertifisering,NO,Offisiell Demeter-side for biodynamisk sertifisering; brukes som internasjonal ordningsnode for biodynamisk/regenerativ sertifisering.,,2026,,https://demeter.net/certification/,official_program_page,needs_review,middels,2026-07-01,Offisiell internasjonal sertifiseringsside identifisert 2026-07-01; norsk aktor/forvalter maa avklares foer hard claim-lock.
