node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
land-nettverket-npf,LAND-nettverket (Norsk Permakulturforening),nettverk,permakultur-fleraarige,demonstrasjonssteder,NO,"Permakultur-besøkssenter-/demonstrasjonsnettverk under NPF, med LAND-sentre og LAND-lærlinger.",,2026,,https://www.permakultur.no/nettverk/land/,primary,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
alvastien-telste,Alvastien Telste,gaard,permakultur-fleraarige,demonstrasjonssteder,NO,Permakultur-demonstrasjonssenter og LAND-senter på Telste i Hardanger.,,2026,,https://permacultureglobal.org/projects/869-alvastien-telste,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
bro-jorgensen-permakulturplanter,BRO-JØRGENSEN PERMAKULTURPLANTER,gaard,permakultur-fleraarige,demonstrasjonssteder,NO,"LAND-senter og planteskole-/skogshagedemonstrasjon for frukt, nøtter og flerårige vekster.",,2026,927165252,https://www.permakultur.no/nettverk/land/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
sletta-permakultursenter,Sletta Permakultursenter,gaard,permakultur-fleraarige,demonstrasjonssteder,NO,LAND-senter og permakultur-/naturbyggdemonstrasjon på Nesodden.,,2026,,https://www.instagram.com/slettapermakultursenter/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
edible-garden-stephen-barstow,The Edible Garden (Stephen Barstow),gaard,permakultur-fleraarige,demonstrasjonssteder,NO,LAND-senter/edimentals-hage i Malvik med dokumentert flerårig plantesamling.,,2026,,https://www.gbif.org/dataset/9807df89-7446-4aab-8ec8-fd837085c1a1,primary,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
dharma-mountain,Dharma Mountain,gaard,permakultur-fleraarige,demonstrasjonssteder,NO,LAND-lærling og retreatsenter med permakulturhage/skoghage under utvikling.,,2026,,https://dharmamountain.com/en/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
eldrids-skoghage,"ELDRIDS SKOGHAGE, ELDRID SKUDAL",gaard,permakultur-fleraarige,demonstrasjonssteder,NO,LAND-lærling/skoghage- og undervisningsaktør.,,2026,835810402,https://data.brreg.no/enhetsregisteret/api/enheter/835810402,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
matskogen-landas,Matskogen Landås,gaard,permakultur-fleraarige,demonstrasjonssteder,NO,"Urban, frivilligdrevet skoghage og demonstrasjonssted for flerårige matvekster i Bergen.",,2026,,https://www.matskogenlandas.no/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
efferus-holt-gaard,Efferus Planteskole & Skogshage (Holt Gård),gaard,permakultur-fleraarige,demonstrasjonssteder,NO,"LAND-lærling, skogshage, planteskole og demonstrasjonshager ved Holt Gård.",,2026,,https://www.efferus.no/en,primary,unverified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
gaiasenter,Gaiasenter,gaard,permakultur-fleraarige,demonstrasjonssteder,NO,Kurs- og retreatsenter med PDC/permakulturundervisning og dyrking.,,2026,,https://gaiasenter.no/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
hurdal-okolandsby,Hurdal Økolandsby,gaard,permakultur-fleraarige,demonstrasjonssteder,NO,Økolandsby med økologisk landbruk og permakulturorienterte beboere; demonstrasjonsstatus må avgrenses.,,2026,,https://hurdalokolandsby.no/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
permakult-celine-faudot,PERMAKULT CELINE FAUDOT,organisasjon,permakultur-fleraarige,demonstrasjonssteder,NO,Permakulturundervisning og hageprosjekt i Trøndelag.,,2026,926933450,https://data.brreg.no/enhetsregisteret/api/enheter/926933450,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
haldenkanalen-bygdehagen,Bygdehagen Aremark / Haldenkanalen Permakulturlag,prosjekt,permakultur-fleraarige,demonstrasjonssteder,NO,Lokalt demonstrasjons-/bygdehageprosjekt under Haldenkanalen Permakulturlag.,,2026,931770292,https://www.permakultur.no/haldenkanalen/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
vansjo-permakulturlag,VANSJØ PERMAKULTURLAG,organisasjon,permakultur-fleraarige,demonstrasjonssteder,NO,Lokallag med åpne møter/verksteder og lokal permakulturformidling; konkret demonstrasjonsflate må etterkontrolleres.,,2026,928251977,https://www.permakultur.no/vansjo/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
agder-permakulturlag,AGDER PERMAKULTURLAG,organisasjon,permakultur-fleraarige,demonstrasjonssteder,NO,Lokallag med kurs-/arrangementsaktivitet og lokal permakulturformidling; demonstrasjonsflate må etterkontrolleres.,,2026,932990350,https://www.permakultur.no/agder/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
nedre-glomma-permakulturlag,NORSK PERMAKULTURFORENING - LOKALLAG NEDRE GLOMMA PERMAKULTURLAG,organisasjon,permakultur-fleraarige,demonstrasjonssteder,NO,"Lokallag med arrangementer om mat, beredskap, naturveiledning og permakultur; demonstrasjonsflate må etterkontrolleres.",,2026,932810220,https://www.permakultur.no/nedre-glomma/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
