node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
kvann,KVANN (Norwegian Seed Savers),organisasjon,permakultur-fleraarige,froebevaring,NO,"Nasjonal interesseorganisasjon for bevaring, deling og bruk av nytteplante- og frømangfold.",,2026,917965137,https://kvann.no/om-oss/,primary,unverified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
nibio,NIBIO / Norsk genressurssenter,institusjon,permakultur-fleraarige,froebevaring,NO,"Nasjonalt institusjonelt anker for genressursarbeid for nytteplanter, husdyr og skogtrær.",,2026,,https://www.nibio.no/om-nibio/vare-fagdivisjoner/divisjon-for-kart-og-statistikk/norsk-genressurssenter,primary,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
nordgen,NordGen,organisasjon,permakultur-fleraarige,froebevaring,NO,Nordisk genressursinstitusjon med operativ rolle for nordisk frø-/genbankarbeid og Svalbard Global Seed Vault.,,2026,,https://www.nordgen.org/our-work/svalbard-global-seed-vault/,primary,machine_verified,hoy,2026-07-01,Nordisk institusjon registreres med NO-domene-registrering for norsk froebevaring/Svalbard-kobling; juridisk landpresisjon skal etterkontrolleres foer claim-lock.
solhatt,Solhatt Økologisk Hagebruk AS,organisasjon,permakultur-fleraarige,froebevaring,NO,"Økologisk frøaktør med norskproduserte frø, kulturarvsorter og åpenpollinerte sorter.",,2026,913997832,https://solhatt.no/om-oss/,primary,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
schubelers-hager,Schübelers hager (KVANN),nettverk,permakultur-fleraarige,froebevaring,NO,KVANN-nettverk for historiske hager og nytteplantearv; relevant for bevaring av kulturhistoriske nyttevekster.,,2026,,https://kvann.no/schubeler/om-schubelers-hager/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
svalbard-global-seed-vault,Svalbard Global Seed Vault,ordning,permakultur-fleraarige,froebevaring,NO,"Global frøhvelv-infrastruktur på Svalbard, operert i samarbeid mellom norske myndigheter, NordGen og Crop Trust.",,2026,,https://www.seedvault.no/,primary,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
fra-froe-til-fat,Fra Frø til Fat,prosjekt,permakultur-fleraarige,froebevaring,NO,"Nordisk frøsamarbeid mellom KVANN, SESAM og Frøsamlerne, finansiert gjennom Ny Nordisk Mat/Nordisk Ministerråd.",,2026,,https://kvann.no/2019/11/07/nytt-samarbeid-kvann-sesam-frosamlerne/,primary,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
lets-liberate-diversity,Let’s Liberate Diversity! (EC-LLD),nettverk,permakultur-fleraarige,froebevaring,NO,Europeisk frøsuverenitetsnettverk med nordiske medlemmer og norsk relevans via KVANN.,,2026,,https://liberatediversity.org/the-network/members/,primary,machine_verified,middels,2026-07-01,Nettverksnode med norsk relevans via KVANN; ikke bruk som bevis for norsk medlems- eller frøvolum uten separat kilde.
norgro-as,NORGRO AS,organisasjon,permakultur-fleraarige,froebevaring,NO,"Leverandør av såvarer, plantemateriale og frø til yrkesdyrkere; relevant bred frøforsyningsaktør.",,2026,960117883,https://www.norgro.no/om-norgro,primary,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
norsk-froavlerlag,Norsk Frøavlerlag,organisasjon,permakultur-fleraarige,froebevaring,NO,"Samarbeidsorgan for lokale frøavlerlag som organiserer norsk frøavl av engvekster, grøntanlegg og andre frø til modning.",,2026,984027761,https://www.froavlerlaget.no/om-oss/,primary,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
