node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
norsk-permakulturforening,NORSK PERMAKULTURFORENING,organisasjon,permakultur-fleraarige,permakultur-foreninger,NO,Brreg-registrert nasjonal forening i permakultur-fleraarige med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,980712087,https://data.brreg.no/enhetsregisteret/api/enheter/980712087,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv FLI 2026-07-01; nasjonal permakulturforening. Rolle-/lokallagsstatus kontrolleres mot NPF-side foer claim-lock.
nedre-glomma-permakulturlag,NORSK PERMAKULTURFORENING - LOKALLAG NEDRE GLOMMA PERMAKULTURLAG,organisasjon,permakultur-fleraarige,permakultur-foreninger,NO,Brreg-registrert lokallag i permakultur-fleraarige med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,932810220,https://data.brreg.no/enhetsregisteret/api/enheter/932810220,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
baerum-permakulturforening,BÆRUM PERMAKULTURFORENING,organisasjon,permakultur-fleraarige,permakultur-foreninger,NO,Brreg-registrert lokal forening i permakultur-fleraarige med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,912694259,https://data.brreg.no/enhetsregisteret/api/enheter/912694259,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
rogaland-permakulturforening,ROGALAND PERMAKULTURFORENING,organisasjon,permakultur-fleraarige,permakultur-foreninger,NO,Brreg-registrert lokal forening i permakultur-fleraarige med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,930854468,https://data.brreg.no/enhetsregisteret/api/enheter/930854468,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
agder-permakulturlag,AGDER PERMAKULTURLAG,organisasjon,permakultur-fleraarige,permakultur-foreninger,NO,Brreg-registrert lokallag i permakultur-fleraarige med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,932990350,https://data.brreg.no/enhetsregisteret/api/enheter/932990350,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
haldenkanalen-permakulturlag,HALDENKANALEN PERMAKULTURLAG,organisasjon,permakultur-fleraarige,permakultur-foreninger,NO,Brreg-registrert lokallag i permakultur-fleraarige med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,931770292,https://data.brreg.no/enhetsregisteret/api/enheter/931770292,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
helgeland-permakulturlag,HELGELAND PERMAKULTURLAG,organisasjon,permakultur-fleraarige,permakultur-foreninger,NO,Brreg-registrert lokallag i permakultur-fleraarige med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,937448074,https://data.brreg.no/enhetsregisteret/api/enheter/937448074,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
vansjo-permakulturlag,VANSJØ PERMAKULTURLAG,organisasjon,permakultur-fleraarige,permakultur-foreninger,NO,Brreg-registrert lokallag i permakultur-fleraarige med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,928251977,https://data.brreg.no/enhetsregisteret/api/enheter/928251977,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
vestfold-permakulturlag,VESTFOLD PERMAKULTURLAG,organisasjon,permakultur-fleraarige,permakultur-foreninger,NO,Brreg-registrert lokallag i permakultur-fleraarige med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,833692852,https://data.brreg.no/enhetsregisteret/api/enheter/833692852,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
innlandet-permakultur-lokallag,NORSK PERMAKULTURFORENING- LOKALLAG INNLANDET,organisasjon,permakultur-fleraarige,permakultur-foreninger,NO,Brreg-registrert lokallag i permakultur-fleraarige med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,926509535,https://data.brreg.no/enhetsregisteret/api/enheter/926509535,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
oslo-og-omegn-permakulturlag,OSLO OG OMEGN PERMAKULTURLAG,organisasjon,permakultur-fleraarige,permakultur-foreninger,NO,Brreg-registrert lokallag i permakultur-fleraarige med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,937587740,https://data.brreg.no/enhetsregisteret/api/enheter/937587740,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
nesodden-nordre-frogn-permakulturlag,NESODDEN OG NORDRE FROGN PERMAKULTURLAG,organisasjon,permakultur-fleraarige,permakultur-foreninger,NO,Brreg-registrert lokallag i permakultur-fleraarige med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,836648722,https://data.brreg.no/enhetsregisteret/api/enheter/836648722,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
