node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
solhatt,Solhatt Økologisk Hagebruk AS,organisasjon,permakultur-fleraarige,planteskoler-froeleverandoerer,NO,Økologisk hagebruksfrøleverandør og kulturarvsort-aktør.,,2026,913997832,https://solhatt.no/om-oss/,primary,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
efferus-holt-gaard,Efferus Planteskole & Skogshage (Holt Gård),gaard,permakultur-fleraarige,planteskoler-froeleverandoerer,NO,"Skogshage- og planteskoleaktør med flerårige nyttevekster, nøtter og informasjonshub.",,2026,,https://www.efferus.no/en,primary,unverified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
bro-jorgensen-permakulturplanter,BRO-JØRGENSEN PERMAKULTURPLANTER,organisasjon,permakultur-fleraarige,planteskoler-froeleverandoerer,NO,Brreg-registrert permakulturplante-/frukt-/nøtteaktør i permakultur-fleraarige med 01.250 (Dyrking av annen frukt som vokser på trær eller busker samt nøtter).,,2026,927165252,https://data.brreg.no/enhetsregisteret/api/enheter/927165252,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
draglands-planteskole,DRAGLANDS PLANTESKOLE,organisasjon,permakultur-fleraarige,planteskoler-froeleverandoerer,NO,Brreg-registrert planteskoleaktør i permakultur-fleraarige med 01.190 (Dyrking av ettårige vekster ellers).,,2026,935784794,https://data.brreg.no/enhetsregisteret/api/enheter/935784794,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
harstad-planteskole,HARSTAD PLANTESKOLE,organisasjon,permakultur-fleraarige,planteskoler-froeleverandoerer,NO,Brreg-registrert planteskoleaktør i permakultur-fleraarige med 01.290 (Dyrking av flerårige vekster ellers).,,2026,937321783,https://data.brreg.no/enhetsregisteret/api/enheter/937321783,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
hermansens-planteskole,HERMANSENS PLANTESKOLE,organisasjon,permakultur-fleraarige,planteskoler-froeleverandoerer,NO,Brreg-registrert planteformeringsaktør i permakultur-fleraarige med 01.300 (Planteformering).,,2026,932349523,https://data.brreg.no/enhetsregisteret/api/enheter/932349523,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
hestmo-planteskole,HESTMO PLANTESKOLE,organisasjon,permakultur-fleraarige,planteskoler-froeleverandoerer,NO,Brreg-registrert planteskoleaktør i permakultur-fleraarige med 01.190 (Dyrking av ettårige vekster ellers).,,2026,930688274,https://data.brreg.no/enhetsregisteret/api/enheter/930688274,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
baldishol-planteskole-as,BALDISHOL PLANTESKOLE AS,organisasjon,permakultur-fleraarige,planteskoler-froeleverandoerer,NO,Brreg-registrert planteskoleaktør i permakultur-fleraarige med 01.190 (Dyrking av ettårige vekster ellers).,,2026,833555812,https://data.brreg.no/enhetsregisteret/api/enheter/833555812,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
finnestad-planteskole-as,FINNESTAD PLANTESKOLE AS,organisasjon,permakultur-fleraarige,planteskoler-froeleverandoerer,NO,Brreg-registrert planteskoleaktør i permakultur-fleraarige med 01.190 (Dyrking av ettårige vekster ellers).,,2026,927710978,https://data.brreg.no/enhetsregisteret/api/enheter/927710978,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
fritzoe-planteskole-as,FRITZØE PLANTESKOLE AS,organisasjon,permakultur-fleraarige,planteskoler-froeleverandoerer,NO,Brreg-registrert planteformeringsaktør i permakultur-fleraarige med 01.300 (Planteformering).,,2026,923000887,https://data.brreg.no/enhetsregisteret/api/enheter/923000887,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
