node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
efferus-holt-gaard,Efferus Planteskole & Skogshage (Holt Gård),gaard,permakultur-fleraarige,skogshage-agroforestry,NO,"Skogshage, planteskole og LAND-lærling ved Holt Gård; flerårige nyttevekster, nøtter og skogshageformidling.",,2026,,https://www.efferus.no/en,primary,unverified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
bro-jorgensen-permakulturplanter,BRO-JØRGENSEN PERMAKULTURPLANTER,gaard,permakultur-fleraarige,skogshage-agroforestry,NO,Brreg-registrert skogshage-/planteskoleaktør i permakultur-fleraarige med 01.250 (Dyrking av annen frukt som vokser på trær eller busker samt nøtter).,,2026,927165252,https://data.brreg.no/enhetsregisteret/api/enheter/927165252,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
alvastien-telste,Alvastien Telste,gaard,permakultur-fleraarige,skogshage-agroforestry,NO,Selvrapportert LAND-senter og permakultur-/flerårig matsystem på Telste i Hardanger.,,2026,,https://permacultureglobal.org/projects/869-alvastien-telste,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
sletta-permakultursenter,Sletta Permakultursenter,gaard,permakultur-fleraarige,skogshage-agroforestry,NO,Selvrapportert LAND-senter med permakultur- og naturbyggdemonstrasjon og skoghage.,,2026,,https://www.instagram.com/slettapermakultursenter/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
edible-garden-stephen-barstow,The Edible Garden (Stephen Barstow),gaard,permakultur-fleraarige,skogshage-agroforestry,NO,Skogshage/edimentals-hage i Malvik knyttet til Stephen Barstows flerårige nyttevekstsamling.,,2026,,https://www.edimentals.com/blog/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
dharma-mountain,Dharma Mountain,gaard,permakultur-fleraarige,skogshage-agroforestry,NO,Retreatsenter med permakulturhage og skoghage under utvikling; LAND-lærling ifølge R13-siteinventar.,,2026,,https://dharmamountain.com/en/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
eldrids-skoghage,"ELDRIDS SKOGHAGE, ELDRID SKUDAL",gaard,permakultur-fleraarige,skogshage-agroforestry,NO,Brreg-registrert skogshage-/undervisningsaktør i permakultur-fleraarige med 85.597 (Annen undervisning ellers).,,2026,835810402,https://data.brreg.no/enhetsregisteret/api/enheter/835810402,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
matskogen-landas,Matskogen Landås,gaard,permakultur-fleraarige,skogshage-agroforestry,NO,Urban skoghage på kommunal grunn i Bergen; frivillig drift og flerårige matvekster.,,2026,,https://www.matskogenlandas.no/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
gaiasenter,Gaiasenter,gaard,permakultur-fleraarige,skogshage-agroforestry,NO,Kurs- og retreatsenter med dyrking og permakulturundervisning; skogshage-status må etterkontrolleres.,,2026,,https://gaiasenter.no/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
hurdal-okolandsby,Hurdal Økolandsby,gaard,permakultur-fleraarige,skogshage-agroforestry,NO,Økolandsby med permakulturinteresse og økologisk landbruk; dedikert skogshage ikke feltverifisert.,,2026,,https://hurdalokolandsby.no/,primary,unverified,middels,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
permakult-celine-faudot,PERMAKULT CELINE FAUDOT,organisasjon,permakultur-fleraarige,skogshage-agroforestry,NO,Brreg-registrert permakultur-/undervisningsaktør i permakultur-fleraarige med 85.597 (Annen undervisning ellers).,,2026,926933450,https://data.brreg.no/enhetsregisteret/api/enheter/926933450,registry_snapshot,machine_verified,hoy,2026-07-01,"Actor-gate: rolle/scope skal kontrolleres foer hard claim-lock; importen dokumenterer registrert eller selvrapportert permakultur-/fleraarig-rolle, ikke volum eller feltverifisert status."
