node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
bionova,Bionova,ordning,virkemiddel-policy,politisk-program,NO,"Offisiell Innovasjon Norge-side for Bionova, satsing paa biooekonomi og klimatiltak for jordbruk, skogbruk og havbruk.",,2026,,https://www.innovasjonnorge.no/artikkel/bionova-tilskudd-til-biookonomi-og-klimatiltak,official_program_page,needs_review,hoy,2026-07-01,"Offisiell URL identifisert via websoek 2026-07-01; direkte CLI-oppslag ga HTTP 403, trolig tilgangs-/botvern for enkelte domener. Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
jordbruksavtalen-2026-2027,Jordbruksavtalen 2026-2027,ordning,virkemiddel-policy,politisk-program,NO,"Regjeringens proposisjon om jordbruksavtalen for 2026-2027, med bevilgninger og virkemidler for jordbruket.",,2026,,https://www.regjeringen.no/no/dokumenter/prop.-98-s-20252026/id3162996/,official_program_page,needs_review,hoy,2026-07-01,"Direkte HTTP-verifisert 2026-07-01 (HTTP 200). Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
matnasjonen-norge,Matnasjonen Norge,ordning,virkemiddel-policy,politisk-program,NO,"Regjeringens strategi for Matnasjonen Norge, med koblinger mellom matnaering, helse og folkehelsepolitikk.",,2026,,https://www.regjeringen.no/no/dokumenter/matnasjonen-norge/id2834496/,official_program_page,needs_review,hoy,2026-07-01,"Direkte HTTP-verifisert 2026-07-01 (HTTP 200). Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
oppskrift-for-mer-lokalmat-og-lokal-drikke,Oppskrift for mer lokalmat og lokal drikke,ordning,virkemiddel-policy,politisk-program,NO,"Regjeringens veileder/satsing for aa styrke lokalmat og lokal drikke, inkludert maal om oekt omsetning.",,2026,,https://www.regjeringen.no/no/dokumenter/oppskrift-for-mer-lokalmat-og-lokal-drikke/id3083879/,official_program_page,needs_review,hoy,2026-07-01,"Direkte HTTP-verifisert 2026-07-01 (HTTP 200). Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
gront-industriloft,Gront industriloft,ordning,virkemiddel-policy,politisk-program,NO,Regjeringens gronne industriloft som bred omstillings- og verdikjedepolitikk med mulig relevans for biooekonomi og matindustri.,,2026,,https://www.regjeringen.no/no/tema/naringsliv/gront-industriloft/id2920282/,official_program_page,needs_review,middels,2026-07-01,"Direkte HTTP-verifisert 2026-07-01 (HTTP 200). Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
klimasats,Klimasats,ordning,virkemiddel-policy,politisk-program,NO,Miljodirektoratets stoetteordning for kommuner og fylkeskommuner som vil kutte klimagassutslipp og omstille til lavutslippssamfunnet.,,2026,,https://www.miljodirektoratet.no/ansvarsomrader/klima/for-myndigheter/kutte-utslipp-av-klimagasser/klimasats/,official_program_page,needs_review,middels,2026-07-01,"Direkte HTTP-verifisert 2026-07-01 (HTTP 200). Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
miljoteknologiordningen,Miljoteknologiordningen,ordning,virkemiddel-policy,politisk-program,NO,"Innovasjon Norge-tilskudd til utvikling, pilotering og demonstrasjon av ny miljoteknologi med kommersialiseringspotensial.",,2026,,https://www.innovasjonnorge.no/tjeneste/tilskudd-til-miljoteknologi,official_program_page,needs_review,middels,2026-07-01,"Offisiell URL identifisert via websoek 2026-07-01; direkte CLI-oppslag ga HTTP 403, trolig tilgangs-/botvern for enkelte domener. Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
tilskudd-til-biookonomiprosjekter,Tilskudd til biookonomiprosjekter,ordning,virkemiddel-policy,politisk-program,NO,"Innovasjon Norge-tilskudd for utviklingsprosjekter med effekt paa biobaserte verdikjeder og bruk av bioressurser fra jord, skog eller hav.",,2026,,https://www.innovasjonnorge.no/tjeneste/tilskudd-til-biookonomiprosjekter,official_program_page,needs_review,hoy,2026-07-01,"Direkte HTTP-verifisert 2026-07-01 (HTTP 200). Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
skattefunn,SkatteFUNN,ordning,virkemiddel-policy,politisk-program,NO,Forskningsraadets rettighetsbaserte skattefradragsordning for FoU-prosjekter i norske bedrifter.,,2026,,https://www.forskningsradet.no/skattefunn/,official_program_page,needs_review,middels,2026-07-01,"Direkte HTTP-verifisert 2026-07-01 (HTTP 200). Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
samfunnsoppdrag-berekraftig-for,Samfunnsoppdrag: berekraftig for,ordning,virkemiddel-policy,politisk-program,NO,"Forskningsraadets side for samfunnsoppdraget om berekraftig for til husdyr og fisk, med maal om mer baerekraftige kilder innen 2034.",,2026,,https://www.forskningsradet.no/forskningspolitikk-strategi/ltp/for/,official_program_page,needs_review,hoy,2026-07-01,"Direkte HTTP-verifisert 2026-07-01 (HTTP 200). Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
