node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
regenerativt-norge,REGENERATIVT NORGE,organisasjon,regenerativ-praksis,holistic-management-beiting,NO,"Nasjonal organisasjon som bruker Holistic Management og EOV i regenerativt beite- og økosystemhelsearbeid.",,2026,926330381,https://www.regenerativtnorge.no/eov/,primary,machine_verified,hoy,2026-07-01,"EOV-/HM-rolle dokumenteres; antall verifiserte gårder og effekter er ikke importert."
holistic-management-no,Skandinavisk rådgivernettverk - Holistic Management,nettverk,regenerativ-praksis,holistic-management-beiting,NO,"Nettverk av Savory-/Holistic Management-rådgivere for helhetlig drift, beiting og EOV-monitorering.",Anders Lerberg Kopstad; Ulf Ullring,2026,,https://www.holisticmanagement.no/,primary,needs_review,hoy,2026-07-01,"Rådgivernettverk dokumentert; juridisk struktur og faktiske oppdrag må avklares."
nlr-malretta-beiting,Målretta beiting - NLR,prosjekt,regenerativ-praksis,holistic-management-beiting,NO,"NLR-prosjekt-/fagflate om målretta beiting relevant for holistisk beitepraksis.",,2026,,https://www.nlr.no/prosjekter/malretta-beiting,primary,needs_review,middels,2026-07-01,"Prosjekt-/rådgivingsnode; ikke bevis på gårdsnivåeffekt."
norsk-landbruksradgiving-sa,NORSK LANDBRUKSRÅDGIVING SA,organisasjon,regenerativ-praksis,holistic-management-beiting,NO,"Nasjonal rådgivingsaktør som deltar i beite-, jordhelse- og regenerativ praksisformidling.",,2026,931892126,https://www.nlr.no/prosjekter/malretta-beiting,primary,machine_verified,hoy,2026-07-01,"Rådgivingsrolle dokumentert; importerer ikke kundelister eller areal."
audhumbla-anders-kopstad,Audhumbla / Anders Lerberg Kopstad,prosjekt,regenerativ-praksis,holistic-management-beiting,NO,"Rådgivingspraksis/personnær aktør i Holistic Management- og EOV-miljøet; navngitt i skandinavisk rådgivernettverk.",Anders Lerberg Kopstad,2026,,https://www.holisticmanagement.no/,primary,needs_review,middels,2026-07-01,"Person-/praksisnær node; juridisk enhet, oppdragsomfang og gårdsreferanser må verifiseres."
ulf-ullring-eov,ULF ULLRING - EOV Master Verifier,prosjekt,regenerativ-praksis,holistic-management-beiting,NO,"Navngitt EOV Master Verifier i skandinavisk Holistic Management-miljø med nordisk/norsk relevans.",Ulf Ullring,2026,,https://www.holisticmanagement.no/,primary,needs_review,middels,2026-07-01,"Personnær kompetansenode; ikke importer som bevis på norsk gårdsadopsjon."
tor-jorgen-haagensli-hm,Tor Jørgen Haagensli - Holistic Management-rådgiving,prosjekt,regenerativ-praksis,holistic-management-beiting,NO,"Navngitt rådgiver i skandinavisk Holistic Management-miljø; kandidat for rådgivings-/beitepraksis-kart.",Tor Jørgen Haagensli,2026,,https://www.holisticmanagement.no/,primary,needs_review,middels,2026-07-01,"Personnær kompetansenode; juridisk og operativ rolle må avklares før hard claim-lock."
camilla-skjerve-gordley-hm,Camilla Skjerve-Gordley - Holistic Management-rådgiving,prosjekt,regenerativ-praksis,holistic-management-beiting,NO,"Navngitt rådgiver/rådsressurs i Holistic Management- og regenerativt miljø; kandidat for beite-/rådgivingskart.",Camilla Skjerve-Gordley,2026,,https://www.holisticmanagement.no/,primary,needs_review,middels,2026-07-01,"Personnær kompetansenode; juridisk og operativ rolle må avklares før hard claim-lock."
regenerativt-norge-malrettet-beiting,Målrettet beiting for bedre jord- og økosystemhelse,prosjekt,regenerativ-praksis,holistic-management-beiting,NO,"Regenerativt Norge-/NLR-nært prosjekt om målrettet beiting, EOV og økosystemhelse.",,2026,,https://www.regenerativtnorge.no/om-organisasjonen/,primary,needs_review,middels,2026-07-01,"Prosjektomtale importeres som kandidat; antall gårder, resultater og effektmåling må kildebelegges separat."
faglag-for-regenerativt-landbruk-i-trondelag,FAGLAG FOR REGENERATIVT LANDBRUK I TRØNDELAG,nettverk,regenerativ-praksis,holistic-management-beiting,NO,"Regionalt faglag for regenerativt landbruk; relevant for beite-/jordhelsepraksisnettverk.",,2026,929115996,https://data.brreg.no/enhetsregisteret/api/enheter/929115996,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg bekrefter faglag; faktisk beiteaktivitet må etterkontrolleres."
regenerativt-faglag-i-ostfold-og-akershus,REGENERATIVT FAGLAG I ØSTFOLD OG AKERSHUS,nettverk,regenerativ-praksis,holistic-management-beiting,NO,"Regionalt faglag for regenerativt landbruk; relevant for beite-/jordhelsepraksisnettverk.",,2026,933146359,https://data.brreg.no/enhetsregisteret/api/enheter/933146359,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg bekrefter faglag; faktisk beiteaktivitet må etterkontrolleres."
gronefed-regenerative-forening,GRØNEFED REGENERATIVE FORENING,nettverk,regenerativ-praksis,holistic-management-beiting,NO,"Brreg-registrert regenerativ forening; kandidat for praksisnært beite-/jordhelsefelt.",,2026,927596784,https://data.brreg.no/enhetsregisteret/api/enheter/927596784,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg bekrefter forening; beite-/HM-rolle må etterkontrolleres."
