node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
norsok,NORSØK - Norsk senter for økologisk landbruk,institusjon,regenerativ-praksis,jordhelse-karbon,NO,"FoU- og kompetanseaktør for økologisk landbruk, jordhelse og praktisk jordkarbon-/jordlivsarbeid.",,2026,969840383,https://www.norsok.no/prosjekter/2025/jordhelse-i-praksis,primary,machine_verified,hoy,2026-07-01,"Egen prosjektside dokumenterer jordhelse i praksis; eksisterende aktør berikes med nytt subdomene."
nibio,NIBIO,institusjon,regenerativ-praksis,jordhelse-karbon,NO,"Statlig forskningsinstitutt med jordkartlegging, jordhelseprogram og prosjekter om karbon og regenerativ dyrking.",,2026,,https://www.nibio.no/en/about-eng/our-divisions/division-of-survey-and-statistics/agricultural-soil-survey,primary,machine_verified,hoy,2026-07-01,"NIBIO-sider dokumenterer JordVAAK og jordhelseovervåking; nasjonal SOC-baseline er ikke ferdig publisert."
jordvaak-nibio,JordVAAK - NIBIO Agricultural Soil Survey,prosjekt,regenerativ-praksis,jordhelse-karbon,NO,"NIBIOs oppstartede overvåkingsprogram for jordbruksjord og jordhelse; relevant baseline-node for jordhelse-karbon.",,2026,,https://www.nibio.no/en/about-eng/our-divisions/division-of-survey-and-statistics/agricultural-soil-survey,primary,machine_verified,hoy,2026-07-01,"Programnode; ikke bruk som ferdig nasjonal SOC-baseline før resultatene publiseres."
jordhelse-i-praksis-norsok,Jordhelse i praksis - NORSØK,prosjekt,regenerativ-praksis,jordhelse-karbon,NO,"NORSØK-prosjekt om praktisk jordhelsearbeid i økologisk og regenerativ praksis.",,2025,,https://www.norsok.no/prosjekter/2025/jordhelse-i-praksis,primary,machine_verified,hoy,2026-07-01,"Prosjektlokator dokumenterer tema; resultater og effektpåstander må holdes utenfor hard claim-lock."
norsk-landbruksradgiving-sa,NORSK LANDBRUKSRÅDGIVING SA,organisasjon,regenerativ-praksis,jordhelse-karbon,NO,"Nasjonal rådgivingsaktør med praktisk rådgiving om jordhelse, jordliv og dyrkingsbeslutninger.",,2026,931892126,https://www.nlr.no/nyhetsarkiv/nord/2024/jorda-var-viktigste-ressurs,primary,machine_verified,hoy,2026-07-01,"Egen NLR-side dokumenterer jordhelsetema; rådgivingsomfang og kunde-/arealdekning er ikke tallfestet."
eurofins-agro-testing-norway-as,EUROFINS AGRO TESTING NORWAY AS,organisasjon,regenerativ-praksis,jordhelse-karbon,NO,"Analyseaktør for jordhelsetester, næringsstatus, karbonlagring og jordfruktbarhet.",,2026,913547853,https://www.eurofins-agro.com/no/jordhelse,primary,machine_verified,hoy,2026-07-01,"Egen side dokumenterer jordhelseanalyser; må ikke brukes som effektbevis for gårdspraksis."
jordplan-as,JORDPLAN AS,organisasjon,regenerativ-praksis,jordhelse-karbon,NO,"Digitalt jord- og agronomiverktøy som bruker jordprøver og feltdata for jordhelse- og dyrkingsbeslutninger.",,2026,996063631,https://www.eurofins-agro.com/no/slik-bruker-erik-jordprover-til-a-optimalisere-driften,secondary,machine_verified,middels,2026-07-01,"Eurofins-case dokumenterer bruk; rolle bør etterkontrolleres mot egen produktdokumentasjon."
vitalanalyse,VitalAnalyse,prosjekt,regenerativ-praksis,jordhelse-karbon,NO,"Fagmiljø/prosjektrolle for levende jord, ferment og regenerativ rådgiving knyttet til mikrobiell jordhelse.",,2026,983494463,https://vitalanalyse.no/bruk-av-ferment-i-landbruket-for-okt-jordhelse/?lang=sv,primary,needs_review,middels,2026-07-01,"Egen side dokumenterer ferment/jordhelse; juridisk/organisatorisk kobling må avklares."
sunn-jord-as,SUNN JORD AS,organisasjon,regenerativ-praksis,jordhelse-karbon,NO,"Rådgivings- og kompetanseaktør for jordfruktbarhet, jordbiologi og regenerativ praksis.",,2026,828079042,https://www.landbruksdirektoratet.no/nb/prosjektmidler/nasjonale-tilretteleggingsmidler/jordfruktbarhet/nasjonalt-kompetansenettverk-for-jordfruktbarhet,public,machine_verified,middels,2026-07-01,"Landbruksdirektoratet dokumenterer samarbeidspartnerrolle; egen aktivitet og omfang må etterkontrolleres."
norsk-jordforening,NORSK JORDFORENING,nettverk,regenerativ-praksis,jordhelse-karbon,NO,"Faglig nettverk og forening for jord, jordprogram og jordkunnskap i norsk landbruk og arealbruk.",,2026,997460944,https://www.jordforeningen.no/,primary,needs_review,middels,2026-07-01,"Brreg/egen side dokumenterer forening; landbruksnær jordhelserolle bør verifiseres før hard claim-lock."
