node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
smaaskala-groent-norge,SMÅSKALA GRØNT NORGE,organisasjon,regenerativ-praksis,market-gardening,NO,"Brreg-registrert nasjonal forening for småskala grøntprodusenter; relevant som struktur- og nettverksnode for market-gardening-feltet.",,2026,937612265,https://data.brreg.no/enhetsregisteret/api/enheter/937612265,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv FLI 2026-07-01; medlemsliste og produsentdekning er ikke offentlig dokumentert."
markedshager-vestland,MARKEDSHAGER VESTLAND,organisasjon,regenerativ-praksis,market-gardening,NO,"Brreg-registrert regional forening med eksplisitt markedshage-navn; relevant som regional nettverksnode.",,2026,937119283,https://data.brreg.no/enhetsregisteret/api/enheter/937119283,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv FLI 2026-07-01; faktisk medlemsmasse og produsentliste maa avklares."
simonsen-markedshage,SIMONSEN MARKEDSHAGE,gaard,regenerativ-praksis,market-gardening,NO,"Brreg-registrert markedshageforetak med NACE 01.130 Dyrking av grønnsaker.",,2026,927209454,https://data.brreg.no/enhetsregisteret/api/enheter/927209454,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg navne-/NACE-treff; aktiv drift, areal og salgskanaler krever aktørverifisering."
svenssons-markedshage,SVENSSONS MARKEDSHAGE,gaard,regenerativ-praksis,market-gardening,NO,"Brreg-registrert markedshageforetak med NACE 01.130 Dyrking av grønnsaker.",,2026,931013122,https://data.brreg.no/enhetsregisteret/api/enheter/931013122,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg navne-/NACE-treff; aktiv drift, areal og salgskanaler krever aktørverifisering."
asmyhr-hvasser-markedshage,ASMYHR HVASSER MARKEDSHAGE,gaard,regenerativ-praksis,market-gardening,NO,"Brreg-registrert foretak med markedshage-navn og mat-/grønnsaksrelatert NACE 10.320 Produksjon av juice av frukt og grønnsaker.",,2026,928039587,https://data.brreg.no/enhetsregisteret/api/enheter/928039587,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg bekrefter navn og matrelevant NACE; dyrkingsrolle og aktiv markedshagedrift krever aktørverifisering."
froya-markedshage-as,FRØYA MARKEDSHAGE AS,gaard,regenerativ-praksis,market-gardening,NO,"Brreg-registrert markedshageforetak med NACE 01.240 Dyrking av kjernefrukter og steinfrukter.",,2026,921108281,https://data.brreg.no/enhetsregisteret/api/enheter/921108281,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg navne-/NACE-treff; produksjonsprofil og aktiv market-garden-rolle krever aktørverifisering."
holaker-markedshage-vestfall,HOLAKER MARKEDSHAGE VESTFALL,gaard,regenerativ-praksis,market-gardening,NO,"Brreg-registrert markedshageforetak med NACE 01.130 Dyrking av grønnsaker.",,2026,929867890,https://data.brreg.no/enhetsregisteret/api/enheter/929867890,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg navne-/NACE-treff; aktiv drift, areal og salgskanaler krever aktørverifisering."
kile-markedshage-as,KILE MARKEDSHAGE AS,gaard,regenerativ-praksis,market-gardening,NO,"Brreg-registrert AS med markedshage-navn og NACE 01.130 Dyrking av grønnsaker.",,2026,930688975,https://data.brreg.no/enhetsregisteret/api/enheter/930688975,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg navne-/NACE-treff; aktiv drift, areal og salgskanaler krever aktørverifisering."
kjellemyr-markedshage-iversen,KJELLEMYR MARKEDSHAGE IVERSEN,gaard,regenerativ-praksis,market-gardening,NO,"Brreg-registrert markedshageforetak med NACE 01.130 Dyrking av grønnsaker.",,2026,930677310,https://data.brreg.no/enhetsregisteret/api/enheter/930677310,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg navne-/NACE-treff; aktiv drift, areal og salgskanaler krever aktørverifisering."
lifjorden-markedshage-etterlid,LIFJORDEN MARKEDSHAGE - ETTERLID,gaard,regenerativ-praksis,market-gardening,NO,"Brreg-registrert markedshageforetak med NACE 01.250 Dyrking av annen frukt og nøtter.",,2026,921702094,https://data.brreg.no/enhetsregisteret/api/enheter/921702094,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg navne-/NACE-treff; grønnsaks-/market-garden-presisjon krever aktørverifisering."
