node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
regenerativt-norge,REGENERATIVT NORGE,organisasjon,regenerativ-praksis,raadgivning-nettverk,NO,"Nasjonalt kompetanse- og samhandlingsorgan for regenerativt landbruk.",,2026,926330381,https://www.regenerativtnorge.no/om-organisasjonen/,primary,machine_verified,hoy,2026-07-01,"Organisasjonsrolle dokumentert; medlems-/gårdsdekning må etterkontrolleres."
holistic-management-no,Skandinavisk rådgivernettverk - Holistic Management,nettverk,regenerativ-praksis,raadgivning-nettverk,NO,"Nettverk av Holistic Management-/Savory-rådgivere med norsk relevans.",Anders Lerberg Kopstad; Ulf Ullring,2026,,https://www.holisticmanagement.no/,primary,needs_review,hoy,2026-07-01,"Nettverks- og rådgivingsrolle dokumentert på egen side; juridisk struktur og aktiv rådgivingsomfang må avklares."
norsk-landbruksradgiving-sa,NORSK LANDBRUKSRÅDGIVING SA,organisasjon,regenerativ-praksis,raadgivning-nettverk,NO,"Nasjonal landbruksrådgivingsaktør med grønnsak, jordhelse, øko og beiterådgiving.",,2026,931892126,https://www.nlr.no/vare-tjenester/gronnsaker,primary,machine_verified,hoy,2026-07-01,"Rådgivingsrolle dokumentert; importerer ikke kundelister eller dekningsgrad."
norges-vel,DET KONGELIGE SELSKAP FOR NORGES VEL,organisasjon,regenerativ-praksis,raadgivning-nettverk,NO,"Kompetanse- og utviklingsaktør med kurs og samarbeid om jordfruktbarhet og regenerativ praksis.",,2026,965208739,https://www.norgesvel.no/aktuelt/kurs-i-jordfruktbarhet,primary,machine_verified,hoy,2026-07-01,"Kurs-/kompetanserolle dokumentert; ikke bruk som nasjonal registerliste."
norsok,NORSØK - Norsk senter for økologisk landbruk,institusjon,regenerativ-praksis,raadgivning-nettverk,NO,"FoU- og rådgivingsnært kunnskapssenter for økologisk og regenerativ praksis.",,2026,969840383,https://www.norsok.no/om-norsok,primary,machine_verified,hoy,2026-07-01,"Institusjonsrolle dokumentert; prosjektspesifikke råd må siteres separat."
nibio-agropub,NIBIO / Agropub,institusjon,regenerativ-praksis,raadgivning-nettverk,NO,"Kunnskaps- og formidlingsnode for økologisk landbruk og agroøkologisk praksis via NIBIO/Agropub.",,2026,,https://www.nibio.no/tema/mat/okologisk-landbruk,primary,machine_verified,middels,2026-07-01,"Kunnskapsportal; ikke rådgiverliste."
okologisk-norge,ØKOLOGISK NORGE,organisasjon,regenerativ-praksis,raadgivning-nettverk,NO,"Interesse- og kunnskapsorganisasjon som koordinerer andelslandbruk, økologisk formidling og småskala-feltet.",,2026,982512069,https://okologisknorge.no/om-oss/,primary,machine_verified,middels,2026-07-01,"Organisasjons- og formidlingsrolle dokumentert; ikke produsentregister."
markedshager-norge,Markedshager Norge,nettverk,regenerativ-praksis,raadgivning-nettverk,NO,"Kunnskapsbank og veiledningsflate for market gardening og småskala grønt.",,2026,,https://www.markedshage.no/,primary,needs_review,middels,2026-07-01,"Kunnskaps-/kartflate; ikke komplett aktivt produsentregister."
smaaskala-groent-norge,SMÅSKALA GRØNT NORGE,organisasjon,regenerativ-praksis,raadgivning-nettverk,NO,"Ny nasjonal forening for småskala grøntprodusenter; relevant for rådgivings-/nettverkskart.",,2026,937612265,https://data.brreg.no/enhetsregisteret/api/enheter/937612265,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg-validert; ingen offentlig medlemsliste."
faglag-for-regenerativt-landbruk-i-trondelag,FAGLAG FOR REGENERATIVT LANDBRUK I TRØNDELAG,nettverk,regenerativ-praksis,raadgivning-nettverk,NO,"Brreg-registrert faglag med eksplisitt regenerativt landbruk i navn; regional nettverksnode.",,2026,929115996,https://data.brreg.no/enhetsregisteret/api/enheter/929115996,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg bekrefter forening; faktisk aktivitet og medlemsmasse må etterkontrolleres."
regenerativt-faglag-i-ostfold-og-akershus,REGENERATIVT FAGLAG I ØSTFOLD OG AKERSHUS,nettverk,regenerativ-praksis,raadgivning-nettverk,NO,"Brreg-registrert regionalt faglag med regenerativt landbruk i navn.",,2026,933146359,https://data.brreg.no/enhetsregisteret/api/enheter/933146359,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg bekrefter forening; faktisk aktivitet og medlemsmasse må etterkontrolleres."
gronefed-regenerative-forening,GRØNEFED REGENERATIVE FORENING,nettverk,regenerativ-praksis,raadgivning-nettverk,NO,"Brreg-registrert regenerativ forening; kandidat til regional/praksisnær nettverksnode.",,2026,927596784,https://data.brreg.no/enhetsregisteret/api/enheter/927596784,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg bekrefter forening; landbruksrolle og aktivitet må etterkontrolleres."
regenerativ-revolusjon-as,REGENERATIV REVOLUSJON AS,organisasjon,regenerativ-praksis,raadgivning-nettverk,NO,"Brreg-registrert undervisnings-/kompetanseaktør med regenerativt navn.",,2026,937127847,https://data.brreg.no/enhetsregisteret/api/enheter/937127847,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg bekrefter juridisk enhet; konkret landbruksrådgiving må verifiseres."
regenerativbonde,Regenerativ bonde,prosjekt,regenerativ-praksis,raadgivning-nettverk,NO,"Offentlig program-/kursflate for regenerativ bonde-praksis; kandidat til rådgivings-/kompetansenode.",,2026,,https://www.regenerativbonde.no/,official_program_page,needs_review,middels,2026-07-01,"Nettsted dokumenterer kompetanseflate; juridisk eier og faktisk omfang må etterkontrolleres."
sunn-jord-as,SUNN JORD AS,organisasjon,regenerativ-praksis,raadgivning-nettverk,NO,"Rådgivings- og kompetanseaktør for jordfruktbarhet, jordbiologi og regenerativ praksis.",,2026,828079042,https://www.landbruksdirektoratet.no/nb/prosjektmidler/nasjonale-tilretteleggingsmidler/jordfruktbarhet/nasjonalt-kompetansenettverk-for-jordfruktbarhet,public,machine_verified,middels,2026-07-01,"Landbruksdirektoratet dokumenterer samarbeidspartnerrolle; egen virksomhet må etterkontrolleres."
