node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
reko-ring-lofoten,REKO-ringen Lofoten,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/lofotenreko,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-voss,REKO-ringen Voss,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/1398173936955504,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-hadeland,REKO-ringen Hadeland,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/rekohadeland,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-gjovik,REKO-ringen Gjøvik,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/rekogjovik,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-finnskogen,REKO-ringen Finnskogen,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/rekofinnskogen,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-mandal,REKO-ringen Mandal,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/355384558358244,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-sunnhordland,REKO-ringen Sunnhordland,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/295587504434241,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-haugalandet,REKO-ringen Haugalandet,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/489491634779966,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-eidsvollsbygningen,REKO-ringen Eidsvollsbygningen,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/185367628675166,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-hitra,REKO-ringen Hitra,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/824496881234188,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-sogndal,REKO-ringen Sogndal,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/785757611798212,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-kvinnherad,REKO-ringen Kvinnherad,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/571406533362700,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-as,REKO-ringen Ås,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/266634880636822,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-modum,REKO-ringen Modum,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/303939273631859,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-hokksund,REKO-ringen HOKKSUND,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/278546819472835,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-odda,REKO-ringen ODDA,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.",,2026,,https://www.facebook.com/groups/296494261022492,primary,unverified,middels,2026-07-01,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-01; deduplisert mot eksisterende REKO-aktører og normaliserte Facebook-lokatorer. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
