node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
reko-ring-hamar,REKO-ringen Hamar,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe, hentet fra REKO Norge sitt offisielle kart.",,2026,,https://www.facebook.com/groups/rekohamar/,primary,unverified,middels,2026-07-01,"Kandidat fra REKO Norge sitt offisielle Google My Maps KML-kart (Finn din REKO-ring) hentet 2026-07-01; kartet oppgir ringnavn/Facebook-lokator, men publiserer ikke sist-oppdatert dato. Human review: sjekk fortsatt aktivitet, utleveringssted og at Facebook-gruppen er riktig lokator før hard claim-lock."
reko-ring-lillehammer,REKO-ringen Lillehammer,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe, hentet fra REKO Norge sitt offisielle kart.",,2026,,https://www.facebook.com/groups/REKOLILLEHAMMER/,primary,unverified,middels,2026-07-01,"Kandidat fra REKO Norge sitt offisielle Google My Maps KML-kart (Finn din REKO-ring) hentet 2026-07-01; kartet oppgir ringnavn/Facebook-lokator, men publiserer ikke sist-oppdatert dato. Human review: sjekk fortsatt aktivitet, utleveringssted og at Facebook-gruppen er riktig lokator før hard claim-lock."
reko-ring-drammen,REKO-ringen Drammen,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe, hentet fra REKO Norge sitt offisielle kart.",,2026,,https://www.facebook.com/groups/rekodrammen/,primary,unverified,middels,2026-07-01,"Kandidat fra REKO Norge sitt offisielle Google My Maps KML-kart (Finn din REKO-ring) hentet 2026-07-01; kartet oppgir ringnavn/Facebook-lokator, men publiserer ikke sist-oppdatert dato. Human review: sjekk fortsatt aktivitet, utleveringssted og at Facebook-gruppen er riktig lokator før hard claim-lock."
reko-ring-tonsberg,REKO-ringen Tønsberg,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe, hentet fra REKO Norge sitt offisielle kart.",,2026,,https://www.facebook.com/groups/rekotonsberg,primary,unverified,middels,2026-07-01,"Kandidat fra REKO Norge sitt offisielle Google My Maps KML-kart (Finn din REKO-ring) hentet 2026-07-01; kartet oppgir ringnavn/Facebook-lokator, men publiserer ikke sist-oppdatert dato. Human review: sjekk fortsatt aktivitet, utleveringssted og at Facebook-gruppen er riktig lokator før hard claim-lock."
reko-ring-kongsvinger,REKO-ringen Kongsvinger,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe, hentet fra REKO Norge sitt offisielle kart.",,2026,,https://www.facebook.com/groups/rekokongsvinger/,primary,unverified,middels,2026-07-01,"Kandidat fra REKO Norge sitt offisielle Google My Maps KML-kart (Finn din REKO-ring) hentet 2026-07-01; kartet oppgir ringnavn/Facebook-lokator, men publiserer ikke sist-oppdatert dato. Human review: sjekk fortsatt aktivitet, utleveringssted og at Facebook-gruppen er riktig lokator før hard claim-lock."
reko-ring-arnes,REKO-ringen Årnes,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe, hentet fra REKO Norge sitt offisielle kart.",,2026,,https://www.facebook.com/groups/rekoarnes/,primary,unverified,middels,2026-07-01,"Kandidat fra REKO Norge sitt offisielle Google My Maps KML-kart (Finn din REKO-ring) hentet 2026-07-01; kartet oppgir ringnavn/Facebook-lokator, men publiserer ikke sist-oppdatert dato. Human review: sjekk fortsatt aktivitet, utleveringssted og at Facebook-gruppen er riktig lokator før hard claim-lock."
reko-ring-sandvika,REKO-ringen Sandvika,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe, hentet fra REKO Norge sitt offisielle kart.",,2026,,https://www.facebook.com/groups/REKOSANDVIKA/?ref=bookmarks,primary,unverified,middels,2026-07-01,"Kandidat fra REKO Norge sitt offisielle Google My Maps KML-kart (Finn din REKO-ring) hentet 2026-07-01; kartet oppgir ringnavn/Facebook-lokator, men publiserer ikke sist-oppdatert dato. Human review: sjekk fortsatt aktivitet, utleveringssted og at Facebook-gruppen er riktig lokator før hard claim-lock."
reko-ring-fredrikstad,REKO-ringen Fredrikstad,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe, hentet fra REKO Norge sitt offisielle kart.",,2026,,https://www.facebook.com/groups/rekofredrikstad/,primary,unverified,middels,2026-07-01,"Kandidat fra REKO Norge sitt offisielle Google My Maps KML-kart (Finn din REKO-ring) hentet 2026-07-01; kartet oppgir ringnavn/Facebook-lokator, men publiserer ikke sist-oppdatert dato. Human review: sjekk fortsatt aktivitet, utleveringssted og at Facebook-gruppen er riktig lokator før hard claim-lock."
reko-ring-lyngdal,REKO-ringen Lyngdal,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe, hentet fra REKO Norge sitt offisielle kart.",,2026,,https://www.facebook.com/groups/270530130273281/,primary,unverified,middels,2026-07-01,"Kandidat fra REKO Norge sitt offisielle Google My Maps KML-kart (Finn din REKO-ring) hentet 2026-07-01; kartet oppgir ringnavn/Facebook-lokator, men publiserer ikke sist-oppdatert dato. Human review: sjekk fortsatt aktivitet, utleveringssted og at Facebook-gruppen er riktig lokator før hard claim-lock."
reko-ring-ringerike,REKO-ringen Ringerike,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe, hentet fra REKO Norge sitt offisielle kart.",,2026,,https://www.facebook.com/groups/550724045260971/,primary,unverified,middels,2026-07-01,"Kandidat fra REKO Norge sitt offisielle Google My Maps KML-kart (Finn din REKO-ring) hentet 2026-07-01; kartet oppgir ringnavn/Facebook-lokator, men publiserer ikke sist-oppdatert dato. Human review: sjekk fortsatt aktivitet, utleveringssted og at Facebook-gruppen er riktig lokator før hard claim-lock."
