node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
reko-ring-finnsnes-og-sorreisa,REKO-ringen Finnsnes og Sørreisa,nettverk,lokale-verdikjeder,reko,NO,Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.,,2026,,https://www.facebook.com/groups/2498937243742181,primary,unverified,middels,2026-07-02,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-02; deduplisert mot live DB, tidligere REKO-kandidatfiler, normaliserte Facebook-lokatorer og KML-interne dubletter. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-sykkylven,REKO-ringen Sykkylven,nettverk,lokale-verdikjeder,reko,NO,Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.,,2026,,https://www.facebook.com/groups/244330229646613,primary,unverified,middels,2026-07-02,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-02; deduplisert mot live DB, tidligere REKO-kandidatfiler, normaliserte Facebook-lokatorer og KML-interne dubletter. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-halden,REKO-ringen Halden,nettverk,lokale-verdikjeder,reko,NO,Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.,,2026,,https://www.facebook.com/groups/3630022093787418,primary,unverified,middels,2026-07-02,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-02; deduplisert mot live DB, tidligere REKO-kandidatfiler, normaliserte Facebook-lokatorer og KML-interne dubletter. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-flytarnet,REKO-ringen Flytårnet,nettverk,lokale-verdikjeder,reko,NO,Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.,,2026,,https://www.facebook.com/groups/413789133730681,primary,unverified,middels,2026-07-02,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-02; deduplisert mot live DB, tidligere REKO-kandidatfiler, normaliserte Facebook-lokatorer og KML-interne dubletter. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-moelv,REKO-ringen Moelv,nettverk,lokale-verdikjeder,reko,NO,Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.,,2026,,https://www.facebook.com/groups/239527237402461,primary,unverified,middels,2026-07-02,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-02; deduplisert mot live DB, tidligere REKO-kandidatfiler, normaliserte Facebook-lokatorer og KML-interne dubletter. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-sunndal,REKO-ringen Sunndal,nettverk,lokale-verdikjeder,reko,NO,Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.,,2026,,https://www.facebook.com/groups/640695116806736/,primary,unverified,middels,2026-07-02,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-02; deduplisert mot live DB, tidligere REKO-kandidatfiler, normaliserte Facebook-lokatorer og KML-interne dubletter. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-grorud,REKO-ringen Grorud,nettverk,lokale-verdikjeder,reko,NO,Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.,,2026,,https://www.facebook.com/groups/2854407814879262,primary,unverified,middels,2026-07-02,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-02; deduplisert mot live DB, tidligere REKO-kandidatfiler, normaliserte Facebook-lokatorer og KML-interne dubletter. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-namdalen-utlevering-namsos,REKO-ringen Namdalen utlevering Namsos,nettverk,lokale-verdikjeder,reko,NO,Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.,,2026,,https://www.facebook.com/groups/341227427050442,primary,unverified,middels,2026-07-02,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-02; deduplisert mot live DB, tidligere REKO-kandidatfiler, normaliserte Facebook-lokatorer og KML-interne dubletter. KML har flere Namdalen-utleveringspunkter med samme Facebook-lokator; Namsos-varianten beholdes som representativ lokatorrad. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-melhus,REKO-ringen Melhus,nettverk,lokale-verdikjeder,reko,NO,Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.,,2026,,https://www.facebook.com/groups/1999119757205952/?ref=share&mibextid=controlMsg&mibextid=xfxF2i,primary,unverified,middels,2026-07-02,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-02; deduplisert mot live DB, tidligere REKO-kandidatfiler, normaliserte Facebook-lokatorer og KML-interne dubletter. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
reko-ring-byasen,REKO-ringen Byåsen,nettverk,lokale-verdikjeder,reko,NO,Lokal REKO-ring fra REKO Norge sitt offisielle KML-kart med Facebook-gruppe som lokator.,,2026,,https://www.facebook.com/groups/3674133279539509/,primary,unverified,middels,2026-07-02,"Offisielt REKO Norge KML-kart snapshot aksessert 2026-07-02; deduplisert mot live DB, tidligere REKO-kandidatfiler, normaliserte Facebook-lokatorer og KML-interne dubletter. Kartet oppgir ikke sist oppdatert dato eller aktivitetsstatus."
