node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
13-humler-as,13 HUMLER AS,organisasjon,horeca-offentlig,restaurant-storkjokken,NO,Brreg-registrert aktor i horeca-offentlig/restaurant-storkjokken med 56.110 (Drift av restauranter). Drift av serveringssted samt eventbooking og diverse andre formål knyttet mot utelivsbransjen. Drift av serveringssted samt tjenester knyttet til underholdningsvirksomhet.,,2026,921004737,https://data.brreg.no/enhetsregisteret/api/enheter/921004737,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 56.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
18-restaurant-as,18 RESTAURANT AS,organisasjon,horeca-offentlig,restaurant-storkjokken,NO,"Brreg-registrert aktor i horeca-offentlig/restaurant-storkjokken med 56.110 (Drift av restauranter). Restaurant, pub. Restaurantdrift, pubdrift og take-away levering, samt hva som hermed står i forbindelse,herunder delta i andre selskaper med lignende virksomhet.",,2026,921830327,https://data.brreg.no/enhetsregisteret/api/enheter/921830327,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 56.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
2-friends-as,2 FRIENDS AS,organisasjon,horeca-offentlig,restaurant-storkjokken,NO,Brreg-registrert aktor i horeca-offentlig/restaurant-storkjokken med 56.110 (Drift av restauranter). Drift av restaurant/kafe. Restaurant med salg av mat og drikke samt det som naturlig hører med dette.,,2026,932865475,https://data.brreg.no/enhetsregisteret/api/enheter/932865475,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 56.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
2-knop-as,2 KNOP AS,organisasjon,horeca-offentlig,restaurant-storkjokken,NO,"Brreg-registrert aktor i horeca-offentlig/restaurant-storkjokken med 56.110 (Drift av restauranter). Restaurant og catering. Servering av mat og drikke i egne lokaler, samt servering av mat og drikke på arrangementer, tilstelninger etc. på andre lokasjoner. Servering av mat og drikke.",,2026,920941168,https://data.brreg.no/enhetsregisteret/api/enheter/920941168,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 56.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
2bror-pizza-as,2BROR PIZZA AS,organisasjon,horeca-offentlig,restaurant-storkjokken,NO,Brreg-registrert aktor i horeca-offentlig/restaurant-storkjokken med 56.110 (Drift av restauranter). Gatekjøkken. Gatekjøkken.,,2026,922021155,https://data.brreg.no/enhetsregisteret/api/enheter/922021155,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 56.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
3-venner-as,3 VENNER AS,organisasjon,horeca-offentlig,restaurant-storkjokken,NO,"Brreg-registrert aktor i horeca-offentlig/restaurant-storkjokken med 56.110 (Drift av restauranter). Serveringsvirksomhet. Kafe, restaurant og catering, det som naturlig står i forhold til dette, herunder også deltakelse i andre selskap med lignende formål.",,2026,928624404,https://data.brreg.no/enhetsregisteret/api/enheter/928624404,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 56.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
4-goblets-as,4 GOBLETS AS,organisasjon,horeca-offentlig,restaurant-storkjokken,NO,Brreg-registrert aktor i horeca-offentlig/restaurant-storkjokken med 56.110 (Drift av restauranter). Restaurantvirksomhet samt det som står i naturlig forbindelse med dette. Restaurantvirksomhet samt det som står i naturlig forbindelse med dette.,,2026,828945882,https://data.brreg.no/enhetsregisteret/api/enheter/828945882,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 56.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
4-store-as,4 STORE AS,organisasjon,horeca-offentlig,restaurant-storkjokken,NO,"Brreg-registrert aktor i horeca-offentlig/restaurant-storkjokken med 56.110 (Drift av restauranter). Restaurantdrift og tilhørende virksomhet. Catering og kantinedrift. Restaurantdrift og tilhørende virksomhet, herunder å delta i andre selskaper med lignende virksomhet eller på annen måte gjøre seg interessert i andre foretagender i samme bransje.",,2026,894297972,https://data.brreg.no/enhetsregisteret/api/enheter/894297972,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 56.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
52-drift-as,52 DRIFT AS,organisasjon,horeca-offentlig,restaurant-storkjokken,NO,Brreg-registrert aktor i horeca-offentlig/restaurant-storkjokken med 56.110 (Drift av restauranter). Restaurant - og bardrift Event/restaurantdrift.,,2026,919454709,https://data.brreg.no/enhetsregisteret/api/enheter/919454709,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 56.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
8-fish-sushi-as,8 FISH SUSHI AS,organisasjon,horeca-offentlig,restaurant-storkjokken,NO,Brreg-registrert aktor i horeca-offentlig/restaurant-storkjokken med 56.110 (Drift av restauranter). Sushi take-away og drift av restaurant og alt som står i forhold til dette. Sushi take-away og drift av restaurant og alt som står i forhold til dette.,,2026,922361754,https://data.brreg.no/enhetsregisteret/api/enheter/922361754,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 56.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
