node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
norilia-as,Norilia AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Nortura-eid side- og restravareaktor som foredler plussprodukter fra kjott- og eggindustrien til mat, for, petfood, hud, ull og andre verdistrommer.",,2026,995643316,https://www.norilia.no/artikler/sustainability-report-2023,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer plussprodukter og verdikjede for hele dyret; Brreg API validert aktiv AS; eksisterende Actor/Company berikes"
bioco-as,Bioco AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Bioraffineri som bruker restravare fra norsk kylling- og eggindustri til hydrolyserte proteiner, peptider, fettfraksjoner og mineralprodukter.",,2026,993406198,https://bioco.no/en/feature-articles/what-is-enzymatic-hydrolysis,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer restravare og bioraffineringsrolle; Brreg API validert aktiv AS"
biosirk-norge-as,Biosirk Norge AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Norsk innsamler og foredler av animalske biprodukter til for, energi, fett og andre sirkulaere produkter.",,2026,921042434,https://www.biosirk.no/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer animalske biprodukter og sirkulaer utnyttelse; Brreg API validert aktiv AS; eksisterende Company-lag lenkes"
fatland-ull-hud-skinn-as,Fatland Ull Hud & Skinn AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Fatland-selskap som tar ut og omsetter ull, hud og skinn fra slakteriverdikjeden som side-/biprodukter.",,2026,956982715,https://www.fatland.no/for-bonden/ull-hud-og-skinn,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer ull, hud og skinn-rollen; Brreg API validert aktiv AS"
nortura-sa,Nortura SA,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Samvirkekonsern med dokumentert sirkulaerokonomisk arbeid for aa utnytte raavarer, biprodukter og restrastoff i kjott- og eggverdikjeden.",,2026,938752648,https://www.nortura.no/baerekraft-i-nortura/produsert-pa-en-ansvarlig-mate/sirkulaerokonomi,primary,machine_verified,middels,2026-06-26,"Egen side dokumenterer sirkulaerokonomi og restrastoff; Brreg API validert aktiv SA; stor konsernnode tas inn for lenking/side-stream-kontekst"
animalia-as,Animalia AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Bransjeeid fagmiljo for kjott- og eggsektoren med statistikk og kunnskapsgrunnlag for ull og biprodukter.",,2026,919117060,https://www.animalia.no/no/statistikk/ull_og_biprodukter/,primary,machine_verified,middels,2026-06-26,"Egen statistikkside dokumenterer ull og biprodukter; Brreg API validert aktiv AS; kunnskaps-/infrastrukturnode, ikke prosessor"
pelagia-as,Pelagia AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Sjomatravare- og ingrediensaktor som foredler pelagisk fisk og restrastoff til fiskemel, fiskeolje, protein og marine ingredienser.",,2026,989094823,https://www.pelagia.com/facilities/pelagia-protein,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer marine ingredienser og forprodukter; Brreg API validert aktiv AS; eksisterende Actor berikes"
karmsund-protein-as,Karmsund Protein AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Pelagia-tilknyttet produsent av fiskemel og fiskeolje fra marine raavarer og restrastoff.",,2026,916768257,https://www.pelagia.com/facilities/pelagia-karmsund-fiskemel,primary,machine_verified,hoy,2026-06-26,"Pelagia-side dokumenterer Karmsund Protein som fiskemel-/fiskeoljefabrikk; Brreg API validert aktiv AS"
nutrimar-as,Nutrimar AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Froya-basert side-stream-aktor som foredler biprodukter fra laks til olje, protein og andre marine ingredienser.",,2026,990080372,https://nutrimar.no/no/baerekraftig-ravare/biprodukter-fra-laks/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer utnyttelse av biprodukter fra laks; Brreg API validert aktiv AS"
biomega-norway,Biomega Norway AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Marint bioraffineriselskap som oppsirkulerer lakserestrastoff til proteiner, peptider, oljer og andre ingredienser.",,2026,982951879,https://biomegagroup.com/news/a-big-responsibility-how-biomega-is-putting-the-planet-first/,primary,machine_verified,hoy,2026-06-26,"Egen artikkel dokumenterer upcycling av salmon side-streams; Brreg API validert aktiv AS; eksisterende Actor berikes"
hofseth-biocare-asa,Hofseth BioCare ASA,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Bioraffineri som bruker ferskt restrastoff fra lakseforedling til marine oljer, kalsium og protein-/peptidprodukter.",,2026,994464663,https://newsweb.oslobors.no/message/675771,public,machine_verified,hoy,2026-06-26,"NewsWeb-issuer notice dokumenterer upcycling av lakseindustriens side streams; Brreg API validert aktiv ASA"
marealis-as,Marealis AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Marin ingrediensaktor som utvikler bioaktive produkter fra rekeskall og andre marine side streams.",,2026,977049490,https://www.marealis.com/products/precardix,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer arktisk rekeskall-/side-stream-basert ingrediensrolle; Brreg API validert aktiv AS"
seagarden-as,Seagarden AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Marine ingrediensprodusent som lager kollagen, gelatin og pulver fra fiskeraastoff og restravare.",,2026,977249368,https://seagarden.no/,primary,machine_verified,middels,2026-06-26,"Egen side dokumenterer marine ingredienser fra fiskeraastoff; Brreg API validert aktiv AS; restrastoff-presisjon bor etterkontrolleres"
scanbio-marine-group-as,ScanBio Marine Group AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Marin restraastoffaktor som samler inn og foredler biprodukter fra sjomatindustrien til fiskeprotein, fiskeolje og foringredienser.",,2026,996920933,https://www.scanbio.com/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer innsamling og foredling av marine biprodukter; Brreg API validert aktiv AS"
triplenine-vedde-as,TripleNine Vedde AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Norsk fabrikk i TripleNine-systemet som produserer fiskemel og fiskeolje fra marine raavarer og avskjaer/restrastoff.",,2026,961138973,https://www.999.dk/en/companies/triplenine-vedde/,primary,machine_verified,hoy,2026-06-26,"Egen konsernside dokumenterer norsk fiskemel-/fiskeoljefabrikk; Brreg API validert aktiv AS"
orkla-health-ocean-as,Orkla Health Ocean AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Marine olje- og ingrediensprodusent med norsk produksjon av omega-3/fiskeoljeprodukter fra marine oljer.",,2026,995073307,https://orklahealthocean.no/om-oss/,primary,machine_verified,middels,2026-06-26,"Egen side dokumenterer marine oljer og produksjon; Brreg API validert aktiv AS; restrastoffkobling bor etterkontrolleres"
nutrishell-as,NutriShell AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Oppstartsselskap som bruker taskekrabbeskall fra Hitramat til kalsium- og mineralingredienser.",,2026,926407163,https://www.innovasjonnorge.no/kundehistorie/forst-i-europa-med-unik-satsning,public,machine_verified,hoy,2026-06-26,"Innovasjon Norge-case dokumenterer bruk av krabbeskall fra Hitramat; Brreg API validert aktiv AS"
hitramat-as,Hitramat AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Taskekrabbeprodusent og side-stream-generator der krabbeskall inngaar i NutriShells mineralsatsing.",,2026,914843316,https://www.innovasjonnorge.no/kundehistorie/forst-i-europa-med-unik-satsning,public,machine_verified,middels,2026-06-26,"Innovasjon Norge-case dokumenterer Hitramat som krabbeskallkilde for NutriShell; Brreg API validert aktiv AS; generatorrolle, ikke hovedprosessor"
ydra-as,Ydra AS,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Teknologileverandor bak Blaastrom-systemet for aa hente opp og stabilisere dod fisk/fiskeslam slik at ressursen kan utnyttes videre.",,2026,921770359,https://businessnorway.com/solutions/dead-fish-get-new-life-with-blaastrom,secondary,machine_verified,middels,2026-06-26,"Business Norway-case dokumenterer Blaastrom for dod fisk som ressurs; Brreg API validert aktiv AS; teknologileverandor, ikke raavareforedler"
nofima,Nofima AS,institusjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Forskningsinstitutt med prosjekter for gronn verdikjedetilnaerming til restrastoff og biprodukter i mat- og sjomatsektoren.",,2026,989278835,https://nofima.no/prosjekt/gronn-verdikjede-tilnaerming-for-utnyttelse-av-restraastoff-og-biprodukter/,primary,machine_verified,middels,2026-06-26,"Egen prosjektside dokumenterer restrastoff/biprodukt-arbeid; Brreg API validert aktiv AS; FoU-infrastruktur og eksisterende Actor/Company berikes"
sintef-ocean,SINTEF Ocean AS,institusjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Forsknings- og teknologimiljo for sirkulaer marin biookonomi og baerekraftig utnyttelse av marint restrastoff.",,2026,937357370,https://www.sintef.no/fagomrader/sirkulaer_biookonomi/baerekraftig_utnyttelse_av_marint_restrastoff/,primary,machine_verified,middels,2026-06-26,"Egen side dokumenterer marint restrastoff-arbeid; Brreg API validert aktiv AS; FoU-infrastruktur og eksisterende Actor berikes"
tine-sa,TINE SA,organisasjon,matsvinn-sirkulaer,reststrom-sidestrom,NO,"Meierisamvirke der myse og andre meierisidestrommer inngaar i verdiskaping og ressursutnyttelse.",,2026,947942638,https://www.tine.no/om-tine/arsrapporter/TINE_Gruppa_aarsrapport_2017.pdf,primary,machine_verified,middels,2026-06-26,"Egen arsrapport dokumenterer foredling av myse som biprodukt til ingredienser; Brreg API validert aktiv SA; stor konsernnode tas inn for lenking/side-stream-kontekst"
