date,domain,subdomain,node_id,name,org_nr,issue,severity,status,source
2026-07-01,foredling-industri,meieri,gammel-erik-as,GAMMEL ERIK AS,917179301,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ foredlingsrolle,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/917179301
2026-07-01,foredling-industri,meieri,gangstad-gardsysteri-as,GANGSTAD GÅRDSYSTERI AS,926744798,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ foredlingsrolle,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/926744798
2026-07-01,foredling-industri,kjott-egg,a-ids-e-holding-as,A. IDSØE HOLDING AS,912943194,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ foredlingsrolle,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/912943194
2026-07-01,foredling-industri,kjott-egg,bagn-p-lsemakeri-as,BAGN PØLSEMAKERI AS,992041684,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ foredlingsrolle,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/992041684
2026-07-01,foredling-industri,korn-molle-bakeri,agamat-as,AGAMAT AS,919796065,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ foredlingsrolle,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/919796065
2026-07-01,foredling-industri,korn-molle-bakeri,agatas-s-te-saker-as,AGATAS SØTE SAKER AS,933702944,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ foredlingsrolle,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/933702944
2026-07-01,foredling-industri,frukt-groent-foredling,as-lisa,AS LISA,932587696,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ foredlingsrolle,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/932587696
2026-07-01,foredling-industri,frukt-groent-foredling,askim-frukt-og-b-rpresseri-as,ASKIM FRUKT- OG BÆRPRESSERI AS,986450491,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ foredlingsrolle,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/986450491
2026-07-01,foredling-industri,frukt-groent-foredling,bonden-gr-nthandel-as,BONDEN GRØNTHANDEL AS,975877698,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ foredlingsrolle,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/975877698
2026-07-01,horeca-offentlig,offentlig-innkjop-kantine,4service-landanlegg-as,4SERVICE LANDANLEGG AS,996164748,Bred/adjacent HORECA-rolle; kontroller operativ rolle,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/996164748
2026-07-01,horeca-offentlig,reiseliv-gardsmat,aimees-farm,Aimees Farm,,Mangler trygt org.nr.-match; kontroller juridisk enhet for HANEN-aktor,medium,open,https://www.hanen.no/bedrift/aimees-farm/
2026-07-01,horeca-offentlig,reiseliv-gardsmat,aker-gardsbutikk,Aker gårdsbutikk,,Mangler trygt org.nr.-match; kontroller juridisk enhet for HANEN-aktor,medium,open,https://www.hanen.no/bedrift/aker-gaardsbutikk/
2026-07-01,horeca-offentlig,reiseliv-gardsmat,beite-gardsbutikken-pa-hvam-vgs,Beite - Gardsbutikken på Hvam vgs,,Mangler trygt org.nr.-match; kontroller juridisk enhet for HANEN-aktor,medium,open,https://www.hanen.no/bedrift/beite-gardsbutikken-paa-hvam-vgs/
2026-07-01,primaerproduksjon,jordbruk-groent,a-lively-kitchen-andrea-lively-visu,A LIVELY KITCHEN ANDREA LIVELY VISU,924985208,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ rolle.,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/924985208
2026-07-01,primaerproduksjon,jordbruk-groent,agrolink-as,AGROLINK AS,990046468,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ rolle.,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/990046468
2026-07-01,primaerproduksjon,jordbruk-groent,akkerhaugen-eiendom-as,AKKERHAUGEN EIENDOM AS,859594182,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ rolle.,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/859594182
2026-07-01,primaerproduksjon,husdyr-beite,2-horn-da,2 HORN DA,936067786,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/936067786
2026-07-01,primaerproduksjon,husdyr-beite,67-fromreide-gard,67 FROMREIDE GÅRD,932472481,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/932472481
2026-07-01,primaerproduksjon,husdyr-beite,88-7-teigland-tonelill-mathisen,"88-7 TEIGLAND, TONELILL MATHISEN",929816161,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/929816161
2026-07-01,primaerproduksjon,husdyr-beite,a-o-gronningsaeter-ans,A & O GRØNNINGSÆTER ANS,971506709,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/971506709
2026-07-01,primaerproduksjon,husdyr-beite,a-b-urestad-salg-og-montasje,A B URESTAD SALG OG MONTASJE,870401442,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/870401442
2026-07-01,primaerproduksjon,husdyr-beite,a-e-kristensen,A E KRISTENSEN,815718852,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/815718852
2026-07-01,primaerproduksjon,husdyr-beite,a-fosse,A FOSSE,936232663,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/936232663
2026-07-01,primaerproduksjon,husdyr-beite,a-hvammen,A HVAMMEN,924002522,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/924002522
2026-07-01,primaerproduksjon,husdyr-beite,a-hagensen-villsau,A. HÅGENSEN VILLSAU,929993853,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/929993853
2026-07-01,primaerproduksjon,husdyr-beite,a-ytterhus,A. YTTERHUS,925580066,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/925580066
2026-07-01,primaerproduksjon,husdyr-beite,a-o-haugan,A.O. HAUGAN,927947862,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/927947862
2026-07-01,primaerproduksjon,husdyr-beite,abc-utleie-v-andersen,ABC UTLEIE V/ANDERSEN,822932312,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/822932312
2026-07-01,primaerproduksjon,husdyr-beite,abraham-flottorp,ABRAHAM FLOTTORP,969791455,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/969791455
2026-07-01,primaerproduksjon,husdyr-beite,abrahamsen-gardsdrift,ABRAHAMSEN GÅRDSDRIFT,917589240,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/917589240
2026-07-01,primaerproduksjon,husdyr-beite,abrahamsen-gardsdrift-og-utleie,ABRAHAMSEN GÅRDSDRIFT OG UTLEIE,937543263,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/937543263
2026-07-01,primaerproduksjon,husdyr-beite,adolfsen-ketil,ADOLFSEN KETIL,969711192,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/969711192
2026-07-01,primaerproduksjon,husdyr-beite,adrian-sandnes,ADRIAN SANDNES,988540854,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/988540854
2026-07-01,primaerproduksjon,husdyr-beite,adrian-sunde,ADRIAN SUNDE,931863746,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/931863746
2026-07-01,primaerproduksjon,husdyr-beite,ak-westgaard,AK WESTGAARD,921162529,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/921162529
2026-07-01,primaerproduksjon,husdyr-beite,alexander-nuncic,ALEXANDER NUNCIC,927884844,"NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/927884844
2026-07-01,primaerproduksjon,ville-ressurser-sanking,haetta-javrehuos,HÆTTA JÁVREHUOS,937003935,Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ rolle.,medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/937003935
2026-07-01,primaerproduksjon,urban-dyrking,bergetlokka-nabolagshage,BERGETLØKKA NABOLAGSHAGE,929654161,"Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/929654161
2026-07-01,primaerproduksjon,urban-dyrking,dyrk-pa-saupstad,DYRK PÅ SAUPSTAD,930237752,"Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/930237752
2026-07-01,primaerproduksjon,urban-dyrking,dyrk-tromso,DYRK TROMSØ,916633580,"Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/916633580
2026-07-01,primaerproduksjon,urban-dyrking,foreningen-losaeter,FORENINGEN LOSÆTER,917132070,"Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle",medium,open,https://data.brreg.no/enhetsregisteret/api/enheter/917132070
