node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
abelv-r-filetfabrikk-as,ABELVÆR FILETFABRIKK AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert aktor i foredling-industri/sjomat-foredling med 10.203 (Frysing og videre bearbeiding av fisk, skalldyr og bløtdyr). Tilvirkning og salg av fisk og fiskeprodukter. Produksjon av fiskeprodukter, medvirke i andre selskaper innen samme virksomhet, samt alt som naturlig hører til dette.",,2026,922528446,https://data.brreg.no/enhetsregisteret/api/enheter/922528446,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.203; ingen Company-rad funnet i lokal DB ved pre-dedup.
abs-as,ABS AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert aktor i foredling-industri/sjomat-foredling med 10.201 (Produksjon av saltfisk, tørrfisk og klippfisk). Produksjon av fisk og fiskeprodukter. Deltakelse i andre selskap med lignende formål vil også kunne inngå som del av virksomheten. Produksjon av fisk og fiskeprodukter. Deltakelse i andre selskap med lignende formål vil også kunne inngå som del av virksomheten.",,2026,994985108,https://data.brreg.no/enhetsregisteret/api/enheter/994985108,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.201; ingen Company-rad funnet i lokal DB ved pre-dedup.
arctic-catch-as,ARCTIC CATCH AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert aktor i foredling-industri/sjomat-foredling med 10.203 (Frysing og videre bearbeiding av fisk, skalldyr og bløtdyr). Å drive kjøp, salg, foredling og bearbeiding av alle typer sjømat. Drive kjøp, salg, export, foredling, og bearbeiding av alle typer sjømat, og virksomhet som faller naturlig inn under dette. Herunder å delta i andre selskaper.",,2026,993270040,https://data.brreg.no/enhetsregisteret/api/enheter/993270040,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.203; ingen Company-rad funnet i lokal DB ved pre-dedup.
arctic-filet-as,ARCTIC FILET AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert aktor i foredling-industri/sjomat-foredling med 10.203 (Frysing og videre bearbeiding av fisk, skalldyr og bløtdyr). Bearbeiding av laks og andre fiskevarer. Bearbeiding av laks og andre produkter/tjenester som naturlig hører sammen med dette, herunder å delta i andre selskap med lignende virksomhet, og kjøp og salg av aksjer eller på annen måte gjøre seg interessert i andre foretak.",,2026,995287250,https://data.brreg.no/enhetsregisteret/api/enheter/995287250,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.203; ingen Company-rad funnet i lokal DB ved pre-dedup.
arendal-fiskemottak-as,ARENDAL FISKEMOTTAK AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert aktor i foredling-industri/sjomat-foredling med 10.202 (Slakting av fisk, skalldyr og bløtdyr). Filetering av fisk. Produksjon av fiskeprodukter. Produksjon av is til fiskeprodukter. Drift av fiskemottak, herunder salg av sjømatprodukter m.v.",,2026,983581528,https://data.brreg.no/enhetsregisteret/api/enheter/983581528,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.202; ingen Company-rad funnet i lokal DB ved pre-dedup.
arn-y-laks-slakteri-as,ARNØY LAKS SLAKTERI AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert aktor i foredling-industri/sjomat-foredling med 10.202 (Slakting av fisk, skalldyr og bløtdyr). Produksjon og viderefordeling av laks og hvitfisk. Produksjon og videreforedling av laks og hvitfisk, samt andre produkter/tjenester som naturlig hører sammen med dette, herunder å delta i andre selskap med lignende virksomhet, og kjøp og salg av aksjer eller på annen måte gjøre seg interessert i andre foretak.",,2026,895366722,https://data.brreg.no/enhetsregisteret/api/enheter/895366722,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.202; ingen Company-rad funnet i lokal DB ved pre-dedup.
as-batsfjordbruket,AS BÅTSFJORDBRUKET,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert aktor i foredling-industri/sjomat-foredling med 10.203 (Frysing og videre bearbeiding av fisk, skalldyr og bløtdyr). Drive fryse- og fiskeindustrianlegg, lagre og omsette fiskeprodukter, drive salg av forbruks- artikler til fiskeflåten samt delta i annen virksomhet med økonomiske formål. Kjøp og salg, produksjon, videreforedling og videreutvikling av fisk og fiskeprodukter. Likeledes deltakelse i selskaper med tilsvarende formål eller virksomheter som det er naturlig å samarbeide med.",,2026,929205634,https://data.brreg.no/enhetsregisteret/api/enheter/929205634,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.203; ingen Company-rad funnet i lokal DB ved pre-dedup.
askur-as,ASKUR AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert aktor i foredling-industri/sjomat-foredling med 10.201 (Produksjon av saltfisk, tørrfisk og klippfisk). Videreforedling av biprodukter fra fangst og produksjon av hvitfisk. Videreforedling av biprodukter fra fangst og produksjon av hvitfisk. Selskapet kan også delta i annen virksomhet med økonomisk formål.",,2026,993369195,https://data.brreg.no/enhetsregisteret/api/enheter/993369195,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.201; ingen Company-rad funnet i lokal DB ved pre-dedup.
astafjord-slakteri-as,ASTAFJORD SLAKTERI AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert aktor i foredling-industri/sjomat-foredling med 10.203 (Frysing og videre bearbeiding av fisk, skalldyr og bløtdyr). Foredling, pakking og forsendelse av fisk og hva hermed står i forbindelse. Foredling, pakking og forsendelse av fisk og hva hermed står i forbindelse.",,2026,981137299,https://data.brreg.no/enhetsregisteret/api/enheter/981137299,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.203; ingen Company-rad funnet i lokal DB ved pre-dedup.
astrup-lofoten-as,ASTRUP LOFOTEN AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert aktor i foredling-industri/sjomat-foredling med 10.201 (Produksjon av saltfisk, tørrfisk og klippfisk). Fiskeproduksjon. Kjøp og salg av fisk og hva som står i forbindelse med dette.",,2026,946366056,https://data.brreg.no/enhetsregisteret/api/enheter/946366056,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.201; ingen Company-rad funnet i lokal DB ved pre-dedup.
