node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
8050-eriksen,8050 ERIKSEN,organisasjon,primaerproduksjon,ville-ressurser-sanking,NO,"Brreg-registrert aktor i primaerproduksjon/ville-ressurser-sanking med 02.300 (Innsamling av viltvoksende produkter av annet enn tre). Sanking, foredling og salg av produkter fra naturen. Matlaging hos kunder.",,2026,930988936,https://data.brreg.no/enhetsregisteret/api/enheter/930988936,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 02.300. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
almli-sopp-baer-og-nyttevekster,"ALMLI SOPP, BÆR OG NYTTEVEKSTER",organisasjon,primaerproduksjon,ville-ressurser-sanking,NO,"Brreg-registrert aktor i primaerproduksjon/ville-ressurser-sanking med 02.300 (Innsamling av viltvoksende produkter av annet enn tre). Sanking av sopp, bær og nyttevekster. Salg av disse til restauranter, sankeri/mottak.",,2026,925435392,https://data.brreg.no/enhetsregisteret/api/enheter/925435392,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 02.300. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
e-madsen,E MADSEN,organisasjon,primaerproduksjon,ville-ressurser-sanking,NO,"Brreg-registrert aktor i primaerproduksjon/ville-ressurser-sanking med 02.300 (Innsamling av viltvoksende produkter av annet enn tre). Sanking av ville vekster, sopp, bær og spiselige blomster.",,2026,933660141,https://data.brreg.no/enhetsregisteret/api/enheter/933660141,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 02.300. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
evas-ville-kjokken-eva-marie-bestvold,EVAS VILLE KJØKKEN EVA MARIE BESTVOLD,organisasjon,primaerproduksjon,ville-ressurser-sanking,NO,"Brreg-registrert aktor i primaerproduksjon/ville-ressurser-sanking med 02.300 (Innsamling av viltvoksende produkter av annet enn tre). Innsamling, videre foredling og salg av sopp og ville vekster til næringsdrivende og private.",,2026,925046809,https://data.brreg.no/enhetsregisteret/api/enheter/925046809,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 02.300. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
frengens-matkammers,FRENGENS MATKAMMERS,organisasjon,primaerproduksjon,ville-ressurser-sanking,NO,Brreg-registrert aktor i primaerproduksjon/ville-ressurser-sanking med 02.300 (Innsamling av viltvoksende produkter av annet enn tre). Sanking av nyttevekster.,,2026,825118012,https://data.brreg.no/enhetsregisteret/api/enheter/825118012,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 02.300. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
frodi-drift-as,FRODI DRIFT AS,organisasjon,primaerproduksjon,ville-ressurser-sanking,NO,"Brreg-registrert aktor i primaerproduksjon/ville-ressurser-sanking med 02.300 (Innsamling av viltvoksende produkter av annet enn tre). Tappe sevje fra bjørk. Smaksette denne og selges som drikkeklar drikk. Koke inn sevje til sirup, og selge denne. Høste og sanke ville matvekster for direkte salg til horecabransjen. Produsere mikrogrønt. Pakkes og selges til horeca og dagligvare.",,2026,913663160,https://data.brreg.no/enhetsregisteret/api/enheter/913663160,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 02.300. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
fs-sjoberg-sanking,FS SJÖBERG SANKING,organisasjon,primaerproduksjon,ville-ressurser-sanking,NO,Brreg-registrert aktor i primaerproduksjon/ville-ressurser-sanking med 02.300 (Innsamling av viltvoksende produkter av annet enn tre). Sanking og salg av sopp og nyttevekster.,,2026,933987892,https://data.brreg.no/enhetsregisteret/api/enheter/933987892,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 02.300. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
galin-sankeri-og-catering,GALIN SANKERI OG CATERING,organisasjon,primaerproduksjon,ville-ressurser-sanking,NO,"Brreg-registrert aktor i primaerproduksjon/ville-ressurser-sanking med 02.300 (Innsamling av viltvoksende produkter av annet enn tre). Sankeri av sopp, planter og bær. Samt catering.",,2026,827820202,https://data.brreg.no/enhetsregisteret/api/enheter/827820202,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 02.300. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
gustavo-garcia,GUSTAVO GARCIA,organisasjon,primaerproduksjon,ville-ressurser-sanking,NO,"Brreg-registrert aktor i primaerproduksjon/ville-ressurser-sanking med 02.300 (Innsamling av viltvoksende produkter av annet enn tre). Sanking av østers for levering til mottak. Etter sesong, plukke å sanke urter, bær og sopp, for foredling.",,2026,929709926,https://data.brreg.no/enhetsregisteret/api/enheter/929709926,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 02.300. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
hatledal-harvest,HATLEDAL HARVEST,organisasjon,primaerproduksjon,ville-ressurser-sanking,NO,Brreg-registrert aktor i primaerproduksjon/ville-ressurser-sanking med 02.300 (Innsamling av viltvoksende produkter av annet enn tre). Sanking av sopp.,,2026,936039219,https://data.brreg.no/enhetsregisteret/api/enheter/936039219,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 02.300. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
