node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
agnar-holding-as,AGNAR HOLDING AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Eie og drive fiskefartøy. Investering i aksjer og andre verdipapirer. Eie og drive fiskefartøy, samt investering i aksjer og andre verdipapirer og annet som naturlig hører her innunder.",,2026,989002589,https://data.brreg.no/enhetsregisteret/api/enheter/989002589,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; NACE 03.110; flagges for etterkontroll fordi aktivitet/navn også omtaler investerings-, holding-, eiendoms-, megler- eller støtterolle."
ai-remoy-as,AI REMØY AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Hav- og kystfiske. Fiske og fangst, samt investeringer med mere.",,2026,936861016,https://data.brreg.no/enhetsregisteret/api/enheter/936861016,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; NACE 03.110; flagges for etterkontroll fordi aktivitet/navn også omtaler investerings-, holding-, eiendoms-, megler- eller støtterolle."
ai-ro-as,AI-RO AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Hav- og kystfiske. Fiske og fangst og andre produkter/tjenester som naturlig hører til dette, herunder å delta i andre selskap med lignende virksomhet, og kjøp og salg av aksjer eller på annen måte gjøre seg interessert i andre foretak. Selskapet kan også drive med kjøp/drift av fast eiendom.",,2026,933557804,https://data.brreg.no/enhetsregisteret/api/enheter/933557804,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; NACE 03.110; flagges for etterkontroll fordi aktivitet/navn også omtaler investerings-, holding-, eiendoms-, megler- eller støtterolle."
aik-kystfiske-as,AIK KYSTFISKE AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Hav- og kystfiske. Hav- og kystfiske, inkludert, men ikke begrenset til, fangst, behandling og salg av sjømat, samt å tilby relaterte tjenester som utstyrsvedlikehold, logistikk og fiskerådgivning.",,2026,935206790,https://data.brreg.no/enhetsregisteret/api/enheter/935206790,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; NACE 03.110; flagges for etterkontroll fordi aktivitet/navn også omtaler investerings-, holding-, eiendoms-, megler- eller støtterolle."
aj-fisk-as,AJ FISK AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Kystfiske. Kystfiske samt hva som naturlig hører hertil.,,2026,988753831,https://data.brreg.no/enhetsregisteret/api/enheter/988753831,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 03.110; operativt fiskeri-/fangstsignal i Brreg aktivitet/formål.
ak-fisk-as,AK FISK AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Investering i og drift av fiskebåt og dertil tilhørende aktivitet, samt delta i andre selskap. Investering i og drift av fiskebåt og dertil tilhørende aktivitet, samt delta i andre selskap.",,2026,922116695,https://data.brreg.no/enhetsregisteret/api/enheter/922116695,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; NACE 03.110; flagges for etterkontroll fordi aktivitet/navn også omtaler investerings-, holding-, eiendoms-, megler- eller støtterolle."
ake-sonner-as,AKE SØNNER AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Fiskeri, maritime tjenester og annen tjenesteyting. Fiskeri, maritime tjenester og annen tjenesteyting.",,2026,933269167,https://data.brreg.no/enhetsregisteret/api/enheter/933269167,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 03.110; operativt fiskeri-/fangstsignal i Brreg aktivitet/formål.
akita-invest-as,AKITA INVEST AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Drive fiskeri- og rederivirksomhet, samt hva herved står i forbindelse, herunder å delta i andre foretakender som driver tilsvarende virksomhet. Drive fiskeri- og rederivirksomhet, samt hva herved står i forbindelse, herunder å delta i andre foretakender som driver tilsvarende virksomhet, samt eie og forvalte verdipapirer og fast eiendom.",,2026,992071966,https://data.brreg.no/enhetsregisteret/api/enheter/992071966,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; NACE 03.110; flagges for etterkontroll fordi aktivitet/navn også omtaler investerings-, holding-, eiendoms-, megler- eller støtterolle."
aksnes-kystfiske-as,AKSNES KYSTFISKE AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Hav- og kystfiske. Hav- og kystfiske og aktivitet relatert til dette. Selskapet kan engasjere seg i annen virksomhet ved kjøp eller salg av aksjer og verdipapirer, samt andre tiltak beslektet med dette.",,2026,932370204,https://data.brreg.no/enhetsregisteret/api/enheter/932370204,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; NACE 03.110; flagges for etterkontroll fordi aktivitet/navn også omtaler investerings-, holding-, eiendoms-, megler- eller støtterolle."
akvador-as,AKVADOR AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Omsetning av fisk og fiskeprodukter. Omsetning av fisk og fiskeprodukter, salg av varer og tjenester til fiskerinæringen, samt annen virksomhet som naturlig hører inn under dette.",,2026,979495994,https://data.brreg.no/enhetsregisteret/api/enheter/979495994,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 03.110; operativt fiskeri-/fangstsignal i Brreg aktivitet/formål.
alaria-as,ALARIA AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Hausting av vill tang og tare for tørking og sal og andre produkter/tjenester som naturlig hører sammen med dette, samt drive med persontransport, herunder å delta i andre selskap med lignende virksomhet, og kjøp og salg av aksjer eller på annen måte gjøre seg interessert i andre foretak.",,2026,922900027,https://data.brreg.no/enhetsregisteret/api/enheter/922900027,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; NACE 03.110; flagges for etterkontroll fordi aktivitet/navn også omtaler investerings-, holding-, eiendoms-, megler- eller støtterolle."
