node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
myre-kystdrift-as,MYRE KYSTDRIFT AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver hav og kystfiske. fiske og fangst i sjø.,,2026,880009532,https://data.brreg.no/enhetsregisteret/api/enheter/880009532,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-7 etter dedupe mot 140 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
bjornhaug-as,BJØRNHAUG AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver hav- og kystfiske, utleie av båt med konsesjon og deltagelse i andre,virksomheter, herunder investeringvirksomhet. fiske og fangst i sjø.",,2026,988012319,https://data.brreg.no/enhetsregisteret/api/enheter/988012319,registry_snapshot,machine_verified,middels,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-7 etter dedupe mot 140 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges fordi registertekst også omtaler investering/utleie/blandet rolle.
haflu-as,HÅFLU AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fiskerivirksomhet. fiske og fangst i sjø.,,2026,929824024,https://data.brreg.no/enhetsregisteret/api/enheter/929824024,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-7 etter dedupe mot 140 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
lyder-fisk-as,LYDER FISK AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver hav- og kystfiske. kjøp/salg og leie/utleie av fiskebåter.,entreprenør, transport og anleggsvirksomhet. handel og annet som,naturlig hører inn under foranstående, herunder deltakelse i andre,selskaper. fiske og fangst i sjø.",,2026,995288524,https://data.brreg.no/enhetsregisteret/api/enheter/995288524,registry_snapshot,machine_verified,middels,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-7 etter dedupe mot 140 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges fordi registertekst også omtaler investering/utleie/blandet rolle.
brodrene-holm-as,BRØDRENE HOLM AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver hav- og kystfiske. fiske og fangst i sjø.,,2026,935011094,https://data.brreg.no/enhetsregisteret/api/enheter/935011094,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-7 etter dedupe mot 140 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
eidesvag-as,EIDESVÅG AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fiskerivirksomhet. fiske og fangst i sjø.,,2026,993367613,https://data.brreg.no/enhetsregisteret/api/enheter/993367613,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-7 etter dedupe mot 140 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
ocean-venture-as,OCEAN VENTURE AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver anskaffe, eie og drive fiskefartøyer. fiske og fangst i sjø.",,2026,914145538,https://data.brreg.no/enhetsregisteret/api/enheter/914145538,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-7 etter dedupe mot 140 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
odd-lundberg-as,ODD LUNDBERG AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver eie og drive fiskebåter samt investeringer i andre selskaper samt,kunne delta i annen virksomhet med økonomisk formål. fiske og fangst i sjø.",,2026,992093382,https://data.brreg.no/enhetsregisteret/api/enheter/992093382,registry_snapshot,machine_verified,middels,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-7 etter dedupe mot 140 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges fordi registertekst også omtaler investering/utleie/blandet rolle.
havbor-as,HAVBØR AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fiske og fangst og virksomhet som faller inn under dette, herunder å,delta i andre selskaper. fiske og fangst i sjø.",,2026,976735137,https://data.brreg.no/enhetsregisteret/api/enheter/976735137,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-7 etter dedupe mot 140 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
ecofang-as,ECOFANG AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver primærnæring med fangst av kråkeboller, engros salg og eksport av,kråkeboller, bi-salg av elektroniske observasjoner fra havbunn og,kyst; som værforhold - film - populasjoner, forskning og utvikling av,fangstteknologi til utstyr for egen næring. fiske og fangst i sjø.",,2026,917785767,https://data.brreg.no/enhetsregisteret/api/enheter/917785767,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-7 etter dedupe mot 140 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
