node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
nye-elnesfisk-as,(NYE) ELNESFISK AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Ervervsmessig fiske Selskapets virksomhet er hav- og kystfiske, samt det som har naturlig sammenheng med dette.",,2026,930357421,https://data.brreg.no/enhetsregisteret/api/enheter/930357421,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
2fisk-as,2FISK AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Drive kystfiske samt delta i annen virksomhet som naturlig hører hertil. Drive kystfiske samt delta i annen virksomhet som naturlig hører hertil.,,2026,913810139,https://data.brreg.no/enhetsregisteret/api/enheter/913810139,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
a-gullaksen-og-sonner-as,A GULLAKSEN & SØNNER AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Drive rederivirksomhet, fiskeri, deltagelse i annen virksomhet, drift av fast eiendom samt alt som står i forbindelse med dette. Drive rederivirksomhet, fiskeri, deltagelse i annen virksomhet, drift av fast eiendom samt alt som står i forbindelse med dette.",,2026,961109337,https://data.brreg.no/enhetsregisteret/api/enheter/961109337,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
a-pedersen-kystfiskebat-as,A PEDERSEN KYSTFISKEBÅT AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Eie og drive fiskefartøy og selge fiskefangster slik at eierne kan utbetales et størst mulig utbytte. Selskapet skal også kunne være eier eller deleier av andre selskaper. Eie og drive fiskefartøy og selge fiskefangster slik at eierne kan utbetales et størst mulig utbytte. Selskapet skal også kunne være eier eller dele,,2026,984722575,https://data.brreg.no/enhetsregisteret/api/enheter/984722575,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
a-fersnes-as,A. FERSNES AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Hav- og kystfiske. Drive hav og kystfiske, herunder delta i andre selskaper eller være ansvarlig deltaker.",,2026,931895931,https://data.brreg.no/enhetsregisteret/api/enheter/931895931,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
a-jensen-as,A. JENSEN AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Fiskeri/reketråling. Fiskeri/reketråling, samt det som naturlig faller sammen med dette.",,2026,998076803,https://data.brreg.no/enhetsregisteret/api/enheter/998076803,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
a-h-lansman-fisk-as,A.H LÄNSMAN FISK AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Fjord og kystfiske. Fjord og kystfiske og andre produkter/tjenester som naturlig hører til dette.,,2026,928959732,https://data.brreg.no/enhetsregisteret/api/enheter/928959732,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
a-og-v-egnesentral-as,A&V EGNESENTRAL AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Drift av egnesentral, samt deltakelse i andre foretak med tilknytning til egen drift eller fiskenæringen for øvrig. Eie og drift av egnesentral, samt deltakelse i andre foretak med tilknytning til egen drift eller fiskenæringen for øvrig.",,2026,922044627,https://data.brreg.no/enhetsregisteret/api/enheter/922044627,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
abrahamsenfisk-as,ABRAHAMSENFISK AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Selge varer og tjenester innen fiske, fangst og skalldyr og annet som naturlig sammenfaller med dette, samt deltakelse i andre selskaper, investeringer og nærliggende virksomhet. Selge varer og tjenester innen fiske, fangst og skalldyr og annet som naturlig sammenfaller med dette, samt deltakelse i andre selskaper, inv",,2026,925887137,https://data.brreg.no/enhetsregisteret/api/enheter/925887137,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.110; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll fordi aktivitet ogsaa omtaler investerings-/stoetterolle.
ace-sjomat-as,ACE SJØMAT AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktor i primaerproduksjon/villfisk med NACE 03.110 (Fiske og fangst i sjø). Hav- og kystfiske. Drive med fiske og fangst av sjømat, samt annet som står i forbindelse dette.",,2026,930774197,https://data.brreg.no/enhetsregisteret/api/enheter/930774197,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.110; ingen Company-rad funnet i lokal DB ved pre-dedup.
