node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
innovasjon-norge,INNOVASJON NORGE,organisasjon,virkemiddel-policy,virkemiddelapparat,NO,"Brreg-registrert aktor i virkemiddel-policy med 64.920 (Annen kredittgivning). Være statens og fylkeskommunenes virkemiddel for å realisere verdiskapende næringsutvikling i hele landet. Bidra til økt innovasjon i norsk næringsliv. Selskapet vil ha følgende virkemidler: Finansiering, rådgiving og kompetansehevende tiltak, nettverk og infrastruktur og profilering av norsk næringsliv i utlandet.",,2026,986399445,https://data.brreg.no/enhetsregisteret/api/enheter/986399445,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 64.920; juridisk enhet samsvarer med virkemiddel-/forvaltningsrolle.
norges-forskningsrad,NORGES FORSKNINGSRÅD,organisasjon,virkemiddel-policy,virkemiddelapparat,NO,"Brreg-registrert aktor i virkemiddel-policy med 84.120 (Offentlig administrasjon tilknyttet helsestell, undervisning, kultur og annen sosial virksomhet). Strategisk organ for norsk forskning underlagt kultur-, undervisnings- og forskningsdepartementet (KUF).",,2026,970141669,https://data.brreg.no/enhetsregisteret/api/enheter/970141669,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.120; juridisk enhet samsvarer med virkemiddel-/forvaltningsrolle.
siva-selskapet-for-industrivekst-sf,SIVA - SELSKAPET FOR INDUSTRIVEKST SF,organisasjon,virkemiddel-policy,virkemiddelapparat,NO,"Brreg-registrert aktor i virkemiddel-policy med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning). SIVA er, gjennom sin eiendoms- og innovasjonsvirksomhet, statens virkemiddel for tilretteleggende eierskap og utvikling av bedrifter og nærings- og kunnskapsmiljøer i hele landet. SIVA har et særlig ansvar for å fremme vekstkraften i distriktene. Gi næringslivet rom til å vokse gjennom å bygge, eie og utvikle infrastruktur for innovasjon. Selskapet investerer i eiendom, innovasjonsselskap og utvikling av oppstartsmiljø og bedriftsfellesskap. Selskapet er en del av det statlige virkemiddelapparatet for innovasjon og samarbeider med Innovasjon Norge og Forskningsrådet.",,2026,966703032,https://data.brreg.no/enhetsregisteret/api/enheter/966703032,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 70.200; flagges for etterkontroll: Bredt industri-/innovasjonsvirkemiddel; kontroller matsystemrelevans foer hard claim-lock.
enova-sf,ENOVA SF,organisasjon,virkemiddel-policy,virkemiddelapparat,NO,"Brreg-registrert aktor i virkemiddel-policy med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Enova SFs formål er å bidra til å nå Norges klimaforpliktelser, og å fremme effektive klima- og energiomstillingstiltak på veien mot lavutslippssamfunnet. Enova SF skal forvalte midlene fra klima- og energifondet i henhold til vedtekter for klima- og energifondet, oppdragsbrev og avtale med Klima- og miljødepartementet. Enova SF skal pase at Klima- og energifondet tilføres de inntekter som følger av forskrift til energiloven. Enova SF skal i sitt operative arbeide fremme konkurranse og benytte eksterne aktører der det er hensiktsmessig. Enova SF har ikke erverv til formål. Forvaltning av offentlige bevilgninger og innbetalinger fra energibrukerne til fremme av mer effektiv og miljøv",,2026,983609155,https://data.brreg.no/enhetsregisteret/api/enheter/983609155,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; flagges for etterkontroll: Bredt energi-/klimavirkemiddel; kontroller matsystemrelevans foer hard claim-lock.
gassnova-sf,GASSNOVA SF,organisasjon,virkemiddel-policy,virkemiddelapparat,NO,"Brreg-registrert aktor i virkemiddel-policy med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Å forvalte statens interesser knyttet til C02 handtering (teknologiutvikling, fangst, transport, injeksjon, lagring av CO2), og å gjennomføre de prosjekter som foretaksmøtet bestemmer. Det er en målsetting at foretakets arbeid skal resultere i kostnadsreduksjoner knyttet til CO2-håndtering. Gassnova SF skal gi råd til Olje- og energidepartementet i forhold til spørsmål vedrørende C02-håndtering. Gassnova SF skal legge til rette for at statens deltakelse i C02-håndteringsprosjekter kan nyttiggjøres best mulig av staten eller statlig eide enheter. Gassnova SF skal bidra til gjennomføring av ""Climit-programmet"". Gassnova SF har ikke erverv til formål. Forvalte statens interesser knytte",,2026,991627626,https://data.brreg.no/enhetsregisteret/api/enheter/991627626,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; flagges for etterkontroll: Bredt karbonhaandteringsvirkemiddel; kontroller matsystemrelevans foer hard claim-lock.
eksportfinansiering-norge,EKSPORTFINANSIERING NORGE,organisasjon,virkemiddel-policy,virkemiddelapparat,NO,Brreg-registrert aktor i virkemiddel-policy med 66.190 (Andre tjenester tilknyttet finansieringsvirksomhet og kollektive investeringsfond). Formålet med virksomheten er effektiv forvaltning av finansieringsordninger for verdiskapende eksport. Virksomheten skal forvalte låne- og garantiordninger på vegne av staten.,,2026,926718304,https://data.brreg.no/enhetsregisteret/api/enheter/926718304,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 66.190; flagges for etterkontroll: Bredt eksportfinansieringsvirkemiddel; kontroller faktisk mat-/sjoematrelevans foer hard claim-lock.
fiskeri-og-havbruksnaeringens-forskningsfinansiering-as,FISKERI- OG HAVBRUKSNÆRINGENS FORSKNINGSFINANSIERING AS,organisasjon,virkemiddel-policy,virkemiddelapparat,NO,"Brreg-registrert aktor i virkemiddel-policy med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Forvalte midler innkrevd med hjemmel i lov om avgift til forskning og utvikling i fiskeri- og havbruksnæringen av 7. juli 2000 nr. 68. Selskapets formål er å tildele avgiftsmidlene til forsknings- og utviklingsprosjekter, for å legge til rette for økt verdiskaping, miljøtilpasning, omstilling og nyskaping i fiskeri- og havbruksnæringen. Nærmere retningslinjer for forvaltning av avgiftsmidlene framgår av forskrift om avgift til forskning og utvikling i fiskeri- og havbruksnæringen. Selskapet skal ikke ha erverv til formål, og det skal ikke utbetales utbytte fra selskapet. Eventuelt overskudd fra selskapet skal brukes til forskning og utvikling innenfor det som er selskapets formål. S",,2026,921995121,https://data.brreg.no/enhetsregisteret/api/enheter/921995121,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; juridisk enhet samsvarer med virkemiddel-/forvaltningsrolle.
stiftelsen-norsk-mat,STIFTELSEN NORSK MAT,organisasjon,virkemiddel-policy,virkemiddelapparat,NO,Brreg-registrert aktor i virkemiddel-policy med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers). Å styrke konkurranseevnen til norsk matproduksjon.,,2026,990675627,https://data.brreg.no/enhetsregisteret/api/enheter/990675627,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.992; juridisk enhet samsvarer med virkemiddel-/forvaltningsrolle.
debio,DEBIO,organisasjon,virkemiddel-policy,virkemiddelapparat,NO,"Brreg-registrert aktor i virkemiddel-policy med 71.200 (Teknisk prøving og analyse). Regelutvikling, kontroll og godkjenning av økologisk produksjon, foredling og import.",,2026,971475471,https://data.brreg.no/enhetsregisteret/api/enheter/971475471,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 71.200; flagges for etterkontroll: Sertifiserings-/kontrollaktor; kan ogsaa hoere hjemme i okologi-sertifisering.
patentstyret,PATENTSTYRET,organisasjon,virkemiddel-policy,virkemiddelapparat,NO,"Brreg-registrert aktor i virkemiddel-policy med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Patentstyrets hovedoppgave er å behandle søknader om patenter, varemerke- og designregistreringer. Patenstyret arrangerer kurs og holder foredrag om betydningen av industrielle rettigheter og utfører i tillegg ulike typer forundersøkelser.",,2026,971526157,https://data.brreg.no/enhetsregisteret/api/enheter/971526157,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; flagges for etterkontroll: Bred IP-myndighet/innovasjonsaktor; kontroller matsystemrelevans foer hard claim-lock.
