node_id,name,node_type,domain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
reko-norge,REKO Norge,organisasjon,lokale-verdikjeder,NO,"Ikke-kommersiell interesseorganisasjon som koordinerer norske REKO-ringer; overtok rollen fra Norsk Bonde- og Smaabrukarlag",Siv-Elin Krutvik (prosjektleder),"140+ ringer / ~500 000 kunder (feb. 2022, ikke oppdatert)",935472350,https://www.rekonorge.no/organisasjon-reko-norge,primary,machine_verified,hoey,2026-06-19,"Stiftet 12.01.2025; ferske ring-/kundetall mangler (siste maaling feb. 2022)"
andelslandbruk-no,Andelslandbruk (Oekologisk Norge),nettverk,lokale-verdikjeder,NO,"Nasjonalt nettverk og koordinering for andelslandbruk/CSA; driver andelslandbruk.no og kart",,"93 i drift (2023); anslag 80-90 aktive (2024+)",,https://okologisknorge.no/vaart-arbeid/andelslandbruk/hva-er-andelslandbruk/i-norge/,primary,machine_verified,hoey,2026-06-19,"Ingen offisiell telling etter 2023"
overland-andelslandbruk,Oeverland Andelslandbruk SA,gaard,lokale-verdikjeder,NO,"Norges foerste og stoerste andelslandbruk (i antall involverte); eid av Norges Vel",,"Etablert 2006",,https://overlandel.no/om-overland-andelslandbruk/,primary,unverified,hoey,2026-06-19,
stiftelsen-bondens-marked,Stiftelsen Bondens marked Norge,organisasjon,lokale-verdikjeder,NO,"Nasjonal stiftelse + produsenteide lokallag for fast torgsalg av egenprodusert lokalmat",,"~20 faste markedsplasser; konsept 2003, stiftelse 2010",995680254,https://data.brreg.no/enhetsregisteret/api/enheter/995680254,registry_snapshot,machine_verified,hoey,2026-06-19,"Ikke bruk 280 (database over alle lokasjoner) eller 388 (markedsdager)"
hanen,HANEN,organisasjon,lokale-verdikjeder,NO,"Naeringsorganisasjon for bygdeturisme, gardsmat og innlandsfiske",,"~600 medlemsbedrifter, 12 regionlag",987257024,https://www.hanen.no/tema/om-hanen,primary,unverified,middels,2026-06-19,"Medlemstall selvrapportert"
stiftelsen-norsk-mat,Stiftelsen Norsk Mat,institusjon,institusjon-finansiering,NO,"Administrerer Nyt Norge, Spesialitet og Beskyttede betegnelser; driver Lokalmat.no",Anne Mette Johnsen (adm.dir.),"Lokalmat-oms. 13,55 mrd. kr 2025 (+10,25%)",,https://stiftelsennorskmat.no/2025/12/04/lokalmat-i-kraftig-vekst-over-10-vekst/,primary,machine_verified,hoey,2026-06-19,"Tidl. Matmerk/Godt Norsk"
matsentralen-norge,Matsentralen Norge,organisasjon,lokale-verdikjeder,NO,"Ideell stiftelse; omfordeler overskuddsmat gratis til ideelle org. (matsvinn)",,"5 735 tonn omfordelt 2024 (~10,2 mill. maaltider)",,https://www.matsentralen.no/rapporter/arsrapport-matsentralen-norge,primary,machine_verified,hoey,2026-06-19,"Tilgrensende system"
regenerativt-norge,Regenerativt Norge,organisasjon,regenerativ-praksis,NO,"Nasjonalt kompetanse-/samhandlingsorgan for regenerativt landbruk; norsk Savory-kontaktpunkt; bruker Holistic Management + EOV",Maria Gjoelberg (leder); Anders Lerberg Kopstad (nestleder),"Prosjekt: 7 gaarder i maalrettet beiting (m/NLR)",926330381,https://www.regenerativtnorge.no/om-organisasjonen/,primary,machine_verified,hoey,2026-06-19,
holistic-management-no,Skandinavisk raadgivernettverk (Holistic Management),nettverk,regenerativ-praksis,NO,"Nettverk av Savory-sertifiserte raadgivere; kurs, gaardsraadgivning, EOV-monitorering",Anders Lerberg Kopstad; Ulf Ullring (EOV Master Verifier),,,https://www.holisticmanagement.no/,primary,unverified,hoey,2026-06-19,
markedshager-norge,Markedshager Norge,nettverk,regenerativ-praksis,NO,"Nettverk/kunnskapsbank for market gardening (no-dig); prosjekteier Bondens marked",,,,https://www.markedshage.no/,primary,unverified,hoey,2026-06-19,
