id,institution,year,title,sourceUrl
salling-coop-danmark-2025,"Aalborg Universitet (HD 1. del, Gruppe 16)",2025,Analyse af Salling Group A/S og Coop Danmark A/S — Erhvervsøkonomisk metode,https://projekter.aau.dk/projekter/files/783577089/Afgangsprojekt_HD1_Analyse_af_Salling_Group_AS_og_Coop_Danmark_AS.pdf
agrianalyse-bondens-andel-2025,AgriAnalyse,2025,Bondens andel av forbrukerkronen 2025,
arla-farmahead-check-2024,Arla Foods amba,2024,Arla FarmAhead Check — Sustainability Incentive Model 2024,https://www.arla.com/sustainability/
asko-infrastruktur-2025,ASKO / NorgesGruppen,2025,ASKO — Infrastruktur og Logistikkmakt,https://asko.no/en/about-us/
asko-barekraft-2024,ASKO Norge AS,2024,Bærekraft i ASKO 2024,https://asko.no/globalassets/om-asko/miljo/barekraft-i-asko-2024.pdf
axfood-annual-report-2024,Axfood AB,2024,Axfood Annual and Sustainability Report 2024,https://www.axfood.com/investors/reports-and-presentations/annual-and-sustainability-report-2024/
biogas-danmark-outlook-2024,Biogas Danmark,2024,Biogas Outlook 2024,https://www.biogas.dk/wp-content/uploads/2024/05/Biogas-Outlook-2024-05-30-WEB-engelsk.pdf
civita-manifest-debatt,Civita / Manifest,2023,Civita vs. Manifest — Matmaktdebatten,https://civita.no/okonomi/naeringspolitikk/svak-konkurranse-som-fortjent/
coop-danmark-2024,Coop Danmark A/S,2024,Coop Danmark arsrapport 2024,https://coop.dk/media/vvwp2bdy/coop-danmark-aarsrapport-2024.pdf
coop-2024,Coop Norge SA,2024,Coop Aarsresultat 2024,https://www.coop.no/om-coop/virksomheten/arsrapport
coop-norge-2024,Coop Norge SA,2024,Coop Norge ÅRS- og bærekraftsrapport 2024,https://www.coop.no/om-coop/virksomheten/arsrapport
dt-samarbeidsklima-2025,Dagligvaretilsynet,2025,Samarbeidsklima-undersokelsen 2025,https://www.dagligvaretilsynet.no/s/dagligvare_rapport-yn2p.pdf
dagligvaretilsynet-aarsrapport-2024,Dagligvaretilsynet,2024,Dagligvaretilsynet — Årsrapport 2024,https://www.regjeringen.no/contentassets/41847427caa14feb8b8578af3d6d45bc/r15-2023-kartlegging-av-egne-merkevarer-og-vertikal-integrasjon-i-dagligvaremarkedet.pdf
dagligvaretilsynet-aarsrapport-2023,Dagligvaretilsynet,2023,Dagligvaretilsynet — Årsrapport 2023,https://www.regjeringen.no/contentassets/036ffda0c81e4b3f99456a78ec31df0e/arsrapport-dagligvaretilsynet-2024.pdf
dt-samarbeidsklima-2023,Dagligvaretilsynet,2023,Samarbeidsklimaet i Dagligvarebransjen 2023,https://www.dagligvaretilsynet.no/s/Rapport-om-Samarbeidsklimaet-i-Dagligvarebransjen-2023.pdf
dagligvaretilsynet-aarsrapport-2022,Dagligvaretilsynet,2022,Dagligvaretilsynet — Årsrapport 2022,https://www.regjeringen.no/contentassets/a9f933fc2c5c4d8aaed0a267b45a033d/arsrapport_dagligvaretilsynet-2023.pdf
dagligvaretilsynet-aarsrapport-2021,Dagligvaretilsynet,2021,Dagligvaretilsynet — Årsrapport 2021,https://www.regjeringen.no/contentassets/a9f933fc2c5c4d8aaed0a267b45a033d/dagligvaretilsynet-arsrapport-for-2022.pdf
