id_unik,prompt,versjon,id,k_kode,land,verdikjedeledd,pastand,type,tall,enhet,aar,kilde_url,utgiver,publisert,lokator,sitat,kildetype,sikkerhet,kommentar,kildefil
A:P1-001,P1,A,P1-001,K1|K2|K3|K4,Internasjonalt,Hele matsystemet,Tendall definerer matsystemresiliens med utgangspunkt i varig tilgang til tilstrekkelig og egnet mat for alle under forstyrrelser.,definisjon,,,2015,https://www.researchgate.net/publication/282577265_Food_system_resilience_Defining_the_concept,S01: Tendall mfl.; Food system resilience: Defining the concept; Global Food Security 6:17–23,2015,Avsnitt 5; s. 19–20,"sufficient, appropriate and accessible food to all",primær,godt_dokumentert,Originalt begrepsbidrag; lest i forfatterkopi. Ikke en effektstudie.,P1-A-begreper.md
A:P1-002,P1,A,P1-002,K1|K2,Internasjonalt,Hele matsystemet,Tendall knytter redundans til hvor langt systemelementer kan erstattes.,definisjon,,,2015,https://www.researchgate.net/publication/282577265_Food_system_resilience_Defining_the_concept,S01: Tendall mfl.; Food system resilience: Defining the concept; Global Food Security 6:17–23,2015,Avsnitt 5; s. 19–20; omtalen av redundancy,the extent to which elements of the system are replaceable,primær,godt_dokumentert,Generell systemdefinisjon; ikke et mål på nordisk personellreserve.,P1-A-begreper.md
A:P1-003,P1,A,P1-003,K1|K2|K3|K4,Internasjonalt,Sosioøkologiske systemer,Folke skiller tilpasning innenfor en utviklingsretning fra transformasjon til en annen; erfaring og kunnskap inngår i endringsevnen.,definisjon,,,2010,https://research.fs.usda.gov/download/treesearch/42598.pdf,"S02: Folke mfl.; Resilience Thinking: Integrating Resilience, Adaptability and Transformability; Ecology and Society 15(4):20",2010,PDF-s. 1; Abstract,development along the current trajectory [...] cross thresholds into new development trajectories [...] recombining sources of experience and knowledge,primær,godt_dokumentert,"Tre separate sitatutdrag. Teoretisk rammeverk, ikke estimert kompetanseeffekt.",P1-A-begreper.md
A:P1-004,P1,A,P1-004,K1|K2|K3|K4,Internasjonalt,Husholdning og matsystem,"Absorptiv, adaptiv og transformativ kapasitet brukes som en tredeling av resilienskapasitet i matsikkerhetslitteraturen.",definisjon,,,2019,https://link.springer.com/article/10.1007/s12571-019-00968-1,"S15: Ansah, Gardebroek og Ihle; Resilience and household food security; Food Security 11:1187–1203",2019-08-28,Avsnitt 2; gjennomgangen av resilienskapasiteter,"absorptive capacity, adaptive capacity and transformative capacity",sekundær,godt_dokumentert,Oversiktsartikkel. Tredelingen er ikke identisk med alle andre rammeverks terminologi.,P1-A-begreper.md
A:P1-005,P1,A,P1-005,K1|K2|K3,Internasjonalt,Primærproduksjon og agroøkosystem,Cabell og Oelofse inkluderer delt læring og menneskelige kunnskapsressurser i et rammeverk med 13 resiliensindikatorer.,definisjon,13,indikatorer,2012,https://www.researchgate.net/publication/256502755_An_Indicator_Framework_for_Assessing_Agroecosystem_Resilience,S03: Cabell og Oelofse; An Indicator Framework for Assessing Agroecosystem Resilience; Ecology and Society 17(1):18,2012,Tabell 1: Reflective and shared learning; avsnittet Builds human capital,"Individuals and institutions learn from past experiences and present experimentation [...] knowledge, skills, and experience",primær,godt_dokumentert,Originalt indikatorrammeverk; humankapital brukes bredt. To separate sitatutdrag.,P1-A-begreper.md
A:P1-006,P1,A,P1-006,K1|K2|K3,Europa; generelt rammeverk,Regionale jordbrukssystemer,"Meuwissen vurderer flere jordbruksfunksjoner gjennom robusthet, tilpasning og transformasjon, med bruk av erfarings- og kontekstkunnskap.",definisjon,,,2019,https://research.wur.nl/en/publications/a-framework-to-assess-the-resilience-of-farming-systems/,S04: Meuwissen mfl.; A framework to assess the resilience of farming systems; Agricultural Systems 176:102656,2019,Abstract,"robustness, adaptability, transformability [...] access experiential and contextual knowledge",primær,godt_dokumentert,Forfatternes sammendrag kontrollert; fullteksten er ikke brukt som grunnlag her.,P1-A-begreper.md
A:P1-007,P1,A,P1-007,K1|K3|K4,Storbritannia; generell definisjon,På tvers,"ONS definerer humankapital som kunnskaper, ferdigheter, kompetanser og egenskaper knyttet til individer.",definisjon,,,2018,https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/articles/humancapitalworkplan/2018,S17: Office for National Statistics; Human capital workplan: 2018,2018-10-29,Avsnitt 2: Definitions; første avsnitt,"the knowledge, skills, competencies and attributes embodied in individuals",primær,godt_dokumentert,Primærkilde til ONS' egen begrepsbruk; ikke dokumentasjon av kompetansens kriseeffekt.,P1-A-begreper.md
A:P1-008,P1,A,P1-008,K1|K2|K3|K4,Internasjonalt; hovedsakelig utenfor Norden,Samfunn og husholdninger,"Katastrofeforskningen beskriver nettverk som tilgang til informasjon, hjelp og andre ressurser under respons og gjenoppbygging.",forskningsfunn,,,2015,https://www.researchgate.net/publication/281601274_Social_Capital_and_Community_Resilience,S06: Aldrich og Meyer; Social Capital and Community Resilience; American Behavioral Scientist 59(2):254–269,2015; først publisert 2014-10-01,OnlineFirst-s. 1 og 3; Abstract og ressursavsnitt,social capital and networks in disaster survival and recovery,sekundær,delvis,Litteraturgjennomgang; ikke en samlet nordisk matsystemstudie.,P1-A-begreper.md
A:P1-009,P1,A,P1-009,K2|K3|K4,Internasjonalt; hovedsakelig utenfor Norden,Samfunn og husholdninger,Sterk intern sosial tilknytning kan også bidra til eksklusjon og motstand mot andre gruppers behov etter katastrofer.,forskningsfunn,,,2015,https://www.researchgate.net/publication/281601274_Social_Capital_and_Community_Resilience,S06: Aldrich og Meyer; Social Capital and Community Resilience; American Behavioral Scientist 59(2):254–269,2015; først publisert 2014-10-01,OnlineFirst-s. 8–9; siste avsnitt før Policy Recommendations,can also bring negative consequences in disasters,sekundær,godt_dokumentert,Dokumenterer at negative virkninger forekommer; ikke deres utbredelse i Norden.,P1-A-begreper.md
A:P1-010,P1,A,P1-010,K1|K3,Nederland,Åkerbruk,"En studie fant sammenhenger mellom sosial kapital, læring og bønders tilpasningsevne.",forskningsfunn,71,spørreskjemadeltakere,2018–2019,https://eprints.glos.ac.uk/10681/1/10681-Urquhart-(2022)-Exploring-how-social-capital-and-learning-are-related.pdf,S05: Slijper mfl.; Exploring how social capital and learning are related to the resilience of Dutch arable farmers; Agricultural Systems 198:103385,2022,Artikkelens sammendrag; tabell 1 på artikkels. 5,social capital and learning help farmers to adapt,primær,delvis,Observasjonsstudie med flere datakilder; survey supplert av intervjuer og fokusgruppe. Ingen isolert kausal effekt.,P1-A-begreper.md
