id,priority,status,country,theme,source_type,outlet,title,year,url,capture_method,poison_pill_risk,coding_target,next_action,notes
no-kt-dagligvare-hub-2026,WATCH,watch_2026,no,markedsmakt,authority-hub,Konkurransetilsynet,Dagligvare hub and 2024-2026 updates,2026,https://konkurransetilsynet.no/dagligvare/,official_html,low,watchlist,snapshot_index_monthly,Keep 2026 items outside 2016-2025 historical chart until a closed period is defined.
no-kt-dagligvaremarkedet-2020,P1,candidate_fetch,no,markedsmakt,authority-hub,Konkurransetilsynet,Dagligvaremarkedet theme page,2020,https://konkurransetilsynet.no/tema/dagligvaremarkedet/,official_html,low,country_profile,snapshot_html,Useful parent source for price hunter meetings price-change rules margin mapping and purchasing price surveys.
no-kt-prisjeger-2024,P1,already_in_corpus,no,markedsmakt,authority-decision,Konkurransetilsynet,Anticompetitive practices may have led to higher grocery prices,2024,https://konkurransetilsynet.no/anticompetitive-practices-may-have-led-to-higher-grocery-prices/?lang=en,official_html,low,entry,refresh_snapshot,Existing corpus anchor; refresh title/date/content-quality before expanding references.
no-kt-dagligvarerapport-2024-25,P1,candidate_fetch,no,prispress,authority-report,Konkurransetilsynet,Dagligvarerapport 2024-25,2025,https://konkurransetilsynet.no/wp-content/uploads/2025/04/Konkurransetilsynets-Dagligvarerapport-2024-25-1.pdf,official_pdf,low,entry,download_or_catalog_pdf,Use for market shares margin study purchasing-price differences and debate intensity notes.
no-kt-margin-study-2025,P1,already_in_corpus,no,markedsmakt,authority-report,Konkurransetilsynet,Margin study part 1 return on net operating assets in grocery value chain,2025,https://konkurransetilsynet.no/wp-content/uploads/2025/01/Margin-study-with-appendix-_-part-1.pdf,official_pdf,low,entry,download_or_catalog_pdf,Existing corpus anchor; should be paired with media reactions and academic commentary.
no-nhh-media-attention-2025,P1,candidate_fetch,no,prispress,academic-paper,NHH,Media attention and price competition evidence from Norwegian grocery retailing,2025,https://swoba.hhs.se/nhhfms/abs/nhhfms2025_010.htm,repository_html,low,theme,snapshot_html,Core source for why consumer journalism belongs in the media model rather than just as external context; NHH handle remains https://hdl.handle.net/11250/3187923.
no-nhh-price-knowledge-2025,P2,candidate_fetch,no,prispress,academic-news,NHH,Do informed consumers pay less,2025,https://www.nhh.no/en/nhh-bulletin/article-archive/2025/august/large-gap-in-consumers-knowledge-of-grocery-prices/,article_snapshot,low,entry,snapshot_html,Consumer price knowledge angle; useful against VG/Aftenposten price-comparison trail.
no-aftenposten-prisjegere-2024,P1,candidate_manual,no,markedsmakt,news-article,Aftenposten,Slik jobber prisjegerne dette vil Konkurransetilsynet ha en slutt paa,2024,https://www.aftenposten.no/okonomi/i/O8wnGE/slik-jobber-prisjegerne-dette-vil-konkurransetilsynet-ha-en-slutt-paa,paywall_manual,high_paywall,entry,manual_metadata_only,Do not scrape full text; capture bibliographic metadata and use only short accessible snippet if available.
no-finansavisen-gebyr-2024,P2,candidate_manual,no,regulering,news-article,Finansavisen,Konkurransetilsynet gir 4.9 milliarder i gebyr til dagligvarekjempene,2024,https://www.finansavisen.no/handel/2024/08/21/8169206/konkurransetilsynet-gir-4-9-milliarder-i-gebyr-til-dagligvarekjempene?zephr_sso_ott=eidmxo,paywall_manual,high_paywall,entry,manual_metadata_only,Secondary media reaction to official price-hunter decision.
no-e24-matforslag-2022,P2,candidate_manual,no,regulering,news-article,E24,Konkurransetilsynet om matforslag fra stortingsflertallet kan gi oekte matpriser,2022,https://e24.no/norsk-oekonomi/i/y4B1Pe/konkurransetilsynet-om-matforslag-fra-stortingsflertallet-kan-gi-oekte-matpriser,paywall_manual,high_paywall,entry,manual_metadata_only,Useful for earlier regulatory-proposal framing before the 2024 price-hunter decision.
