action_id,entity,entity_type,target_record_ids,field_paths,document_id,source_locator,db_resolution_status,application_status,apply_allowed,recommended_db_change,citation_action,blocker_or_decision
CF-ASKO-2024,ASKO Norge AS,CompanyFinancial,cmp8xyt9a007rxrvm14yk2vcg,revenueNok;operatingResult,,research/evidence-pack/regnskapsregisteret-snapshots/929228723-2024-2026-05-18.json,resolved,applied_2026-05-18,applied,"Applied locally: revenueNok updated 95000 -> 524.19 and operatingResult updated 1500 -> 21.48 using statutory ASKO Norge AS company accounts from Brønnøysund Regnskapsregisteret.","Created SourceCitation cit_a1df08842b7d7d395c553f81fcb9804b and FieldCitation coverage for revenueNok and operatingResult.","DB verified after apply: revenueNok 524.19, operatingResult 21.48, verificationStatus=human_verified; previous 95,000/1,500 values are not statutory ASKO Norge AS values."
CF-NG-2024,NorgesGruppen ASA,CompanyFinancial,cmp8xyt040005xrvmd6cgeb4d,revenueNok;operatingResult,cmp8xynxw00ixvvvmik4fvcdl,research/evidence-pack/arsrapporter/text/norgesgruppen-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: exact MNOK storage selected and revenueNok updated 118000 -> 118006; operatingResult updated 4800 -> 4842.","Created SourceCitation cit_226c07fa4f5bde7106072a7f0cc22ec4 and FieldCitation coverage for revenueNok and operatingResult.","DB verified after apply: revenueNok 118006, operatingResult 4842, verificationStatus=human_verified."
SH-NG-2024,NorgesGruppen ASA,Shareholder,cmp8xyt0c0006xrvmacp5vmyx;cmpbayawn00027qvmxl0ntxak,ownershipPct;name,cmp8xynxw00ixvvvmik4fvcdl,research/evidence-pack/arsrapporter/text/norgesgruppen-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: renamed Joh. Johannson-familien -> Joh. Johannson Handel AS and created Brødrene Lorentzen AS 9.00 shareholder row.","Created SourceCitation cit_70a7abe772d5171cb2f33cdfb0291738 and FieldCitation coverage for name and ownershipPct on both shareholder rows.","DB verified after apply: Joh. Johannson Handel AS 74.4 and Brødrene Lorentzen AS 9; verificationStatus=human_verified, confidence=95."
SH-BAMA-2024,BAMA Gruppen AS,Shareholder,cmp8xyt51004yxrvmkrewvls3;cmp8xyt520050xrvmnolyh314;cmp8xyt51004zxrvmanb2th01,ownershipPct;name,,research/evidence-pack/arsrapporter/text/bama-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: renamed NorgesGruppen -> NorgesGruppen ASA, Bama-familien -> AS Banan, and REMA 1000 -> REMA Industrier AS. Percentages unchanged.","Created SourceCitation cit_8405dd61353d9199934d3d991f8cdc7a and FieldCitation coverage for name and ownershipPct on all three shareholder rows.","DB verified after apply: NorgesGruppen ASA 46, AS Banan 34, REMA Industrier AS 20; verificationStatus=human_verified, confidence=95."
CF-AXFOOD-2024,Axfood AB,CompanyFinancial,cmp8xytcu00b8xrvmeos6du2e,revenueNok;operatingResult,cmp8xynq700iqvvvmlhtxp2u8,research/evidence-pack/arsrapporter/text/axfood-annual-report-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: revenueNok updated 84100 -> 85519.6 and operatingResult set to 3347.2 using Norges Bank 2024 annual average SEK/NOK 1.0174.","Created SourceCitation cit_48006a1e323eab5536935d228f642ecb and FieldCitation coverage for revenueNok and operatingResult.","DB verified after apply: revenueNok 85519.60, operatingResult 3347.20, verificationStatus=human_verified."
SH-AXFOOD-2024,Axfood AB,Shareholder,cmp8xytcu00b9xrvmsh9178zv;cmp8xytcv00baxrvmx4j66xl5;cmp8xytcw00bbxrvmenxkm1s6,ownershipPct;name,cmp8xynq700iqvvvmlhtxp2u8,research/evidence-pack/arsrapporter/text/axfood-annual-report-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: normalized top shareholder table rows to Ax:son Johnson (family and companies) 50.10, Swedbank Robur Funds 4.00 and Handelsbanken Funds 2.40.","Created SourceCitation cit_dd907b371d04cbe89f8ac3bfea4c9900 and FieldCitation coverage for name and ownershipPct on all three rows.","DB verified after apply: all three rows human_verified with confidence=95."
CF-ICA-2024,ICA Gruppen AB,CompanyFinancial,cmp8xytcf00aqxrvmeibev62f,revenueNok;operatingResult,cmp8xynuz00ivvvvmxig8fobh,research/evidence-pack/arsrapporter/text/ica-gruppen-annual-report-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: revenueNok updated 157200 -> 159951.6 and operatingResult set to 7144.2 using Norges Bank 2024 annual average SEK/NOK 1.0174.","Created SourceCitation cit_9c8ce0807bacc543be076c37e9a773f0 and FieldCitation coverage for revenueNok and operatingResult.","DB verified after apply: revenueNok 159951.60, operatingResult 7144.20, verificationStatus=human_verified."
SH-ICA-2024,ICA Gruppen AB,Shareholder,cmp8xytch00arxrvmql7j9mnd;cmp8xytci00asxrvmlmut1h55;cmpbbkaet0004c0vmjt1dxy60,ownershipPct;name,cmp8xynuz00ivvvvmxig8fobh,research/evidence-pack/arsrapporter/text/ica-gruppen-annual-report-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: Shareholder.ownershipPct treated as share-only, IHF updated to 85.43, AMF updated to 12.45, and ICA retailers 2.11 row created.","Created SourceCitation cit_023404b51df4840169b5c7377feffd02 and FieldCitation coverage for name and ownershipPct on all three rows.","DB verified after apply: vote shares retained in citation notes; all three rows human_verified with confidence=95."
CF-KESKO-2024,Kesko Oyj,CompanyFinancial,cmp8xytfl00enxrvmblbaxb6p,revenueNok;operatingResult,cmp8xynwg00iwvvvmpfjozebw,research/evidence-pack/arsrapporter/text/kesko-annual-report-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: revenueNok updated 137080 -> 138602.2 and operatingResult set to 6738.2 using actual operating profit and Norges Bank 2024 annual average EUR/NOK 11.6276.","Created SourceCitation cit_bfda38b4fc99b2316515f75d7e033901 and FieldCitation coverage for revenueNok and operatingResult.","DB verified after apply: revenueNok 138602.20, operatingResult 6738.20, verificationStatus=human_verified."
SH-KESKO-2024,Kesko Oyj,Shareholder,cmp8xytfm00eoxrvmuzbl4fdb,ownershipPct;name,cmp8xynwg00iwvvvmpfjozebw,research/evidence-pack/arsrapporter/text/kesko-annual-report-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: Shareholder.ownershipPct treated as share-only, name normalized to K-Retailers' Association and related parties, and ownershipPct updated 7.50 -> 7.54.","Created SourceCitation cit_36311bd2ae9a79c1cc2b9e188cf4fbb2 and FieldCitation coverage for name and ownershipPct.","DB verified after apply: K-Retailers' Association and related parties 7.54; vote share 19.56 retained in citation notes; verificationStatus=human_verified, confidence=95."
