action_id,priority,entity,entity_type,field_or_record,current_db_value,source_value,status,recommended_action,primary_source,local_evidence
CF-ASKO-2024,high,ASKO Norge AS,CompanyFinancial,2024 revenue/operatingResult,"revenueNok=524.19; operatingResult=21.48","sumDriftsinntekter NOK 524186809; driftsresultat NOK 21484744; aarsresultat NOK 64754486",applied_2026-05-18,"Applied locally with SourceCitation cit_a1df08842b7d7d395c553f81fcb9804b and FieldCitation coverage for revenueNok and operatingResult. CompanyFinancial stores MNOK for this table; exact NOK values retained in citation notes.","https://data.brreg.no/regnskapsregisteret/regnskap","research/evidence-pack/regnskapsregisteret-snapshots/929228723-2024-2026-05-18.json"
CF-NG-2024,high,NorgesGruppen ASA,CompanyFinancial,2024 revenue/operatingResult,"revenueNok=118006; operatingResult=4842","driftsinntekter MNOK 118006; EBIT MNOK 4842; aarsresultat MNOK 3924",applied_2026-05-18,"Applied exact MNOK values locally with SourceCitation cit_226c07fa4f5bde7106072a7f0cc22ec4 and FieldCitation coverage for revenueNok and operatingResult.","https://www.norgesgruppen.no/finans/finans-hjem/rapporter/","research/evidence-pack/arsrapporter/text/norgesgruppen-2024.txt lines 520-527 and 10412-10429"
SH-NG-2024,high,NorgesGruppen ASA,Shareholder,shareholders,"Joh. Johannson Handel AS 74.4; Brodrene Lorentzen AS 9","Joh. Johannson Handel AS 74.40; Brodrene Lorentzen AS 9.00",applied_2026-05-18,"Applied locally with SourceCitation cit_70a7abe772d5171cb2f33cdfb0291738 and FieldCitation coverage for name and ownershipPct on both shareholder rows.","https://www.norgesgruppen.no/finans/finans-hjem/rapporter/","research/evidence-pack/arsrapporter/text/norgesgruppen-2024.txt lines 10168-10178"
SH-BAMA-2024,high,BAMA Gruppen AS,Shareholder,shareholders,"NorgesGruppen ASA 46; AS Banan 34; REMA Industrier AS 20","NorgesGruppen ASA 46; AS Banan 34; REMA Industrier AS 20",applied_2026-05-18,"Applied locally with SourceCitation cit_8405dd61353d9199934d3d991f8cdc7a and FieldCitation coverage for name and ownershipPct on all three shareholder rows.","https://www.bama.no/siteassets/bama/arsrapport/2024/bama-2024-no.pdf","research/evidence-pack/arsrapporter/text/bama-2024.txt lines 615-618 and 7242-7258"
CF-AXFOOD-2024,high,Axfood AB,CompanyFinancial,2024 revenue/operatingResult,"revenueNok=85519.6; operatingResult=3347.2","net sales SEK 84057m; operating profit SEK 3290m; Norges Bank 2024 average SEK/NOK 1.0174 gives NOK 85519.6m and NOK 3347.2m",applied_2026-05-18,"Applied locally with SourceCitation cit_48006a1e323eab5536935d228f642ecb and FieldCitation coverage for revenueNok and operatingResult.","https://www.axfood.com/investors/reports-and-presentations/annual-and-sustainability-report-2024/","research/evidence-pack/arsrapporter/text/axfood-annual-report-2024.txt lines 406 and 6329-6343; FX snapshot research/evidence-pack/fx-rates/norges-bank/EXR-A-SEK-NOK-SP-2024-2026-05-18.json"
SH-AXFOOD-2024,high,Axfood AB,Shareholder,shareholders,"Ax:son Johnson family/companies 50.10; Swedbank Robur Funds 4.00; Handelsbanken Funds 2.40","Ax:son Johnson family/companies 50.1; Swedbank Robur Funds 4.0; Handelsbanken Funds 2.4",applied_2026-05-18,"Applied locally with SourceCitation cit_dd907b371d04cbe89f8ac3bfea4c9900 and FieldCitation coverage for name and ownershipPct on all three shareholder rows.","https://www.axfood.com/investors/reports-and-presentations/annual-and-sustainability-report-2024/","research/evidence-pack/arsrapporter/text/axfood-annual-report-2024.txt lines 8369-8374"
CF-ICA-2024,high,ICA Gruppen AB,CompanyFinancial,2024 revenue/operatingResult,"revenueNok=159951.6; operatingResult=7144.2","net sales SEK 157216m; operating profit SEK 7022m; Norges Bank 2024 average SEK/NOK 1.0174 gives NOK 159951.6m and NOK 7144.2m",applied_2026-05-18,"Applied locally with SourceCitation cit_9c8ce0807bacc543be076c37e9a773f0 and FieldCitation coverage for revenueNok and operatingResult.","https://www.icagruppen.se/globalassets/xx.-arsredovisning-2024/250221_icagruppen_annual_report_2024.pdf","research/evidence-pack/arsrapporter/text/ica-gruppen-annual-report-2024.txt lines 222-227; FX snapshot research/evidence-pack/fx-rates/norges-bank/EXR-A-SEK-NOK-SP-2024-2026-05-18.json"
SH-ICA-2024,high,ICA Gruppen AB,Shareholder,ownership split,"IHF 85.43; AMF 12.45; ICA retailers 2.11","IHF 85.43 shares/87.07 votes; AMF 12.45 shares/12.72 votes; ICA retailers 2.11 shares/0.22 votes",applied_2026-05-18,"Applied share-only ownership locally with SourceCitation cit_023404b51df4840169b5c7377feffd02 and FieldCitation coverage for name and ownershipPct; vote percentages retained in citation notes.","https://www.icagruppen.se/globalassets/xx.-arsredovisning-2024/250221_icagruppen_annual_report_2024.pdf","research/evidence-pack/arsrapporter/text/ica-gruppen-annual-report-2024.txt around lines 9994-10014"
CF-KESKO-2024,high,Kesko Oyj,CompanyFinancial,2024 revenue/operatingResult,"revenueNok=138602.2; operatingResult=6738.2","net sales EUR 11920.1m; actual operating profit EUR 579.5m; Norges Bank 2024 average EUR/NOK 11.6276 gives NOK 138602.2m and NOK 6738.2m",applied_2026-05-18,"Applied locally with SourceCitation cit_bfda38b4fc99b2316515f75d7e033901 and FieldCitation coverage for revenueNok and operatingResult.","https://www.kesko.fi/en/media/news-and-releases/stock-exchange-releases/2025/keskos-2024-annual-report-has-been-published/","research/evidence-pack/arsrapporter/text/kesko-annual-report-2024.txt lines 153-158, 183-186 and 2205-2223; FX snapshot research/evidence-pack/fx-rates/norges-bank/EXR-A-EUR-NOK-SP-2024-2026-05-18.json"
SH-KESKO-2024,medium,Kesko Oyj,Shareholder,K-Retailers ownership,"K-Retailers Association and related parties 7.54","K-Retailers Association and related parties 7.54 shares/19.56 votes",applied_2026-05-18,"Applied share-only ownership locally with SourceCitation cit_36311bd2ae9a79c1cc2b9e188cf4fbb2 and FieldCitation coverage for name and ownershipPct; vote percentage retained in citation notes.","https://www.kesko.fi/en/media/news-and-releases/stock-exchange-releases/2025/keskos-2024-annual-report-has-been-published/","research/evidence-pack/arsrapporter/text/kesko-annual-report-2024.txt around lines 1078-1086"
