priority,entityType,entityId,fieldPath,currentReadiness,blockingReason,currentSource,currentUrl,localPath,suggestedAction,publicSurface,usedInReport,notes
P2,Report,agrianalyse-bondens-andel-2025,sourceUrl,blocked_unsourced,Report has no single sourceUrl,Bondens andel av forbrukerkronen 2025,,,Keep excluded from external/public evidence use unless a direct source locator is added.,no,no,blocked_source
P2,Report,merkevarer-historie,sourceUrl,internal_context,Report has no single sourceUrl,Merkevarenes historie — Orkla og TINE,,,Attach URL/local file/document link or mark internal_context explicitly.,yes,yes,internal_synthesis
P2,Report,nordisk-sammenligning-2024,sourceUrl,internal_context,Report has no single sourceUrl,Nordisk sammenligning 2024,,,Attach URL/local file/document link or mark internal_context explicitly.,yes,yes,composite_source
P2,Report,oversikt-nordisk-avhandlingsregister,sourceUrl,internal_context,Report has no single sourceUrl,Nordisk avhandlingsregister — matpolitikk,,,Attach URL/local file/document link or mark internal_context explicitly.,yes,yes,internal_register
P2,Report,oversikt-nordisk-mat-tenkere,sourceUrl,internal_context,Report has no single sourceUrl,Nordiske mat-tenkere og paavirkernettverk,,,Attach URL/local file/document link or mark internal_context explicitly.,yes,yes,internal_synthesis
P2,Report,oversikt-nordisk-matmakt-historikk,sourceUrl,internal_context,Report has no single sourceUrl,Nordisk matmaktkonsentrasjon — historikk,,,Attach URL/local file/document link or mark internal_context explicitly.,yes,yes,internal_synthesis
P2,Report,oversikt-nou-stortingsdok-juridisk,sourceUrl,internal_context,Report has no single sourceUrl,NOU-er og stortingsdokumenter — juridisk oversikt,,,Attach URL/local file/document link or mark internal_context explicitly.,yes,yes,internal_register
P2,Report,oversikt-offentlig-rapportlogg,sourceUrl,internal_context,Report has no single sourceUrl,Offentlig rapportlogg — matsektor,,,Attach URL/local file/document link or mark internal_context explicitly.,yes,yes,internal_register
P2,Report,oversikt-sirkularitet-dyp,sourceUrl,internal_context,Report has no single sourceUrl,Sirkularitet i nordisk mat — dypanalyse,,,Attach URL/local file/document link or mark internal_context explicitly.,yes,yes,internal_synthesis
P2,Report,oversikt-tenketanker-ngo,sourceUrl,internal_context,Report has no single sourceUrl,Tenketanker og NGO-er i nordisk matdebatt,,,Attach URL/local file/document link or mark internal_context explicitly.,yes,yes,internal_synthesis
P2,Report,verdibutikker-utfordrere,sourceUrl,internal_context,Report has no single sourceUrl,Verdibutikkene — Normal og Europris,,,Attach URL/local file/document link or mark internal_context explicitly.,yes,yes,composite_source
