priority,status,candidate,matchedCompanyName,matchedOrgNr,mentions,sourceCount,exampleSources
MEDIUM,tracked,Coop Danmark A/S,Coop Danmark A/S,DK-26259495,103,58,Salling Group A/S erhvervelse af dele af Coop Danmark A/S; Salling Group A/S erhvervelse af dele af Coop Danmark A/S; Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); KI-priority — Reports + Theses (KI-PRIORITY.md); Foreldreløse PDF-er — forslag til innlegging i seed (ORPHAN-REVIEW.md)
MEDIUM,tracked,Salling Group A/S,Salling Group A/S,DK-35954716,102,54,Salling Group A/S erhvervelse af dele af Coop Danmark A/S; Salling Group A/S erhvervelse af dele af Coop Danmark A/S; Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); KI-priority — Reports + Theses (KI-PRIORITY.md); Foreldreløse PDF-er — forslag til innlegging i seed (ORPHAN-REVIEW.md)
MEDIUM,tracked,Coop Norge SA,Coop Norge SA,936560288,82,52,Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Plattform-kobling — seed ↔ arkiv (PLATTFORM-KOBLING.md); Plattform-kobling — seed ↔ arkiv (_status/PLATTFORM-KOBLING.md); Gjennomgang av arsrapporter -- nordiske dagligvareaktorer (analyse/pdf-gjennomgang-arsrapporter.md); Sentralt Kilderegister: Food Systems 2026 (bibliotek/KILDEREGISTER.md)
MEDIUM,tracked,NorgesGruppen ASA,NorgesGruppen ASA,819731322,82,47,Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Plattform-kobling — seed ↔ arkiv (PLATTFORM-KOBLING.md); Plattform-kobling — seed ↔ arkiv (_status/PLATTFORM-KOBLING.md); Gjennomgang av arsrapporter -- nordiske dagligvareaktorer (analyse/pdf-gjennomgang-arsrapporter.md); Sentralt Kilderegister: Food Systems 2026 (bibliotek/KILDEREGISTER.md)
MEDIUM,tracked,Hagar plc,Hagar hf,IS-670203-2120,50,32,KI-priority — Reports + Theses (KI-PRIORITY.md); Plattform-kobling — seed ↔ arkiv (PLATTFORM-KOBLING.md); Research Corpus Audit -- Food Systems 2026 (RESEARCH-AUDIT.md); Research Corpus Audit -- Food Systems 2026 (_plans/RESEARCH-AUDIT.md); Plattform-kobling — seed ↔ arkiv (_status/PLATTFORM-KOBLING.md)
MEDIUM,tracked,REITAN AS,Reitan Retail AS,914526647,44,26,"Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Gjennomgang av arsrapporter -- nordiske dagligvareaktorer (analyse/pdf-gjennomgang-arsrapporter.md); Sentralt Kilderegister: Food Systems 2026 (bibliotek/KILDEREGISTER.md); Grossist, distribusjon og logistikkinfrastruktur i Norden (norden/verdikjede/03-distribusjon-logistikk.md); Nordisk Dagligvaremarked: Markedsstruktur og Validering 2024–2026 (perpl-17-03/Nordisk Dagligvaremarked  Markedsstruktur og Validering 2024–2026.md)"
MEDIUM,tracked,TINE SA,TINE SA,947942638,27,17,"Sentralt Kilderegister: Food Systems 2026 (bibliotek/KILDEREGISTER.md); Grossist, distribusjon og logistikkinfrastruktur i Norden (norden/verdikjede/03-distribusjon-logistikk.md); Selskapsdata: 14 Norske Matsystem-Aktorer (norge/selskapsdata-14-aktorer.md); Nordisk Primærproduksjon: Komparativ Analyse (norden/verdikjede/01-primaerproduksjon.md); Kryssegment Verdikjedeanalyse: Maktkonsentrasjon og Systemrisiko i Nordiske Matsystemer (norden/verdikjede/10-kryss-analyse.md)"
MEDIUM,tracked,Mowi ASA,Mowi ASA,964118191,26,16,Sentralt Kilderegister: Food Systems 2026 (bibliotek/KILDEREGISTER.md); Sjømatfôr — Råvareopprinnelse og globale sårbarheter (norden/verdikjede/07b-sjomatfor-saarbarhet.md); Selskapsdata: 14 Norske Matsystem-Aktorer (norge/selskapsdata-14-aktorer.md); Nordisk Sjømatverdikjede: Komparativ Analyse (norden/verdikjede/07-sjoemat.md); Nordic Food System M&A Activity 2020-2025 (external/nordic-food-ma-2020-2025.md)
MEDIUM,tracked,Nortura SA,Nortura SA,938752648,21,15,"Sentralt Kilderegister: Food Systems 2026 (bibliotek/KILDEREGISTER.md); Grossist, distribusjon og logistikkinfrastruktur i Norden (norden/verdikjede/03-distribusjon-logistikk.md); Selskapsdata: 14 Norske Matsystem-Aktorer (norge/selskapsdata-14-aktorer.md); Nordisk Primærproduksjon: Komparativ Analyse (norden/verdikjede/01-primaerproduksjon.md); Kryssegment Verdikjedeanalyse: Maktkonsentrasjon og Systemrisiko i Nordiske Matsystemer (norden/verdikjede/10-kryss-analyse.md)"
MEDIUM,tracked,Kesko Oyj,Kesko Oyj,FI-0110456-8,17,15,Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Plattform-kobling — seed ↔ arkiv (PLATTFORM-KOBLING.md); Plattform-kobling — seed ↔ arkiv (_status/PLATTFORM-KOBLING.md); Gjennomgang av arsrapporter -- nordiske dagligvareaktorer (analyse/pdf-gjennomgang-arsrapporter.md); Nordisk HoReCa og Storhusholdning: Komparativ Analyse (2024-2026) (norden/verdikjede/05-horeca.md)
MEDIUM,tracked,Orkla ASA,Orkla ASA,910747711,22,14,Sentralt Kilderegister: Food Systems 2026 (bibliotek/KILDEREGISTER.md); Selskapsdata: 14 Norske Matsystem-Aktorer (norge/selskapsdata-14-aktorer.md); Nordic Food System M&A Activity 2020-2025 (external/nordic-food-ma-2020-2025.md); Nordisk Foredlingsindustri: Komparativ Analyse (norden/verdikjede/02-foredling.md); Kryssegment Verdikjedeanalyse: Maktkonsentrasjon og Systemrisiko i Nordiske Matsystemer (norden/verdikjede/10-kryss-analyse.md)
MEDIUM,tracked,SalMar ASA,SalMar ASA,960514718,18,14,Sentralt Kilderegister: Food Systems 2026 (bibliotek/KILDEREGISTER.md); Selskapsdata: 14 Norske Matsystem-Aktorer (norge/selskapsdata-14-aktorer.md); Nordisk Sjømatverdikjede: Komparativ Analyse (norden/verdikjede/07-sjoemat.md); Nordic Food System M&A Activity 2020-2025 (external/nordic-food-ma-2020-2025.md); Kryssegment Verdikjedeanalyse: Maktkonsentrasjon og Systemrisiko i Nordiske Matsystemer (norden/verdikjede/10-kryss-analyse.md)
