status,companyName,orgNr,year,financialId,documentId,documentPath,documentUrl,source,revenueNok,operatingResult,ebitda,note
applied_2026-05-18,ASKO Norge AS,929228723,2024,cmp8xyt9a007rxrvm14yk2vcg,,research/evidence-pack/regnskapsregisteret-snapshots/929228723-2024-2026-05-18.json,https://data.brreg.no/regnskapsregisteret/regnskap,"Brønnøysund Regnskapsregisteret 2024 selskapsregnskap. NOK 524,186,809 sum driftsinntekter and NOK 21,484,744 driftsresultat",524.19,21.48,,Applied with SourceCitation cit_a1df08842b7d7d395c553f81fcb9804b and FieldCitation coverage for revenueNok and operatingResult.
applied_2026-05-18,Axfood AB,SE-556542-5353,2024,cmp8xytcu00b8xrvmeos6du2e,cmp8xynq700iqvvvmlhtxp2u8,evidence-pack/arsrapporter/axfood-annual-report-2024.pdf,https://mb.cision.com/Main/1306/4109005/3277591.pdf,"Axfood Annual Report 2024. SEK 84,057m net sales and SEK 3,290m operating profit; Norges Bank 2024 SEK/NOK 1.0174",85519.6,3347.2,,Applied with SourceCitation cit_48006a1e323eab5536935d228f642ecb and FieldCitation coverage for revenueNok and operatingResult.
applied_2026-05-18,Coop Danmark A/S,DK-26259495,2024,cmp8xytea00czxrvm3qmdqidl,cmp8xynrj00isvvvmhkatnur3,evidence-pack/arsrapporter/coop-danmark-2024.pdf,https://coop.dk/media/vvwp2bdy/coop-danmark-aarsrapport-2024.pdf,"Coop Danmark Årsrapport 2024. DKK 33,618m net revenue and DKK 634m EBIT after special items; Norges Bank 2024 DKK/NOK 1.5589",52407.1,988.3,,Applied with SourceCitation cit_34787e6bb425563982ca269ae020347e and FieldCitation coverage for revenueNok and operatingResult.
applied_2026-05-18,Coop Norge SA,936560288,2024,cmp8xyt17000oxrvmvfjy945x,cmp8xynsj00itvvvmc2p5jpp4,evidence-pack/arsrapporter/coop-norge-2024.pdf,https://downloads.eu.ctfassets.net/69zmfo9ko3qk/2QvCIRYayaH5K6dAMK48De/2801533b804d7c9f660b997103bd675e/Coop_Norge_SA_%C3%A5rsrapport_2024_HR_1.pdf,Årsresultat 2024,64595,671,,Applied exact MNOK values with SourceCitation cit_53fdccea02ac0d24c99945e32e40940f and FieldCitation coverage for revenueNok and operatingResult.
applied_2026-05-18,Hagar hf,IS-670203-2120,2020,cmp8xytg300fdxrvmk2650vrf,,research/evidence-pack/arsrapporter/hagar-historical/hagar-2020-21-annual-report.pdf,https://www.hagar.is/media/bhshw3h2/hagar-%C3%A1rsreikningur-28-2-2021-%C3%ADsl.pdf,"Hagar fiscal 2020/21. Sales ISK 119582m, EBITDA ISK 8805m, EBIT ISK 4547m; Norges Bank daily ISK/NOK average 2020-03-01 to 2021-02-28 = 0.06840159",8179.6,311.0,602.3,"Applied locally 2026-05-18 with SourceCitation cit_76c23f6da256eb945d346ad3d627208c and 9 FieldCitation rows; fiscalYearLabel=2020/21, fiscalPeriodStart=2020-03-01, fiscalPeriodEnd=2021-02-28, reportingCurrency=ISK."
applied_2026-05-18,Hagar hf,IS-670203-2120,2021,cmp8xytgi00fexrvmff1vspqq,,research/evidence-pack/arsrapporter/hagar-historical/hagar-2021-22-annual-report.pdf,https://www.hagar.is/media/2kwpdvkn/hagar-%C3%A1rsreikningur-28-2-2022-%C3%ADsl.pdf,"Hagar fiscal 2021/22. Sales ISK 135758m, EBITDA ISK 10518m, EBIT ISK 6277m; Norges Bank daily ISK/NOK average 2021-03-01 to 2022-02-28 = 0.06825984",9266.8,428.5,718.0,"Applied locally 2026-05-18 with SourceCitation cit_7215a2b35d2177866068980684189c0a and 9 FieldCitation rows; fiscalYearLabel=2021/22, fiscalPeriodStart=2021-03-01, fiscalPeriodEnd=2022-02-28, reportingCurrency=ISK."
applied_2026-05-18,Hagar hf,IS-670203-2120,2022,cmp8xytgj00ffxrvmbt3dkcst,,research/evidence-pack/arsrapporter/hagar-historical/hagar-2022-23-annual-report.pdf,https://www.hagar.is/media/3oypylpj/hagar-%C3%A1rsreikningur-28-2-2023-%C3%ADsl_undirrita%C3%B0ur.pdf,"Hagar fiscal 2022/23. Sales ISK 161992m, EBITDA ISK 12041m, EBIT ISK 7588m; Norges Bank daily ISK/NOK average 2022-03-01 to 2023-02-28 = 0.07118504",11531.4,540.2,857.1,"Applied locally 2026-05-18 with SourceCitation cit_6423c8607e8a537792fdc44bc27aef2a and 9 FieldCitation rows; fiscalYearLabel=2022/23, fiscalPeriodStart=2022-03-01, fiscalPeriodEnd=2023-02-28, reportingCurrency=ISK."
applied_2026-05-18,Hagar hf,IS-670203-2120,2023,cmp8xytgk00fgxrvmu6u9esj4,,research/evidence-pack/arsrapporter/hagar-historical/hagar-2023-24-annual-report.pdf,https://www.hagar.is/media/2sipvkg4/hagar-%C3%A1rsreikningur-29-02-2024-%C3%ADsl_signed.pdf,"Hagar fiscal 2023/24. Sales ISK 173270m, EBITDA ISK 13063m, EBIT ISK 8035m; Norges Bank daily ISK/NOK average 2023-03-01 to 2024-02-29 = 0.07760317",13446.3,623.5,1013.7,"Applied locally 2026-05-18 with SourceCitation cit_a4b49e450d81ac1fa4bc03d9c2ff510e and 9 FieldCitation rows; fiscalYearLabel=2023/24, fiscalPeriodStart=2023-03-01, fiscalPeriodEnd=2024-02-29, reportingCurrency=ISK."
applied_2026-05-18,Hagar hf,IS-670203-2120,2024,cmp8xytgl00fhxrvmenzl3e5i,cmp8xynsz00iuvvvmqr0509v4,evidence-pack/arsrapporter/hagar-2024-25.pdf,https://www.hagar.is/media/fgpfwir5/fr%C3%A9ttatilkynning-hagar-4f-2024-25-ensk.pdf,"Hagar hf fiscal 2024/25. Sales ISK 180342m, operating profit ISK 10429m, EBITDA ISK 14738m; Norges Bank daily ISK/NOK average 2024-03-01 to 2025-02-28 = 0.0785668",14168.9,819.4,1157.9,"Applied locally 2026-05-18 with SourceCitation cit_d713d87714009e3cb7641990e8ce2610 and 9 FieldCitation rows; fiscalYearLabel=2024/25, fiscalPeriodStart=2024-03-01, fiscalPeriodEnd=2025-02-28, reportingCurrency=ISK."
applied_2026-05-18,ICA Gruppen AB,SE-556048-2837,2024,cmp8xytcf00aqxrvmeibev62f,cmp8xynuz00ivvvvmxig8fobh,evidence-pack/arsrapporter/ica-gruppen-annual-report-2024.pdf,https://www.icagruppen.se/globalassets/xx.-arsredovisning-2024/250221_icagruppen_annual_report_2024.pdf,"ICA Gruppen Annual Report 2024. SEK 157,216m net sales and SEK 7,022m operating profit; Norges Bank 2024 SEK/NOK 1.0174",159951.6,7144.2,,Applied with SourceCitation cit_9c8ce0807bacc543be076c37e9a773f0 and FieldCitation coverage for revenueNok and operatingResult.
