COUNTYID,MUNICIPALITY,LISTCATEGORYID,LISTCATEGORY,LISTTYPEID,LISTTYPE,APPROVALID,ORGANIZATIONNAME,ORGANIZATIONTOWN,CATEGORY,ACTIVITIES,PRODUCTTYPES,ASSOCIATEDACTIVITIES,REMARKS,CHANPROCEDURE,APPROVALFROMDATE,APPROVALTODATE
15,1531,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,600031,TRIPLENINE VEDDE AS,"Rasmusbakken 26, 6030 LANGEVÅG",3,PROCP,"FATF, FIM",,Origin: AQU_W. Fishmeal processing method | Processing method 7. ,,,
46,4602,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002498,PELAGIA MÅLØY HEALTH,6718 DEKNEPOLLEN,3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
18,1860,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,200022,THE QRILL COMPANY AS AVD STAMSUND,"J.M.Johansens vei 99, 8340 STAMSUND",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
50,5057,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,800094,Scanbio Ingredients AS avd Bjugn,"Bjugnveien 245, 7160 BJUGN",3,PROCP,"FATF, FIM, HYDP, PAP",,Origin: AQU_A|AQU_W. Processing method 7. ,,,
15,1506,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1001851,HOFSETH BIOCARE ASA AVD MIDSUND,"Stormyrvegen 52, 6475 MIDSUND",3,PROCP,"FATF, FIM, HYDP",,Origin: AQU_A|NON_RUM. Processing method 7. ,,,
18,1857,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1004777,LOFOTEN BIOMARINE AS,"Røstnesvågen 26, 8063 VÆRØY",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
55,5501,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1001279,NOFIMA AS AVD BIOTEP,"Ropnesveien 71, 9107 KVALØYA","3, 3",PROCP,FIM,,,,,
46,4625,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,600056,PELAGIA SALTHELLA,"Fiskerihamnvegen 75, 5397 BEKKJARVIK",3,PROCP,"FATF, FIM, HYDP",,Origin: AQU_A. Processing method 7. ,,,
31,3107,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1005652,FOOR AS,"Thorsøveien 97, 1634 GAMLE FREDRIKSTAD",3,PROCP,PAP,,Origin: INS. Processing method 7. ,,,
50,5057,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1000989,SCANBIO INGREDIENTS AS AVD LYSØYSUNDET,"Strandgata 11, 7168 LYSØYSUNDET",2,OEFP,"FATOT, MBM",,,,,
11,1149,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002725,SEAGARDEN AS AVD AVALDSNES,"HUSØYVEGEN 278, 4262 AVALDSNES",3,OTHER,"COL, FATF, FIM, FIM, HYDP",,Origin: AQU_A|AQU_W. Processing method 7. ,,,
11,1119,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1005195,TINE SA AVD JÆREN,"Næringsvegen 21, 4365 NÆRBØ",3,OTHER,MIMC,,,,,
15,1508,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1000853,AS HAVSTRAND,"Kjøpmannsgata 37, 6005 ÅLESUND",3,PROCP,"FATF, FATOL, FATOT, FIM",,Origin: AQU_W. Fishmeal processing method | Processing method 7. ,,,
18,1860,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002236,THE QRILL COMPANY AS AVD STAMSUND,"J.M.Johansens vei 99, 8340 STAMSUND",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
18,1860,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1001116,NORDLAND HAVFISKE AS,"Buøyveien 7, 8340 STAMSUND",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
11,1101,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,600106,PELAGIA EGERSUND SILDOLJEFABRIKK,"Åsaneveien 103, 4373 EGERSUND",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
31,3118,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002905,BIOCO AS,"Sloraveien 60sloraveien 60, 1878 HÆRLAND",3,PROCP,"FATF, HYDP, PAP",,Origin: AVES. Processing method 7. ,,,
42,4207,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1004681,FINNY SIREVAAG AS,"Midtbø 1, 4420 ÅNA-SIRA",3,PROCP,FIM,,Origin: AQU_W. Processing method 7. ,,,
50,5056,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1004435,NUTRISHELL AS,"Hitra Fiskerihavn, Gnr 87 Bnr 187, 7241 ANSNES",3,PROCP,FIM,,Processing method 7. ,,,
15,1508,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1004964,HOFSETH AQUA AVD 31 SLAKTERI ÅLESUND,"Fjordgata 52, 6005 ÅLESUND",3,PROCP,FATF,,Origin: AQU_A. Processing method 7. ,,,
34,3441,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1004872,KRAFTULL AS,"Vestringsvegen 1888, 2653 VESTRE GAUSDAL",3,PROCP,OTHER,,Processing method 3. ,,,
50,5037,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002204,ST1 BIOKRAFT AS AVD. SKOGN,"Sjøvegen 180, 7620 SKOGN","2, 3",OEFP,MANP,,Processing method 7. ,,,
15,1506,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1005397,HAVILA BIOGASS NESSET AS,"Raudsandvegen 100, 6460 EIDSVÅG I ROMSDAL",2,OEFP,OTHER,,,,,
18,1860,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1000774,THE QRILL COMPANY AS AVD STAMSUND,"J.M.Johansens vei 99, 8340 STAMSUND",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
32,3218,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002924,NORGES MILJØ- OG BIOVITENSKAPLIGE UNIVERSITET (NMBU) CAMPUS ÅS,"Universitetstunet 3, 1433 ÅS",1,PROCP,OTHER,,Processing method 2. ,,,
34,3403,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,100073,Miljøfôr Norge avd Hamar,"Imerslundvegen 72, 2323 INGEBERG",3,PROCP,FEED,,Processing method 7. ,,,
11,1133,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,120089,MOWI NUTRITION HJELMELAND,"Hundsnesvegen 151, 4130 HJELMELAND",3,PROCP,"FATF, FIM, HYDP",,Origin: AQU_A. Processing method 7. ,,,
50,5060,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1000856,VITAL RØRVIK AS,"Kråkøyveien 66, 7900 RØRVIK",3,PROCP,"FATF, FIM",,Processing method 7. ,,,
46,4602,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,400036,PELAGIA MÅLØY SILDOLJEFABRIKK,6718 DEKNEPOLLEN,3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
