GODKJENNINGSNUMMER,VIRKSOMHETSNAVN,BEDRIFTSNUMMER,ADRESSE,POSTNR,POSTSTED,PRODUKSJONSFORM
N570,A Johansen As,974110555,Gleaveien 9,8064,Røst,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
NT330,Aakervik M As,971654910,Havnegata 16,7800,Namsos,FFPP
NT200,Aakervik M As,971654910,Havnegata 16,7800,Namsos,FFPP
F837,Aalesundfisk Mehamn As,917799539,Værveien 93,9770,Mehamn,"FFPP, FFPP-P"
F357,Aalesundfisk Skarsvåg As,917855374,Børnesveien 52,9763,Skarsvåg,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
F836,Aalesundfisk Vardø As,920170854,Svartnes Havnelageret,9950,Vardø,"FFPP, FFPP-P, PP-ST"
TL11,Abelvær Filetfabrikk As,922560420,Abelværvegen 1773,7950,Abelvær,FFPP-P
M360,Abs As,994995766,Lyngholmvegen 8,6057,Ellingsøy,"FFPP-P, PP-KL, PP-SA"
VF247,Active Foods Innovation As,936640192,Hågasletta 11,3236,Sandefjord,RW
VI21,Aker Biomarine Understory As Avd Lysaker,932572249,Anolitveien 1-3,1400,Ski,PP-MA
F673,Albert Martin Mikalsen,969617560,,9771,Skjånes,PP-ST
N1008,Aldra Fiskalag,999438881,Aldersundveien 404,8730,Bratland,FFPP
T1234,Alf Johan Hemmingsen,,Alf Johan Hemmingsen,9100,Kvaløysletta,PP-ST
TK427,Alf Thommesen,978345379,Vaterlands Gate 22,3970,Langesund,PP-C
A241,Alimenta As Avd Produksjon,926457896,Jeksleveien 2,2016,Frogner,RW
N136,Alsvåg Lakseslakteri As,978661130,Anna Eriksens Vei 8,8432,Alsvåg,"FFPP, FFPP-S, FFPP-SA"
TF7,Amarin As,896536982,Gottesjord,9310,Sørreisa,"FFPP, FFPP-P, PP-ST"
O264,Ambo Europe As,890062512,Vestjordet 14,1361,Østerås,PP-MA
N2407,Aminor As Lovund,932375613,Naustholmveien 13,8764,Lovund,"FFPP-P, FFPP-S"
N63,Andenes Fiskemottak As,995507412,Hamnegata 69,8480,Andenes,"FFPP, PP-SA"
N2240,Anne Marie As,997987934,Losbakken 1,8320,Skrova,"FFPP, FFPP-P"
F704,Anne-Karin Halvorsen,,Aronnesveien 84 A,9514,Alta,PP-ST
T1147,Ansgar Eilif Hansen,,Løkvoll,9144,Samuelsberg,PP-ST
T247,Aqua Drift As,987630612,Vengsøya 162,9120,Vengsøy,"FFPP, FFPP-P, PP-SA, PP-ST"
R808,Aquazyme Technology As,989603841,"Iris, Professor Olav Hanssens Vei 15,",4021,Stavanger,PP-MA
F104,Arctic Catch As,993277525,Svartneset,9950,Vardø,"FFPP, PP"
TF57,Arctic Catch As,993277525,Ørtangen 10,9800,Vadsø,FFPP
F158,Arctic Catch As,993277525,Svartneset,9950,Vardø,"FFPP, FFPP-P, PP-C"
T1205,Arctic Filet As,995345781,Værnesveien 101,9381,Torsken,"FFPP-P, PP"
T1253,Arctic Food Lab As,834945592,Utsikten 131,9018,Tromsø,"FFPP, PP"
F819,Arctic Resource Norge As,912969878,Strandgata 21,9690,Havøysund,"FFPP, FFPP-P"
T226,Arcticzymes Technologies Asa,874864412,Strandgt 3,9008,Tromsø,PP-MA
AA74,Arendal Fiskemottak As,983597564,Kystveien 28,4841,Arendal,"FFPP, FFPP-P"
F682,Arilds Fiskebåtrederi As,979857470,Marienlund 5,9511,Alta,PP-ST
T1184,Arne Samuelsen,,Rotsundveien 988,9153,Rotsund,PP-ST
T1200,Arnfinn Pedersen,978255612,Langfjord,9192,Arnøyhamn,PP-ST
T1170,Arnold Jensen,969614960,Myrslett,9151,Storslett,PP-ST
T1181,Arnold Mikkelsen,969267632,Stornes,9151,Storslett,PP-ST
F696,Arnt Ring,978086411,Vestre Porsangerveien 6808,9713,Russenes,PP-ST
