GODKJENT,GODKJENNINGSNUMMER,PRODUKSJONSFORMER,VIRKSOMHETSNAVN,BEDRIFTSNR,ADRESSE,POSTNR,POSTSTED,TELEFON,TELEFAX,KOMMUNENR,KOMMUNE,FYLKENR,FYLKE
,NO15051516,R,AARSLAND SVIN DA,978183735,Stavnheimsvegen 27,4362,VIGRESTAD,,sikkeheskestad@hotmail.com,1119,Hå,11,Rogaland
,NO25054173,M,AAT DRIFT AS,935805236,Mosseveien 41,1610,FREDRIKSTAD,,,3107,Fredrikstad,31,Østfold
A,NO10050081,ABG,ADDCON NORDIC AS,984662793,Tormod Gjestlands veg 16,3936,PORSGRUNN,35564100,35564150,4001,Porsgrunn,40,Telemark
,NO12050878,M,ADEPTO HOLDING AS,979889259,Industrigata 8,4362,Vigrestad,,,1119,Hå,11,Rogaland
,NO15051431,I,AGRICULTURA DA,912331636,Bodding skoleveg 2,2150,ÅRNES,,,3228,Nes,32,Akershus
,NO18052167,M,AGRI-NORD AS,919416157,Krabbatveitvegen 35,5570,AKSDAL,,,1146,Tysvær,11,Rogaland
,NO18052079,O,AGRODRIFT AS,988685151,Løkjavegen 55,2345,ÅDALSBRUK,90 76 78 99,,3412,Løten,34,Innlandet
,NO11050499,NS,AGROTECH PRODUCTION AS,987566728,Øraveien 2,1630,GAMLE FREDRIKSTAD,,69395181,3107,Fredrikstad,31,Østfold
A,NO11050499,NS,AGROTECH PRODUCTION AS,987566728,Øraveien 17,1630,GAMLE FREDRIKSTAD,,69395181,3107,Fredrikstad,31,Østfold
,NO21053258,P,AIT WORLDWIDE LOGISTICS NORWAY AS AVD GARDERMOEN,971991623,Valhallavegen 6,2060,GARDERMOEN,,,3209,Ullensaker,32,Akershus
,NO14051176,P,AIT WORLDWIDE LOGISTICS NORWAY AS AVD MOSS,993040215,Vanemveien 1,1599,MOSS,,,3103,Moss,31,Østfold
,NO10050394,Q,AKSEL ENDRESEN TRANSPORT AS,974873656,Havnegata 14,8430,MYRE,76133626,76134452,1868,Øksnes,18,Nordland
,NO18052036,Q,AKSEL HAGEBØ TRANSPORT AS,820499662,Jamnevegen 68,5725,VAKSDAL,,,4628,Vaksdal,46,Vestland
,NO12050945,M,AKSEL HARBY AS,971701536,Åsmarkvegen 755,2364,NÆROSET,,,3411,Ringsaker,34,Innlandet
,NO10050141,O,AKSELSEN AGENTURER A/S,971981873,Rolfstangveien 12,1367,SNARØYA,,,3312,Lier,33,Buskerud
,NO23053501,HM,AKVARIEBODEN AS,998282543,Industriveien 10,4331,ÅLGÅRD,,,1122,Gjesdal,11,Rogaland
,NO23053612,M,AKVARIET I BERGEN AKVARIET,974123606,Nordnesbakken 4,5005,BERGEN,,,4601,Bergen,46,Vestland
,NO19052961,I,ALEX MIGUEL ERLAND,,MARKAHOLEN 5,4032,STAVANGER,,,,,,
,NO17051941,Q,ALF ERIK ELIASSEN,993518514,Mosbergvikveien 10,9050,STORSTEINNES,,,5532,Balsfjord,55,Troms
,NO18052103,N,ALF STEINHOVDEN VESTFOR AS,998311217,Sandviksvegen 473,6940,EIKEFJORD,,,4602,Kinn,46,Vestland
,NO10050017,I,Algea AS avd. Brønnøysund,973170201,Biskopholmen 3,8909,BRØNNØYSUND,75018622,,1813,Brønnøy,18,Nordland
A,NO10050256,DEMN,ALGOL CHEMICALS AS,983057535,c/o ECIT Veiby Akonto AS,3511,HØNEFOSS,,,3305,Ringerike,33,Buskerud
,NO13051115,G,ALIMENTA AS AVD PRODUKSJON,926457896,Jeksleveien 2,2016,FROGNER,,,3205,Lillestrøm,32,Akershus
,NO16051747,M,ALLER AQUA NORWAY AS,994072293,Datablokken 7 etasje,5006,BERGEN,,,4601,Bergen,46,Vestland
A,NO11050635,DEKLMNO,ALLTECH NORWAY AS AVD FØRDE,984254776,Hafstadvegen 80,6813,FØRDE,,,4647,Sunnfjord,46,Vestland
,NO19052861,Q,ALPHA CHARTERING AS,988416762,C. Sundts gate 37,5004,BERGEN,55 90 73 40,,4601,Bergen,46,Vestland
,NO15051470,Q,ALTA LOGISTICS AS,980552888,Humleveien 9,9514,ALTA,,,5601,Alta,56,Finnmark
,NO17051858,N,ALV AALEN EFTF AS,971654961,,6711,BRYGGJA,57 85 49 99,57 85 3107,4649,Stad,46,Vestland
,NO10050073,IN,AM NUTRITION AS,987730528,Sandvikveien 21,4016,STAVANGER,,,1103,Stavanger,11,Rogaland
,NO10050073,IN,AM NUTRITION AS,987730528,Sandvikveien 21,4016,Stavanger,,,1103,Stavanger,11,Rogaland
,NO10050227,M,AMAZOON AS AVD KILDEN,982592666,Gartnerveien 16,4016,STAVANGER,,,1103,Stavanger,11,Rogaland
,NO11050547,J,AMBO EUROPE AS,890062512,Vollsveien 76,1358,Jar,92839639,,3201,Bærum,32,Akershus
,NO10050334,Q,ANDERSEN REIDAR,972555274,Nordre Liverudvei 54,1816,SKIPTVET,,,3116,Skiptvet,31,Østfold
,NO18052559,N,ANDRE SKURDAL,885363482,Linnebråteveien 207,1455,NORDRE FROGN,,,3214,Frogn,32,Akershus
,NO18051953,R,ANDREAS SANN FOUGNER,999265499,Øverbygdsvegen 1154,2656,FOLLEBU,,,3441,Gausdal,34,Innlandet
,NO26054267,QT,ANDREASSEN AS,916619359,Granavegen 31B,7670,INDERØY,,,5053,Inderøy,50,Trøndelag
,NO16051697,N,ANICURA DYRESYKEHUSET TROMSØ,872626492,Stakkevollvegen 14,9010,TROMSØ,,,5501,Tromsø,55,Troms
,NO26054444,N,ANN ZULAUF,,Nipveien 89,9440,EVENSKJER,,,,,,
,NO25054216,J,ANN-CHARLOTTE POTEVENN AS,836582772,Grindbråtan 34E,1484,HAKADAL,,,3232,Nittedal,32,Akershus
,NO25053793,N,ANN-CHARLOTTE TÖRNQVIST,934646517,Siggerudsvegen 152,2270,FLISA,,,3418,Åsnes,34,Innlandet
,NO18052135,N,ANNE BRITT HELGØY HIDLE,978573800,Helgøy,4170,SJERNARØY,,,1103,Stavanger,11,Rogaland
,NO18052252,N,ANNE LOTTE JOHANSEN KONGSRUD,,SANDERUDSVEGEN 162,2133,GARDVIK,,,,,,
,NO19052737,M,ANYTAIL AS,821631572,Øvreveien 16,4316,SANDNES,,,1108,Sandnes,11,Rogaland
,NO25054221,M,A-PET AS,936365108,Gaustadgata 19,1482,NITTEDAL,,,3232,Nittedal,32,Akershus
,NO18051974,I,APINOR AS,912604675,Tussefaret 4,1890,RAKKESTAD,,,3120,Rakkestad,31,Østfold
,NO18052020,O,APOTEK 1 GRUPPEN MULTIDOSE/LAGER SKÅRER,974881896,Skårersletta 55,1473,LØRENSKOG,,,3222,Lørenskog,32,Akershus
A,NO15051590,U,AQUAMED AS,815092562,c/o Lofoten Bio Centre,8370,LEKNES,,,1860,Vestvågøy,18,Nordland
,NO10050181,Q,AQUASHIP FEEDTRANS AS,985608717,Hafstadvegen 21,6800,Førde,,,1506,Molde,15,Møre og Romsdal
,NO21053196,MNO,ARC AS,993661600,Ringkollen 23B,3227,SANDEFJORD,,,3907,Sandefjord,39,Vestfold
,NO20053147,KLN,ARCTIC FEED INGREDIENTS AS,921912048,Skolegata 22,7713,STEINKJER,,,5006,Steinkjer,50,Trøndelag
,NO16051774,M,ARCTIC PETS AS,918468439,Diseplassveien 21,3612,KONGSBERG,,,3303,Kongsberg,33,Buskerud
,NO14051177,N,ARKEN ZOO AS,972047503,Åsane Senter 37,5116,ULSET,,,4601,Bergen,46,Vestland
