Time,DK,FI,NO,SE
2015-01,99.500,101.890,97.400,98.240
2015-02,99.200,100.890,99.200,99.070
2015-03,99.700,100.920,97.700,99.170
2015-04,99.800,100.560,98.200,99.690
2015-05,100.000,100.140,99.600,100.400
2015-06,100.800,99.940,100.700,99.860
2015-07,100.700,98.760,102.400,100.720
2015-08,100.200,98.690,101.600,100.850
2015-09,100.400,98.730,101.800,100.610
2015-10,100.400,99.640,100.800,100.870
2015-11,99.600,100.000,101.700,100.460
2015-12,99.800,99.850,98.900,100.050
2016-01,99.400,99.620,99.200,100.480
2016-02,99.900,99.290,102.600,100.770
2016-03,99.000,99.400,99.200,101.240
2016-04,99.500,99.680,102.200,101.330
2016-05,100.400,98.520,102.300,101.370
2016-06,100.500,98.320,103.400,100.440
2016-07,100.500,98.760,106.400,101.730
2016-08,100.600,98.200,105.300,101.270
2016-09,100.200,98.150,104.900,100.740
2016-10,99.800,98.380,104.400,101.170
2016-11,100.600,99.220,103.500,101.150
2016-12,100.900,99.300,100.500,101.720
2017-01,101.400,97.200,101.000,102.220
2017-02,102.500,98.740,102.400,102.880
2017-03,101.400,97.720,102.000,102.920
2017-04,101.500,97.930,100.000,102.850
2017-05,102.200,97.520,102.700,102.940
2017-06,102.900,97.330,103.900,102.800
2017-07,104.600,97.290,106.700,103.950
2017-08,104.000,98.110,103.100,103.860
2017-09,103.900,97.710,102.600,103.500
2017-10,103.700,98.010,102.900,103.740
2017-11,104.000,98.950,102.500,103.760
2017-12,102.900,99.230,101.100,104.730
2018-01,103.000,98.680,103.500,104.690
2018-02,103.400,99.980,105.500,104.890
2018-03,102.400,100.210,103.600,105.140
2018-04,102.900,99.580,103.700,105.550
2018-05,102.900,99.840,103.800,106.210
2018-06,102.900,99.620,104.300,105.350
2018-07,103.600,99.260,108.100,106.730
2018-08,102.500,99.860,106.400,106.310
2018-09,103.100,100.450,106.100,106.800
2018-10,102.900,100.580,105.300,106.250
2018-11,103.200,100.050,106.800,106.020
2018-12,102.700,100.340,104.400,106.750
2019-01,104.100,100.720,104.600,106.370
2019-02,104.500,102.020,107.600,107.880
2019-03,104.100,101.110,106.500,108.650
2019-04,103.500,101.590,105.700,108.450
2019-05,104.200,100.330,104.800,108.560
2019-06,105.000,100.700,105.600,108.620
2019-07,105.900,99.980,110.000,110.910
2019-08,104.800,101.570,107.400,109.930
2019-09,104.400,100.720,106.900,109.790
2019-10,104.200,100.950,105.600,109.260
2019-11,104.400,101.190,106.000,109.580
2019-12,103.600,102.120,104.000,109.610
2020-01,104.100,102.530,106.800,109.080
2020-02,104.900,103.370,109.700,110.550
2020-03,105.300,102.910,109.400,111.330
2020-04,105.100,102.640,110.300,112.180
2020-05,105.400,102.720,109.600,112.690
2020-06,105.800,103.120,108.700,111.490
2020-07,106.600,102.920,112.300,112.600
2020-08,105.500,102.470,111.300,112.140
2020-09,104.500,102.740,110.900,110.770
2020-10,104.800,102.680,110.000,110.830
2020-11,104.900,102.720,109.500,110.830
2020-12,103.800,102.310,106.900,110.690
2021-01,104.400,102.900,107.500,111.260
2021-02,105.000,103.220,109.700,110.810
2021-03,104.200,103.370,109.000,111.350
2021-04,105.300,103.520,107.900,111.770
2021-05,105.400,103.200,107.400,111.730
2021-06,105.500,102.750,106.700,111.250
2021-07,107.200,102.900,109.000,112.440
2021-08,106.100,102.960,108.000,112.620
2021-09,106.100,103.320,106.500,111.850
2021-10,106.200,103.700,105.400,112.290
2021-11,107.100,104.300,105.400,112.060
2021-12,105.500,104.010,104.800,112.780
2022-01,108.600,106.190,105.700,113.750
2022-02,110.800,107.850,110.600,115.550
2022-03,110.800,108.660,109.000,118.310
2022-04,112.800,109.690,109.800,119.530
2022-05,116.000,112.540,110.100,122.010
2022-06,119.200,113.950,111.900,124.040
2022-07,122.900,115.660,120.400,128.030
2022-08,123.000,115.830,119.100,128.760
2022-09,122.300,118.310,119.300,130.250
2022-10,122.900,120.020,119.200,132.070
2022-11,123.500,121.070,118.800,132.810
2022-12,121.200,120.680,116.900,133.720
2023-01,124.300,122.580,118.300,136.810
2023-02,127.200,125.400,120.200,140.540
2023-03,128.300,126.260,118.300,142.260
2023-04,127.600,124.720,121.300,140.760
2023-05,128.300,125.020,123.800,140.130
2023-06,129.700,124.460,126.700,140.450
2023-07,131.000,125.100,130.800,142.320
2023-08,129.200,123.710,129.500,141.270
2023-09,128.400,123.800,128.000,140.870
2023-10,127.400,124.790,129.200,141.410
2023-11,127.400,124.650,129.400,141.530
2023-12,123.900,123.490,127.200,141.500
2024-01,127.000,124.520,128.600,141.760
2024-02,126.500,124.800,127.800,142.080
2024-03,127.300,124.170,125.500,141.170
2024-04,128.800,124.400,129.300,141.430
2024-05,129.200,124.280,130.500,142.080
2024-06,130.500,123.990,133.000,141.910
2024-07,132.000,124.770,137.300,143.810
2024-08,131.500,123.640,135.400,143.110
2024-09,131.900,124.380,133.200,143.850
2024-10,132.400,125.040,134.200,143.900
2024-11,132.400,125.720,134.800,144.430
2024-12,129.700,124.130,132.200,144.070
2025-01,132.600,125.580,134.900,144.950
2025-02,133.700,126.770,137.200,147.640
2025-03,133.700,127.350,136.200,148.740
2025-04,133.600,127.230,133.900,149.050
2025-05,135.900,127.600,137.200,149.240
2025-06,137.300,126.720,138.900,149.290
2025-07,140.600,128.610,145.000,150.910
2025-08,139.100,126.830,142.500,149.760
2025-09,138.900,127.460,141.400,148.650
2025-10,138.300,127.030,142.300,149.170
2025-11,137.100,127.800,141.000,148.680
2025-12,134.300,126.630,139.100,149.200
