fartoy_id;antall_sedler;antall_linjer;rundvekt_kg;fangstverdi_kr;siste_landingsdato;topp3_arter_rundvekt
;16885;45682;505924094.2;3760023080.0;2026-03-09;Stortare (147 535 647 kg) | Makrell (70 548 442 kg) | Havbrisling (66 464 541 kg)
1938005952;1;1;0.0;0.0;2025-12-22;Nordøstarktisk torsk (0 kg)
1958004699;27;229;30630.5;614790.0;2025-04-23;Sei (19 013 kg) | Nordøstarktisk torsk (5 006 kg) | Lange (2 526 kg)
1959006996;43;419;52357.6;1186752.0;2025-12-15;Nordøstarktisk torsk (44 989 kg) | Sei (4 386 kg) | Kveite (1 195 kg)
1960011101;149;199;30555.0;1438085.0;2025-06-26;Dypvannsreke (30 555 kg)
1962005168;12;116;34754.3;1457104.0;2025-10-13;Nordøstarktisk torsk (29 758 kg) | Kveite (2 962 kg) | Brosme (1 252 kg)
1963007145;8;77;35232.0;1700566.0;2025-11-06;Nordøstarktisk torsk (34 763 kg) | Sei (368 kg) | Kveite (68 kg)
1963007658;3;3;50.0;2500.0;2025-07-03;Dypvannsreke (50 kg)
1964011978;22;31;8014.5;352187.0;2025-05-10;Nordøstarktisk torsk (7 992 kg) | Sei (22 kg)
1964012209;15;118;17539.5;949821.0;2025-08-02;Nordøstarktisk torsk (13 879 kg) | Kveite (2 638 kg) | Brosme (615 kg)
1964012863;5;5;78.6;0.0;2025-12-31;Hummer (79 kg)
1965001070;2;4;114.6;0.0;2025-12-01;Hummer (115 kg)
1966002213;4;7;279.8;3163.0;2025-06-26;Sei (256 kg) | Lyr (13 kg) | Lange (9 kg)
1967002831;2;10;1130.7;57187.0;2025-04-15;Nordøstarktisk torsk (1 126 kg) | Nordøstarktisk hyse (4 kg)
1967005695;27;196;71895.0;3582183.0;2025-06-10;Nordøstarktisk torsk (53 688 kg) | Blåkveite (12 336 kg) | Lange (3 925 kg)
1967006076;29;85;3130.3;0.0;2025-11-21;Taskekrabbe  hun- (2 610 kg) | Taskekrabbe  han- (349 kg) | Nordøstarktisk torsk (58 kg)
1967011839;25;219;63466.5;3346052.0;2025-05-30;Nordøstarktisk torsk (47 580 kg) | Blåkveite (11 742 kg) | Sei (1 315 kg)
1968004440;55;55;4414.0;141045.0;2025-11-06;Sei (3 599 kg) | Dypvannsreke (815 kg)
1968007767;2;8;133.0;53450.0;2025-07-15;Kongekrabbe  hann- (127 kg) | Kongekrabbe  hunn- (6 kg)
