theme,comparison_group,comparability_flag,comparability_reason,analysis_mode,series_id,series_family,country,period,frequency,flow,source_name,dataset_or_table_id,metric,coverage,unit_raw,value_raw,unit_standardized,value_standardized,value_index_base100,index_base_period,analysis_unit,analysis_value,notes
production,nordic_oats_production_volume,level_comparable,"FI, NO and SE are aligned to oats production in 1,000 tonnes.",level,fi_oats_production,oats_production_quantity,FI,2010,annual,,Luke food commodity balance,02_Ravintotase.px,Oats production,national,"1,000 tonnes",809.700,"1,000 tonnes",809.700,100.000,2010,"1,000 tonnes",809.700,"Luke commodity balance reports oats production in million kg, equivalent to 1,000 tonnes."
production,nordic_oats_production_volume,level_comparable,"FI, NO and SE are aligned to oats production in 1,000 tonnes.",level,fi_oats_production,oats_production_quantity,FI,2011,annual,,Luke food commodity balance,02_Ravintotase.px,Oats production,national,"1,000 tonnes",1043.100,"1,000 tonnes",1043.100,128.825,2010,"1,000 tonnes",1043.100,"Luke commodity balance reports oats production in million kg, equivalent to 1,000 tonnes."
production,nordic_oats_production_volume,level_comparable,"FI, NO and SE are aligned to oats production in 1,000 tonnes.",level,fi_oats_production,oats_production_quantity,FI,2012,annual,,Luke food commodity balance,02_Ravintotase.px,Oats production,national,"1,000 tonnes",1073.100,"1,000 tonnes",1073.100,132.531,2010,"1,000 tonnes",1073.100,"Luke commodity balance reports oats production in million kg, equivalent to 1,000 tonnes."
production,nordic_oats_production_volume,level_comparable,"FI, NO and SE are aligned to oats production in 1,000 tonnes.",level,fi_oats_production,oats_production_quantity,FI,2013,annual,,Luke food commodity balance,02_Ravintotase.px,Oats production,national,"1,000 tonnes",1196.800,"1,000 tonnes",1196.800,147.808,2010,"1,000 tonnes",1196.800,"Luke commodity balance reports oats production in million kg, equivalent to 1,000 tonnes."
production,nordic_oats_production_volume,level_comparable,"FI, NO and SE are aligned to oats production in 1,000 tonnes.",level,fi_oats_production,oats_production_quantity,FI,2014,annual,,Luke food commodity balance,02_Ravintotase.px,Oats production,national,"1,000 tonnes",1039.000,"1,000 tonnes",1039.000,128.319,2010,"1,000 tonnes",1039.000,"Luke commodity balance reports oats production in million kg, equivalent to 1,000 tonnes."
production,nordic_oats_production_volume,level_comparable,"FI, NO and SE are aligned to oats production in 1,000 tonnes.",level,fi_oats_production,oats_production_quantity,FI,2015,annual,,Luke food commodity balance,02_Ravintotase.px,Oats production,national,"1,000 tonnes",979.600,"1,000 tonnes",979.600,120.983,2010,"1,000 tonnes",979.600,"Luke commodity balance reports oats production in million kg, equivalent to 1,000 tonnes."
production,nordic_oats_production_volume,level_comparable,"FI, NO and SE are aligned to oats production in 1,000 tonnes.",level,fi_oats_production,oats_production_quantity,FI,2016,annual,,Luke food commodity balance,02_Ravintotase.px,Oats production,national,"1,000 tonnes",1035.100,"1,000 tonnes",1035.100,127.837,2010,"1,000 tonnes",1035.100,"Luke commodity balance reports oats production in million kg, equivalent to 1,000 tonnes."
production,nordic_oats_production_volume,level_comparable,"FI, NO and SE are aligned to oats production in 1,000 tonnes.",level,fi_oats_production,oats_production_quantity,FI,2017,annual,,Luke food commodity balance,02_Ravintotase.px,Oats production,national,"1,000 tonnes",1013.900,"1,000 tonnes",1013.900,125.219,2010,"1,000 tonnes",1013.900,"Luke commodity balance reports oats production in million kg, equivalent to 1,000 tonnes."
production,nordic_oats_production_volume,level_comparable,"FI, NO and SE are aligned to oats production in 1,000 tonnes.",level,fi_oats_production,oats_production_quantity,FI,2018,annual,,Luke food commodity balance,02_Ravintotase.px,Oats production,national,"1,000 tonnes",818.200,"1,000 tonnes",818.200,101.050,2010,"1,000 tonnes",818.200,"Luke commodity balance reports oats production in million kg, equivalent to 1,000 tonnes."
production,nordic_oats_production_volume,level_comparable,"FI, NO and SE are aligned to oats production in 1,000 tonnes.",level,fi_oats_production,oats_production_quantity,FI,2019,annual,,Luke food commodity balance,02_Ravintotase.px,Oats production,national,"1,000 tonnes",1169.800,"1,000 tonnes",1169.800,144.473,2010,"1,000 tonnes",1169.800,"Luke commodity balance reports oats production in million kg, equivalent to 1,000 tonnes."
