theme,comparison_group,comparability_flag,comparability_reason,analysis_mode,series_id,series_family,country,period,frequency,flow,source_name,dataset_or_table_id,metric,coverage,unit_raw,value_raw,unit_standardized,value_standardized,value_index_base100,index_base_period,analysis_unit,analysis_value,notes
production,dk_cereals_output_value_fallback,fallback_only,Value-based Danish cereals output is useful context but not directly comparable with the oats volume subgroup.,fallback,dk_cereals_output_value,cereals_output_value,DK,2022,annual,,StatBank economic accounts agriculture,JOEK1,Cereals output,national,m DKK,20256.000,,,100.000,2022,index (series base=100),100.000,"StatBank JOEK1 PRODUCT=010000, current prices."
production,dk_cereals_output_value_fallback,fallback_only,Value-based Danish cereals output is useful context but not directly comparable with the oats volume subgroup.,fallback,dk_cereals_output_value,cereals_output_value,DK,2023,annual,,StatBank economic accounts agriculture,JOEK1,Cereals output,national,m DKK,11488.000,,,56.714,2022,index (series base=100),56.714,"StatBank JOEK1 PRODUCT=010000, current prices."
production,dk_cereals_output_value_fallback,fallback_only,Value-based Danish cereals output is useful context but not directly comparable with the oats volume subgroup.,fallback,dk_cereals_output_value,cereals_output_value,DK,2024,annual,,StatBank economic accounts agriculture,JOEK1,Cereals output,national,m DKK,11534.000,,,56.941,2022,index (series base=100),56.941,"StatBank JOEK1 PRODUCT=010000, current prices."
trade,nordic_total_goods_trade_change,index_only,"Native currencies and source construction differ, so use rebased movement rather than raw levels.",index,dk_total_goods_exports,total_goods_trade_monthly,DK,2022-01,monthly,exports,StatBank imports and exports SITC,SITC2R4,Trade value,all goods,"DKK 1,000",67634754.000,,,100.000,2022-01,index (series base=100),100.000,"SITC=TOT, LAND=W1, UHBEGREB=GP."
trade,nordic_total_goods_trade_change,index_only,"Native currencies and source construction differ, so use rebased movement rather than raw levels.",index,dk_total_goods_exports,total_goods_trade_monthly,DK,2022-02,monthly,exports,StatBank imports and exports SITC,SITC2R4,Trade value,all goods,"DKK 1,000",69013630.000,,,102.039,2022-01,index (series base=100),102.039,"SITC=TOT, LAND=W1, UHBEGREB=GP."
trade,nordic_total_goods_trade_change,index_only,"Native currencies and source construction differ, so use rebased movement rather than raw levels.",index,dk_total_goods_exports,total_goods_trade_monthly,DK,2022-03,monthly,exports,StatBank imports and exports SITC,SITC2R4,Trade value,all goods,"DKK 1,000",86786654.000,,,128.317,2022-01,index (series base=100),128.317,"SITC=TOT, LAND=W1, UHBEGREB=GP."
trade,nordic_total_goods_trade_change,index_only,"Native currencies and source construction differ, so use rebased movement rather than raw levels.",index,dk_total_goods_exports,total_goods_trade_monthly,DK,2022-04,monthly,exports,StatBank imports and exports SITC,SITC2R4,Trade value,all goods,"DKK 1,000",69254558.000,,,102.395,2022-01,index (series base=100),102.395,"SITC=TOT, LAND=W1, UHBEGREB=GP."
trade,nordic_total_goods_trade_change,index_only,"Native currencies and source construction differ, so use rebased movement rather than raw levels.",index,dk_total_goods_exports,total_goods_trade_monthly,DK,2022-05,monthly,exports,StatBank imports and exports SITC,SITC2R4,Trade value,all goods,"DKK 1,000",76689979.000,,,113.388,2022-01,index (series base=100),113.388,"SITC=TOT, LAND=W1, UHBEGREB=GP."
trade,nordic_total_goods_trade_change,index_only,"Native currencies and source construction differ, so use rebased movement rather than raw levels.",index,dk_total_goods_exports,total_goods_trade_monthly,DK,2022-06,monthly,exports,StatBank imports and exports SITC,SITC2R4,Trade value,all goods,"DKK 1,000",77978593.000,,,115.294,2022-01,index (series base=100),115.294,"SITC=TOT, LAND=W1, UHBEGREB=GP."
trade,nordic_total_goods_trade_change,index_only,"Native currencies and source construction differ, so use rebased movement rather than raw levels.",index,dk_total_goods_exports,total_goods_trade_monthly,DK,2022-07,monthly,exports,StatBank imports and exports SITC,SITC2R4,Trade value,all goods,"DKK 1,000",74952672.000,,,110.820,2022-01,index (series base=100),110.820,"SITC=TOT, LAND=W1, UHBEGREB=GP."
