record_id,country,year_or_period,metric,value,unit,source_id,source_ref,source_owner,source_class,source_format,method_status,evidence_status,quality_flag,comparability_flag,comparison_scope,last_verified,allowed_surfaces,ki_usage_rule,notes
A4-NO-PRODUCTION-2024,NO,2024,biogas_production,0.828,TWh,NORWASTE-BIOGASSTATISTIKK-2024,https://norwaste.no/en/biogasstatistikk-2024/,Norwaste,industry_statistics,html,industry_statistical_extract,primary_snapshot,ok,country_only,Norwegian 2024 biogas production from Biogasstatistikk; includes 828 GWh and 66 plants,2026-05-15,research+analysis,warn_user,Use as Norwegian industry-statistics anchor; upgraded CBG/LBG accounts for 528 GWh or 64 percent
A4-NO-PLANTS-2024,NO,2024,biogas_plants,66,count,NORWASTE-BIOGASSTATISTIKK-2024,https://norwaste.no/en/biogasstatistikk-2024/,Norwaste,industry_statistics,html,industry_statistical_extract,primary_snapshot,ok,country_only,Norwegian 2024 count of biogas plants from Biogasstatistikk,2026-05-15,research+analysis,warn_user,Plant count increased by 7 in 2024; use with source caveat
A4-NO-TECH-POTENTIAL-CURRENT,NO,current,technical_potential_current_technology,5.5,TWh,NORSUS-BIOGAS,https://norsus.no/wp-content/uploads/OR-06.23-Mulighetsrommet-for-produksjon-av-biogass-i-Norge-1.pdf,NORSUS,research_report,pdf,modelled,primary_snapshot,partial,country_only,Norway theoretical potential with current technology and feedstock base; not official production statistics,2026-05-15,research+analysis,warn_user,NORSUS OR 06.23 and NORSUS article cite 5.5 TWh; keep as potential not actual production
A4-NO-TECH-POTENTIAL-FUTURE,NO,current,technical_potential_future_technology,22,TWh,NORSUS-BIOGAS,https://norsus.no/wp-content/uploads/OR-06.23-Mulighetsrommet-for-produksjon-av-biogass-i-Norge-1.pdf,NORSUS,research_report,pdf,modelled,primary_snapshot,partial,country_only,Norway future theoretical potential with technology development and more available feedstock; not official production statistics,2026-05-15,research+analysis,warn_user,NORSUS OR 06.23 summary figure and NORSUS article cite up to 22 TWh; keep as potential
A4-DK-PRODUCTION-CURRENT,DK,gas_year_2023_2024,biogas_production_gas_system,8.1,TWh,ENERGINET-GASFORSYNING-2024,https://energinet.dk/media/r2rfwdto/redegorelse-for-gasforsyningssikkerhed-2024.pdf,Energinet,official_system_operator,pdf,official_statistical_extract,primary_snapshot,ok,country_only,Danish realized biogas production in gas system in latest gas year; Energinet says just under 8.1 TWh and 38 percent of gas consumption,2026-05-15,research+analysis,warn_user,Use as Danish gas-system production anchor; not directly all-use national production and not calendar-year exact
A4-DK-GAS-SYSTEM-CONNECTED-PLANTS-2024,DK,gas_year_2023_2024,gas_system_connected_biogas_plants,59,count,ENERGINET-GASFORSYNING-2024,https://energinet.dk/media/r2rfwdto/redegorelse-for-gasforsyningssikkerhed-2024.pdf,Energinet,official_system_operator,pdf,official_statistical_extract,primary_snapshot,ok,country_only,Energinet reports 59 connected biogas plants in the Danish gas system including one directly to transmission,2026-05-15,research+analysis,warn_user,Keep separate from Evida distribution-grid connected plants
A4-SE-PRODUCTION-2024,SE,2024,biogas_production,2.395,TWh,ENERGIGAS-SE-BIOGAS-2024,https://energigas.se/Media/mvwmqi3h/biogasstatistik-rapport_2024.pdf,Energigas Sverige,industry_statistics,pdf,official_statistical_extract,primary_snapshot,ok,country_only,Swedish 2024 production from Energigas Sverige biogas statistics; compare only within same scope,2026-05-15,research+analysis,cite_with_underlying_sources,Energigas Sverige report page also available; production is 2395 GWh converted here to 2.395 TWh
A4-SE-PLANTS-2024,SE,2024,biogas_plants,330,count,ENERGIGAS-SE-BIOGAS-2024,https://energigas.se/Media/mvwmqi3h/biogasstatistik-rapport_2024.pdf,Energigas Sverige,industry_statistics,pdf,official_statistical_extract,primary_snapshot,ok,country_only,Swedish 2024 plant count from Energigas Sverige biogas statistics,2026-05-15,research+analysis,cite_with_underlying_sources,Use as Swedish national biogas plant count; do not compare to DK grid-connected plants without scope note
A4-SE-DIGESTATE-FERTILIZER-SHARE-2024,SE,2024,digestate_used_as_fertilizer_share,92,percent,ENERGIGAS-SE-BIOGAS-2024,https://energigas.se/Media/mvwmqi3h/biogasstatistik-rapport_2024.pdf,Energigas Sverige,industry_statistics,pdf,official_statistical_extract,primary_snapshot,ok,country_only,Share of 3.7 million tonnes digestate used as fertilizer in 2024,2026-05-15,research+analysis,cite_with_underlying_sources,Scope is Swedish digestate use; keep separate from production volume
A4-DK-GASGRID-DELIVERY-2024,DK,2024,biogas_delivered_to_distribution_grid,649,million_Nm3,EVIDA-BIOGAS-2024,https://evida.dk/nyheder/biogas-2024/,Evida,company_report,html,actor_reported,primary_snapshot,partial,country_only,Danish biogas delivered to distribution grid; not total comparable production without energy conversion and scope note,2026-05-15,research+analysis,warn_user,Use as grid indicator only; do not compare directly to SE TWh production
A4-DK-DISTRIBUTED-GAS-BIOGAS-SHARE-2024,DK,2024,distributed_gas_biogas_share,38,percent,EVIDA-BIOGAS-2024,https://evida.dk/nyheder/biogas-2024/,Evida,company_report,html,actor_reported,primary_snapshot,partial,country_only,Biogas share of total distributed gas volume in 2024,2026-05-15,research+analysis,warn_user,Grid share not total national production
A4-DK-GASGRID-CONNECTED-PLANTS-2024,DK,2024,gas_grid_connected_biogas_plants,57,count,EVIDA-BIOGAS-2024,https://evida.dk/nyheder/biogas-2024/,Evida,company_report,html,actor_reported,primary_snapshot,partial,country_only,Biogas plants connected to Evida gas grid in 2024,2026-05-15,research+analysis,warn_user,Grid-connected plants not all national biogas plants
A4-DK-GREEN-POLICY-PRODUCTION-2035,DK,2035,green_policy_biogas_production_scenario,60,PJ_per_year,BIOGAS-DK-OUTLOOK-2024,https://www.biogas.dk/wp-content/uploads/2024/05/Biogas-Outlook-2024-05-30-WEB-engelsk.pdf,Biogas Danmark,industry_statistics,pdf,proxy_model,proxy_model,proxy,country_only,Industry scenario for Green Policy pathway; not actual production,2026-05-15,research+analysis,warn_user,Keep separate from actual production and official statistics
A4-FI-PRODUCTION-2024,FI,2024,biogas_production,3359,TJ,STATFI-BIOGAS-2024,https://stat.fi/en/publication/cm1kpvyg5cwuk07vwljv0s760,Statistics Finland,official_statistics,html,official_statistical_extract,primary_snapshot,ok,country_only,Finnish official preliminary 2024 production from Statistics Finland release; StatFin table 127t is database locator,2026-05-15,research+analysis,cite_with_underlying_sources,Keep original TJ unit here; can convert to TWh only in derived panel
A4-FI-TECH_POTENTIAL-CURRENT,FI,current,technical_economic_potential,10,TWh,BIOKIERTO-BIOGAS-FI-2024,https://biokierto.fi/wp-content/uploads/2024/05/Biokaasun-tuotanto-ja-kaytto-Suomessa-2030-2035-ja-2040-artikkeli-10052024-1.pdf,Suomen Biokierto ja Biokaasu ry,industry_statistics,pdf,proxy_model,proxy_model,proxy,country_only,Industry estimate of technical-economic potential,2026-05-15,research+analysis,warn_user,Keep separate from actual production
