country,year,domain,metric,value,unit,scope,source_name,source_owner,source_type,source_url,source_file,source_ref,quality_flag,canonical_target,import_status,comparability,notes
NO,2024,area,organic_area_approved,423044,daa,approved organic agricultural area,Debios statistikk 2024,Debio,control_report,https://debio.no/content/uploads/2025/03/HEFTE-Debios-statistikk-2024.pdf,text/no-debio-statistikk-2024.txt,section Okologisk landbruksareal,official_control,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_official_source,national_source_not_directly_eurostat_comparable,Approved organic area excluding conversion.
NO,2024,area,organic_area_including_conversion,457168,daa,organic plus conversion area,Debios statistikk 2024,Debio,control_report,https://debio.no/content/uploads/2025/03/HEFTE-Debios-statistikk-2024.pdf,text/no-debio-statistikk-2024.txt,section Okologisk landbruksareal,official_control,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_official_source,national_source_not_directly_eurostat_comparable,Includes karens/conversion area.
NO,2024,area,organic_share_approved,4.3,percent,share of total agricultural area,Debios statistikk 2024,Debio,control_report,https://debio.no/content/uploads/2025/03/HEFTE-Debios-statistikk-2024.pdf,text/no-debio-statistikk-2024.txt,section Okologisk landbruksareal,official_control,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_official_source,national_source_not_directly_eurostat_comparable,Excludes conversion area.
NO,2024,area,organic_share_including_conversion,4.6,percent,share of total agricultural area,Debios statistikk 2024,Debio,control_report,https://debio.no/content/uploads/2025/03/HEFTE-Debios-statistikk-2024.pdf,text/no-debio-statistikk-2024.txt,section Okologisk landbruksareal,official_control,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_official_source,national_source_not_directly_eurostat_comparable,Includes conversion area.
NO,2024,control,certified_under_official_organic_regulation,3432,operators,whole value chain,Debios statistikk 2024,Debio,control_report,https://debio.no/content/uploads/2025/03/HEFTE-Debios-statistikk-2024.pdf,text/no-debio-statistikk-2024.txt,lines 34-44 and 90,official_control,research/data/nordic/core-series/organic_control_operators_annual.csv,staged_official_source,control_system_definitions_differ,Debio controls more than 3800 businesses; 3432 under official organic regulation.
NO,2024,control,agricultural_operators_in_control_scheme,1914,operators,agricultural holdings,Debios statistikk 2024,Debio,control_report,https://debio.no/content/uploads/2025/03/HEFTE-Debios-statistikk-2024.pdf,text/no-debio-statistikk-2024.txt,section Landbruksvirksomheter i kontrollordningen,official_control,research/data/nordic/core-series/organic_control_operators_annual.csv,staged_official_source,control_system_definitions_differ,Net decrease of 25 agricultural businesses in 2024.
NO,2024,control,processing_import_trade_operators,1419,operators,processing/import/trade certification area,Debios statistikk 2024,Debio,control_report,https://debio.no/content/uploads/2025/03/HEFTE-Debios-statistikk-2024.pdf,text/no-debio-statistikk-2024.txt,lines 41-44,official_control,research/data/nordic/core-series/organic_control_operators_annual.csv,staged_official_source,control_system_definitions_differ,Up from 1382 in 2023; +2.7 percent.
NO,2025,market,organic_grocery_sales_value,4.3,NOK_billion,grocery retail,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 140-142 and 2434-2438,authority_report_pdf,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_official_source,cross_country_limited,Official Landbruksdirektoratet report PDF.
NO,2025,market,organic_grocery_sales_growth,17.6,percent,grocery retail year-on-year,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 140-142 and 2434-2438,authority_report_pdf,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_official_source,cross_country_limited,Growth from 2024.
NO,2025,production,organic_grain_production,16100,tonnes,grain,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 108-110 and 171-183,authority_report_pdf,research/data/nordic/core-series/organic_selected_production_annual.csv,staged_official_source,product_specific_not_cross_country_total,Around 7 percent increase from previous year.
NO,2025,production,organic_grain_area,76515,daa,grain area,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 108-110 and 261-264,authority_report_pdf,research/data/nordic/core-series/organic_selected_production_annual.csv,staged_official_source,product_specific_not_cross_country_total,Down 1.7 percent.
NO,2025,production,organic_milk_delivered,43.4,million_litres,milk delivered,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 113-118,authority_report_pdf,research/data/nordic/core-series/organic_selected_production_annual.csv,staged_official_source,product_specific_not_cross_country_total,About unchanged from previous year.
NO,2025,market,organic_milk_sales_to_dairies,35,million_litres,milk sold to dairies,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 113-118,authority_report_pdf,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_official_source,cross_country_limited,Record level; not enough organic milk to meet demand.
NO,2025,production,organic_meat_production,3135,tonnes,all organic meat,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 119-124,authority_report_pdf,research/data/nordic/core-series/organic_selected_production_annual.csv,staged_official_source,product_specific_not_cross_country_total,Small increase; poultry increased most.
