country,year,metric,value,unit,scope,source_name,source_owner,source_type,source_url,source_file,source_ref,retrieved_at,quality_flag,import_status,comparability,notes
NO,2024,certified_under_official_organic_regulation,3432,operators,whole value chain,Debios statistikk 2024,Debio,control_report,https://debio.no/content/uploads/2025/03/HEFTE-Debios-statistikk-2024.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-debio-statistikk-2024.txt,lines 34-44 and 90,2026-04-29,official_control,staged_official_source,control_system_definitions_differ,Debio controls more than 3800 businesses; 3432 under official organic regulation.
NO,2024,agricultural_operators_in_control_scheme,1914,operators,agricultural holdings,Debios statistikk 2024,Debio,control_report,https://debio.no/content/uploads/2025/03/HEFTE-Debios-statistikk-2024.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-debio-statistikk-2024.txt,section Landbruksvirksomheter i kontrollordningen,2026-04-29,official_control,staged_official_source,control_system_definitions_differ,Net decrease of 25 agricultural businesses in 2024.
NO,2024,processing_import_trade_operators,1419,operators,processing/import/trade certification area,Debios statistikk 2024,Debio,control_report,https://debio.no/content/uploads/2025/03/HEFTE-Debios-statistikk-2024.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-debio-statistikk-2024.txt,lines 41-44,2026-04-29,official_control,staged_official_source,control_system_definitions_differ,Up from 1382 in 2023; +2.7 percent.
DK,2024,organic_farms,3929,farms,certified or applied for certification,Statistik over okologiske jordbrugsbedrifter 2024,Styrelsen for Gron Arealomlaegning og Vandmiljo / Landbrugsstyrelsen,authority_statistics,https://lbst.dk/bedrift/oekologi/baggrund-og-fakta-om-oekologi-/oekologistatistik,research/evidence-pack/okologisk-norden-2026-04-29/text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,lines 70-72,2026-04-29,official_statistics,staged_official_source,control_system_definitions_differ,30 fewer than 2023.
DK,2024,organic_farm_share,11.4,percent,share of all farms,Statistik over okologiske jordbrugsbedrifter 2024,Styrelsen for Gron Arealomlaegning og Vandmiljo / Landbrugsstyrelsen,authority_statistics,https://lbst.dk/bedrift/oekologi/baggrund-og-fakta-om-oekologi-/oekologistatistik,research/evidence-pack/okologisk-norden-2026-04-29/text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,lines 70-72,2026-04-29,official_statistics,staged_official_source,control_system_definitions_differ,Table line 331 says 11.1 percent; needs primary-table reconciliation before canonical import.
SE,2024,enterprises_with_organic_agricultural_land,3985,enterprises,agricultural land,Ekologisk vaxtodling 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-05-15-ekologisk-vaxtodling-2024,research/evidence-pack/okologisk-norden-2026-04-29/text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,lines 89 and 114,2026-04-29,official_statistics,staged_official_source,control_system_definitions_differ,491 fewer than 2023; -30 percent since 2019 peak.
FI,2024,organic_farms,3995,farms,all organic farms,Organics in Finland,Pro Luomu,sector_summary,https://proluomu.fi/en/organics-in-finland/,research/evidence-pack/okologisk-norden-2026-04-29/text/fi-proluomu-organics-in-finland.txt,line 49,2026-04-29,sector_summary,staged_with_quality_flag,control_system_definitions_differ,About 10 percent of all farms; average organic farm 77.5 ha.
FI,2024,certified_organic_operators,5398,operators,all certified organic production operators,Luomuvalvonta Suomessa 2024,Ruokavirasto,control_report,https://www.ruokavirasto.fi/teemat/luomu/luomu-uutisia_kansio/luomuvalvonta-suomessa-2024/,research/evidence-pack/okologisk-norden-2026-04-29/text/fi-ruokavirasto-luomuvalvonta-2024.txt,section 1 Yleisarvio and table 2,2026-04-29,official_control,staged_official_source,control_system_definitions_differ,Includes 3986 primary producers and 585 certified retail shops.
FI,2024,organic_primary_producers,3986,operators,primary producers,Luomuvalvonta Suomessa 2024,Ruokavirasto,control_report,https://www.ruokavirasto.fi/teemat/luomu/luomu-uutisia_kansio/luomuvalvonta-suomessa-2024/,research/evidence-pack/okologisk-norden-2026-04-29/text/fi-ruokavirasto-luomuvalvonta-2024.txt,section 1 Yleisarvio,2026-04-29,official_control,staged_official_source,control_system_definitions_differ,"End-year primary production detail in section 2.1 says 3980 actors, 3917 farms."
FI,2024,certified_operator_compliance,99,percent,all certified operators,Luomuvalvonta Suomessa 2024,Ruokavirasto,control_report,https://www.ruokavirasto.fi/teemat/luomu/luomu-uutisia_kansio/luomuvalvonta-suomessa-2024/,research/evidence-pack/okologisk-norden-2026-04-29/text/fi-ruokavirasto-luomuvalvonta-2024.txt,line 147,2026-04-29,official_control,staged_needs_reconciliation_or_precision_note,control_system_definitions_differ,Text says over 99 percent complied with production conditions.
