country,year,metric,value,unit,scope,source_name,source_owner,source_type,source_url,source_file,source_ref,retrieved_at,quality_flag,import_status,comparability,notes
NO,2025,organic_grocery_sales_value,4.3,NOK_billion,grocery retail,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 140-142 and 2434-2438,2026-04-29,authority_report_pdf,staged_official_source,cross_country_limited,Official Landbruksdirektoratet report PDF.
NO,2025,organic_grocery_sales_growth,17.6,percent,grocery retail year-on-year,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 140-142 and 2434-2438,2026-04-29,authority_report_pdf,staged_official_source,cross_country_limited,Growth from 2024.
NO,2025,organic_milk_sales_to_dairies,35,million_litres,milk sold to dairies,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 113-118,2026-04-29,authority_report_pdf,staged_official_source,cross_country_limited,Record level; not enough organic milk to meet demand.
NO,2025,organic_fruit_veg_market_share,1.6,percent,fruit and vegetables,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 128-139,2026-04-29,authority_report_pdf,staged_official_source,cross_country_limited,"Low level; potatoes down, field vegetables up."
DK,2024,organic_retail_sales_value,16,DKK_billion,retail trade including online shopping,Organic Market Report 2025,Organic Denmark,sector_market_report,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,research/evidence-pack/okologisk-norden-2026-04-29/text/dk-organic-denmark-market-report-2025.txt,lines 180-182,2026-04-29,sector_market_source,staged_sector_source,cross_country_limited_sector_method,Organic Denmark market report.
DK,2024,organic_retail_market_share_value,11.6,percent,retail trade by value,Organic Market Report 2025,Organic Denmark,sector_market_report,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,research/evidence-pack/okologisk-norden-2026-04-29/text/dk-organic-denmark-market-report-2025.txt,lines 240-252,2026-04-29,sector_market_source,staged_sector_source,cross_country_limited_sector_method,References Statistics Denmark.
DK,2024,organic_retail_volume_change,2,percent,retail volume year-on-year,Organic Market Report 2025,Organic Denmark,sector_market_report,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,research/evidence-pack/okologisk-norden-2026-04-29/text/dk-organic-denmark-market-report-2025.txt,lines 240-252,2026-04-29,sector_market_source,staged_sector_source,cross_country_limited_sector_method,Small increase compared with 2023.
DK,2024,organic_foodservice_sales_value,3.7,DKK_billion,foodservice,Organic Market Report 2025,Organic Denmark,sector_market_report,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,research/evidence-pack/okologisk-norden-2026-04-29/text/dk-organic-denmark-market-report-2025.txt,lines 180-182,2026-04-29,sector_market_source,staged_sector_source,cross_country_limited_sector_method,Report headline market split.
DK,2023,organic_foodservice_sales_value,3.4,DKK_billion,foodservice,Organic Market Report 2025,Organic Denmark,sector_market_report,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,research/evidence-pack/okologisk-norden-2026-04-29/text/dk-organic-denmark-market-report-2025.txt,lines 1500-1510,2026-04-29,sector_market_source,staged_sector_source,cross_country_limited_sector_method,Foodservice sales increased by 13 percent from DKK 3.0bn in 2022.
SE,2024,organic_food_sales_value_change,-1.5,percent,total organic food sales value,Ekologiska Arsrapporten 2024,Organic Sweden / Ekologiska Lantbrukarna / KRAV / Ekomatcentrum,sector_market_report,https://www.ekolantbruk.se/rapporter/arsrapport-2024pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/se-ekologiska-arsrapporten-2024.txt,lines 60-70,2026-04-29,sector_market_source,staged_sector_source,cross_country_limited_sector_method,Organic share decreased in all channels.
FI,2024,organic_grocery_sales_value,335,EUR_million,grocery stores,Organics in Finland,Pro Luomu,sector_summary,https://proluomu.fi/en/organics-in-finland/,research/evidence-pack/okologisk-norden-2026-04-29/text/fi-proluomu-organics-in-finland.txt,line 35,2026-04-29,sector_estimate,staged_sector_estimate,cross_country_limited_sector_method,Pro Luomu estimate; down 5 percent from previous year.
FI,2024,organic_grocery_sales_share,1.8,percent,total grocery retail sales,Organics in Finland,Pro Luomu,sector_summary,https://proluomu.fi/en/organics-in-finland/,research/evidence-pack/okologisk-norden-2026-04-29/text/fi-proluomu-organics-in-finland.txt,line 35,2026-04-29,sector_estimate,staged_sector_estimate,cross_country_limited_sector_method,Approximate.
NO,2025,organic_non_grocery_sales_growth,13.9,percent,non-grocery channels followed by Landbruksdirektoratet,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 143-145 and 2440-2446,2026-04-29,authority_report_pdf,staged_official_source,cross_country_limited,"Includes foodservice, Bondens marked, bakeries/cafe outlets and specialty shops."
NO,2025,organic_grocery_market_share_approx,2,percent,grocery retail,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 2434-2441,2026-04-29,authority_report_pdf,staged_official_source,cross_country_limited,Report states organic share of grocery market is stable around 2 percent.
