country,year,metric,value,unit,scope,source_name,source_owner,source_type,source_url,source_file,source_ref,retrieved_at,quality_flag,import_status,comparability,notes
NO,2025,organic_grain_production,16100,tonnes,grain,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 108-110 and 171-183,2026-04-29,authority_report_pdf,staged_official_source,product_specific_not_cross_country_total,Around 7 percent increase from previous year.
NO,2025,organic_grain_area,76515,daa,grain area,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 108-110 and 261-264,2026-04-29,authority_report_pdf,staged_official_source,product_specific_not_cross_country_total,Down 1.7 percent.
NO,2025,organic_milk_delivered,43.4,million_litres,milk delivered,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 113-118,2026-04-29,authority_report_pdf,staged_official_source,product_specific_not_cross_country_total,About unchanged from previous year.
NO,2025,organic_meat_production,3135,tonnes,all organic meat,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 119-124,2026-04-29,authority_report_pdf,staged_official_source,product_specific_not_cross_country_total,Small increase; poultry increased most.
NO,2025,organic_egg_production,4700,tonnes,eggs,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 125-127,2026-04-29,authority_report_pdf,staged_official_source,product_specific_not_cross_country_total,About 88 percent sold as organic.
SE,2024,organic_milk_delivered_to_dairies,295200,tonnes,milk delivered to dairies,Ekologisk animalieproduktion 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-06-27-ekologisk-animalieproduktion-2024,research/evidence-pack/okologisk-norden-2026-04-29/text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,lines 97-99,2026-04-29,official_statistics,staged_official_source,product_specific_not_cross_country_total,Down 18 percent from 2023 and 39 percent from 2021 peak.
SE,2024,organic_milk_share,11,percent,share of milk delivered,Ekologisk animalieproduktion 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-06-27-ekologisk-animalieproduktion-2024,research/evidence-pack/okologisk-norden-2026-04-29/text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,lines 91 and 99,2026-04-29,official_statistics,staged_needs_reconciliation_or_precision_note,product_specific_not_cross_country_total,Approximate; line says knappt 11 percent.
SE,2024,organic_egg_inweighing,14000,tonnes,wholesale egg inweighing,Ekologisk animalieproduktion 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-06-27-ekologisk-animalieproduktion-2024,research/evidence-pack/okologisk-norden-2026-04-29/text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,line 147,2026-04-29,official_statistics,staged_official_source,product_specific_not_cross_country_total,Down 13 percent from 2023.
SE,2024,organic_egg_share,13,percent,share of wholesale egg inweighing,Ekologisk animalieproduktion 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-06-27-ekologisk-animalieproduktion-2024,research/evidence-pack/okologisk-norden-2026-04-29/text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,line 147,2026-04-29,official_statistics,staged_official_source,product_specific_not_cross_country_total,Lowest share since 2010.
FI,2024,organic_cereal_production,143,million_kg,cereals,Organics in Finland,Pro Luomu,sector_summary,https://proluomu.fi/en/organics-in-finland/,research/evidence-pack/okologisk-norden-2026-04-29/text/fi-proluomu-organics-in-finland.txt,line 41,2026-04-29,sector_summary,staged_with_quality_flag,product_specific_not_cross_country_total,4 percent of Finland total cereal harvest.
NO,2025,organic_milk_utilization_rate,80,percent,share of delivered organic milk resold as organic milk,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 113-118,2026-04-29,authority_report_pdf,staged_official_source,product_specific_not_cross_country_total,Report says there was not enough organic milk to meet demand.
NO,2025,organic_four_legged_meat_utilization_rate,41,percent,reported organic meat production from four-legged animals,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 119-124,2026-04-29,authority_report_pdf,staged_official_source,product_specific_not_cross_country_total,Share used/sold as organic from reported production.
