theme,series_family,series_id,country,source_name,dataset_or_table_id,period,frequency,flow,metric,unit,value,coverage,comparability,notes
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2015-01,monthly,,HICP food and non-alcoholic beverages,index (2015=100),99.500,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2015-02,monthly,,HICP food and non-alcoholic beverages,index (2015=100),99.200,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2015-03,monthly,,HICP food and non-alcoholic beverages,index (2015=100),99.700,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2015-04,monthly,,HICP food and non-alcoholic beverages,index (2015=100),99.800,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2015-05,monthly,,HICP food and non-alcoholic beverages,index (2015=100),100.000,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2015-06,monthly,,HICP food and non-alcoholic beverages,index (2015=100),100.800,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2015-07,monthly,,HICP food and non-alcoholic beverages,index (2015=100),100.700,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2015-08,monthly,,HICP food and non-alcoholic beverages,index (2015=100),100.200,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2015-09,monthly,,HICP food and non-alcoholic beverages,index (2015=100),100.400,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2015-10,monthly,,HICP food and non-alcoholic beverages,index (2015=100),100.400,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2015-11,monthly,,HICP food and non-alcoholic beverages,index (2015=100),99.600,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2015-12,monthly,,HICP food and non-alcoholic beverages,index (2015=100),99.800,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
