theme,series_family,series_id,country,source_name,dataset_or_table_id,period,frequency,flow,metric,unit,value,coverage,comparability,notes
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2010,annual,,Oats production,"1,000 tonnes",299.000,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2011,annual,,Oats production,"1,000 tonnes",231.300,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2012,annual,,Oats production,"1,000 tonnes",231.900,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2013,annual,,Oats production,"1,000 tonnes",224.200,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2014,annual,,Oats production,"1,000 tonnes",283.000,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2015,annual,,Oats production,"1,000 tonnes",285.800,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2016,annual,,Oats production,"1,000 tonnes",358.700,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2017,annual,,Oats production,"1,000 tonnes",282.700,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2018,annual,,Oats production,"1,000 tonnes",156.600,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2019,annual,,Oats production,"1,000 tonnes",229.800,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2020,annual,,Oats production,"1,000 tonnes",315.500,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2021,annual,,Oats production,"1,000 tonnes",269.200,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2022,annual,,Oats production,"1,000 tonnes",320.700,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2023,annual,,Oats production,"1,000 tonnes",200.200,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2024,annual,,Oats production,"1,000 tonnes",291.100,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,no_oats_production,NO,SSB cereals and oil seeds production,07479,2025,annual,,Oats production,"1,000 tonnes",243.700,national,directly comparable with FI and SE oats quantity series,SSB ContentsCode=Havre.
production,oats_production_quantity,se_oats_production,SE,SCB crop yields and total production,SkordarL2,2010,annual,,Oats production,"1,000 tonnes",559.300,national,directly comparable with FI and NO oats quantity series,"SCB reports tonnes; values are converted to 1,000 tonnes."
