theme,series_family,series_id,country,source_name,dataset_or_table_id,period,frequency,flow,metric,unit,value,coverage,comparability,notes
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2015-01,monthly,imports,Trade value,source units,45392.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2015-02,monthly,imports,Trade value,source units,45272.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2015-03,monthly,imports,Trade value,source units,56390.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2015-04,monthly,imports,Trade value,source units,64326.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2015-05,monthly,imports,Trade value,source units,46194.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2015-06,monthly,imports,Trade value,source units,54064.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2015-07,monthly,imports,Trade value,source units,44609.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2015-08,monthly,imports,Trade value,source units,47093.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2015-09,monthly,imports,Trade value,source units,53288.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2015-10,monthly,imports,Trade value,source units,53649.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2015-11,monthly,imports,Trade value,source units,54212.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2015-12,monthly,imports,Trade value,source units,50997.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2016-01,monthly,imports,Trade value,source units,43659.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2016-02,monthly,imports,Trade value,source units,49533.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2016-03,monthly,imports,Trade value,source units,50507.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2016-04,monthly,imports,Trade value,source units,50350.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2016-05,monthly,imports,Trade value,source units,49666.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2016-06,monthly,imports,Trade value,source units,53796.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2016-07,monthly,imports,Trade value,source units,54945.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2016-08,monthly,imports,Trade value,source units,62942.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2016-09,monthly,imports,Trade value,source units,54293.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2016-10,monthly,imports,Trade value,source units,52746.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2016-11,monthly,imports,Trade value,source units,57287.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2016-12,monthly,imports,Trade value,source units,49316.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2017-01,monthly,imports,Trade value,source units,51796.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2017-02,monthly,imports,Trade value,source units,48809.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2017-03,monthly,imports,Trade value,source units,57166.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2017-04,monthly,imports,Trade value,source units,43924.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2017-05,monthly,imports,Trade value,source units,59459.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
