"country","metric_type","category","year","value","unit","source","subtitle","metadata_json"
"dk","foodWastePerCapita","Totalt","2022","73","kg/capita","Miljøstyrelsen 2023","",""
"dk","foodWastePerCapita","Totalt","2020","79","kg/capita","Miljøstyrelsen 2021","",""
"fi","foodWastePerCapita","Totalt","2022","101","kg/capita","LUKE/Eurostat 2023","",""
"fi","foodWastePerCapita","Totalt","2020","107","kg/capita","LUKE/Eurostat 2021","",""
"is","foodWastePerCapita","Totalt","2024","84","kg/capita","Umhverfisstofnun 2025 est.","",""
"is","foodWastePerCapita","Totalt","2022","89","kg/capita","Umhverfisstofnun/Eurostat 2023","",""
"is","foodWastePerCapita","Totalt","2020","95","kg/capita","Umhverfisstofnun/Eurostat 2021","",""
"no","foodWaste","Dagligvare","2024","73000","tonn","Matvett/SSB 2025 est.","",""
"no","foodWaste","Dagligvare","2022","78000","tonn","Matvett/SSB 2023","",""
"no","foodWaste","Dagligvare","2020","82000","tonn","Matvett/SSB 2021","",""
"no","foodWaste","Dagligvare","2017","85000","tonn","Matvett/SSB 2018","",""
"no","foodWaste","Dagligvare","2015","90000","tonn","ForMat 2016","",""
"no","foodWaste","Husholdninger","2024","275000","tonn","Matvett/SSB 2025 est.","",""
"no","foodWaste","Husholdninger","2022","290000","tonn","Matvett/SSB 2023","",""
"no","foodWaste","Husholdninger","2020","307000","tonn","Matvett/SSB 2021","",""
"no","foodWaste","Husholdninger","2017","330000","tonn","Matvett/SSB 2018","",""
"no","foodWaste","Husholdninger","2015","350000","tonn","ForMat 2016","",""
"no","foodWaste","Jordbruk","2024","11000","tonn","Matvett/SSB 2025 est.","",""
"no","foodWaste","Jordbruk","2022","12000","tonn","Matvett/SSB 2023","",""
"no","foodWaste","Jordbruk","2020","13000","tonn","Matvett/SSB 2021","",""
"no","foodWaste","Jordbruk","2017","14000","tonn","Matvett/SSB 2018","",""
"no","foodWaste","Jordbruk","2015","15000","tonn","ForMat 2016","",""
"no","foodWaste","Matindustri","2024","92000","tonn","Matvett/SSB 2025 est.","",""
"no","foodWaste","Matindustri","2022","99000","tonn","Matvett/SSB 2023","",""
"no","foodWaste","Matindustri","2020","106000","tonn","Matvett/SSB 2021","",""
"no","foodWaste","Matindustri","2017","115000","tonn","Matvett/SSB 2018","",""
"no","foodWaste","Matindustri","2015","120000","tonn","ForMat 2016","",""
