country,country_name,metric_type,category,value,unit,year,source,subtitle,source_url,source_workbook,source_sheet,source_variable,lower,upper,nordic_mean,metadata_json
dk,Denmark,dietFrequency,adultsDairyTimesPerDay,1.6928,times/day,2024,NORMO 2025,Adults dairy consumption frequency,https://pub.norden.org/nord2025-026/diet.html,research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx,Adults - Diet,dairytotal_day,1.6002,1.7853,2.103,"{""ageGroup"": ""18-65"", ""geoLevel"": ""country"", ""lower95"": 1.6002, ""nordicMean"": 2.103, ""reportId"": ""normo-2025-nordic-monitoring"", ""sourceSheet"": ""Adults - Diet"", ""sourceVariable"": ""dairytotal_day"", ""sourceWorkbook"": ""research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx"", ""upper95"": 1.7853}"
fi,Finland,dietFrequency,adultsDairyTimesPerDay,2.8498,times/day,2024,NORMO 2025,Adults dairy consumption frequency,https://pub.norden.org/nord2025-026/diet.html,research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx,Adults - Diet,dairytotal_day,2.663,3.0365,2.103,"{""ageGroup"": ""18-65"", ""geoLevel"": ""country"", ""lower95"": 2.663, ""nordicMean"": 2.103, ""reportId"": ""normo-2025-nordic-monitoring"", ""sourceSheet"": ""Adults - Diet"", ""sourceVariable"": ""dairytotal_day"", ""sourceWorkbook"": ""research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx"", ""upper95"": 3.0365}"
is,Iceland,dietFrequency,adultsDairyTimesPerDay,2.0174,times/day,2024,NORMO 2025,Adults dairy consumption frequency,https://pub.norden.org/nord2025-026/diet.html,research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx,Adults - Diet,dairytotal_day,1.8873,2.1475,2.103,"{""ageGroup"": ""18-65"", ""geoLevel"": ""country"", ""lower95"": 1.8873, ""nordicMean"": 2.103, ""reportId"": ""normo-2025-nordic-monitoring"", ""sourceSheet"": ""Adults - Diet"", ""sourceVariable"": ""dairytotal_day"", ""sourceWorkbook"": ""research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx"", ""upper95"": 2.1475}"
no,Norway,dietFrequency,adultsDairyTimesPerDay,1.8928,times/day,2024,NORMO 2025,Adults dairy consumption frequency,https://pub.norden.org/nord2025-026/diet.html,research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx,Adults - Diet,dairytotal_day,1.7899,1.9957,2.103,"{""ageGroup"": ""18-65"", ""geoLevel"": ""country"", ""lower95"": 1.7899, ""nordicMean"": 2.103, ""reportId"": ""normo-2025-nordic-monitoring"", ""sourceSheet"": ""Adults - Diet"", ""sourceVariable"": ""dairytotal_day"", ""sourceWorkbook"": ""research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx"", ""upper95"": 1.9957}"
se,Sweden,dietFrequency,adultsDairyTimesPerDay,2.0613,times/day,2024,NORMO 2025,Adults dairy consumption frequency,https://pub.norden.org/nord2025-026/diet.html,research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx,Adults - Diet,dairytotal_day,1.9152,2.2074,2.103,"{""ageGroup"": ""18-65"", ""geoLevel"": ""country"", ""lower95"": 1.9152, ""nordicMean"": 2.103, ""reportId"": ""normo-2025-nordic-monitoring"", ""sourceSheet"": ""Adults - Diet"", ""sourceVariable"": ""dairytotal_day"", ""sourceWorkbook"": ""research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx"", ""upper95"": 2.2074}"
dk,Denmark,dietFrequency,adultsDiscretionaryDrinksTimesPerWeek,6.5232,times/week,2024,NORMO 2025,Adults discretionary drinks consumption frequency,https://pub.norden.org/nord2025-026/diet.html,research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx,Adults - Diet,discretionarydrinkplustotal_week,5.8426,7.2039,5.6456,"{""ageGroup"": ""18-65"", ""geoLevel"": ""country"", ""lower95"": 5.8426, ""nordicMean"": 5.6456, ""reportId"": ""normo-2025-nordic-monitoring"", ""sourceSheet"": ""Adults - Diet"", ""sourceVariable"": ""discretionarydrinkplustotal_week"", ""sourceWorkbook"": ""research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx"", ""upper95"": 7.2039}"
fi,Finland,dietFrequency,adultsDiscretionaryDrinksTimesPerWeek,3.5132,times/week,2024,NORMO 2025,Adults discretionary drinks consumption frequency,https://pub.norden.org/nord2025-026/diet.html,research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx,Adults - Diet,discretionarydrinkplustotal_week,3.0844,3.9419,5.6456,"{""ageGroup"": ""18-65"", ""geoLevel"": ""country"", ""lower95"": 3.0844, ""nordicMean"": 5.6456, ""reportId"": ""normo-2025-nordic-monitoring"", ""sourceSheet"": ""Adults - Diet"", ""sourceVariable"": ""discretionarydrinkplustotal_week"", ""sourceWorkbook"": ""research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx"", ""upper95"": 3.9419}"
is,Iceland,dietFrequency,adultsDiscretionaryDrinksTimesPerWeek,7.9333,times/week,2024,NORMO 2025,Adults discretionary drinks consumption frequency,https://pub.norden.org/nord2025-026/diet.html,research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx,Adults - Diet,discretionarydrinkplustotal_week,7.0886,8.7781,5.6456,"{""ageGroup"": ""18-65"", ""geoLevel"": ""country"", ""lower95"": 7.0886, ""nordicMean"": 5.6456, ""reportId"": ""normo-2025-nordic-monitoring"", ""sourceSheet"": ""Adults - Diet"", ""sourceVariable"": ""discretionarydrinkplustotal_week"", ""sourceWorkbook"": ""research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx"", ""upper95"": 8.7781}"
no,Norway,dietFrequency,adultsDiscretionaryDrinksTimesPerWeek,6.4036,times/week,2024,NORMO 2025,Adults discretionary drinks consumption frequency,https://pub.norden.org/nord2025-026/diet.html,research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx,Adults - Diet,discretionarydrinkplustotal_week,5.6028,7.2045,5.6456,"{""ageGroup"": ""18-65"", ""geoLevel"": ""country"", ""lower95"": 5.6028, ""nordicMean"": 5.6456, ""reportId"": ""normo-2025-nordic-monitoring"", ""sourceSheet"": ""Adults - Diet"", ""sourceVariable"": ""discretionarydrinkplustotal_week"", ""sourceWorkbook"": ""research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx"", ""upper95"": 7.2045}"
se,Sweden,dietFrequency,adultsDiscretionaryDrinksTimesPerWeek,3.8572,times/week,2024,NORMO 2025,Adults discretionary drinks consumption frequency,https://pub.norden.org/nord2025-026/diet.html,research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx,Adults - Diet,discretionarydrinkplustotal_week,3.0853,4.629,5.6456,"{""ageGroup"": ""18-65"", ""geoLevel"": ""country"", ""lower95"": 3.0853, ""nordicMean"": 5.6456, ""reportId"": ""normo-2025-nordic-monitoring"", ""sourceSheet"": ""Adults - Diet"", ""sourceVariable"": ""discretionarydrinkplustotal_week"", ""sourceWorkbook"": ""research/data/nordic/normo-2025/raw/appendix-6-data-tables-for-figures.xlsx"", ""upper95"": 4.629}"
