VAREGR,LAND,ContentsCode,Tid,VAREGR_label,LAND_label,ContentsCode_label,Tid_label,value
A010101,DK,PPP1,2015,Fødevarer,Danmark,Prisniveau indeks for fødevarer EU=100,2015,142
A010101,DK,PPP1,2018,Fødevarer,Danmark,Prisniveau indeks for fødevarer EU=100,2018,130
A010101,DK,PPP1,2021,Fødevarer,Danmark,Prisniveau indeks for fødevarer EU=100,2021,118
A010101,DK,PPP1,2024,Fødevarer,Danmark,Prisniveau indeks for fødevarer EU=100,2024,119
A010101,FI,PPP1,2015,Fødevarer,Finland,Prisniveau indeks for fødevarer EU=100,2015,119
A010101,FI,PPP1,2018,Fødevarer,Finland,Prisniveau indeks for fødevarer EU=100,2018,119
A010101,FI,PPP1,2021,Fødevarer,Finland,Prisniveau indeks for fødevarer EU=100,2021,112
A010101,FI,PPP1,2024,Fødevarer,Finland,Prisniveau indeks for fødevarer EU=100,2024,108
A010101,IS,PPP1,2015,Fødevarer,Island,Prisniveau indeks for fødevarer EU=100,2015,132
A010101,IS,PPP1,2018,Fødevarer,Island,Prisniveau indeks for fødevarer EU=100,2018,150
A010101,IS,PPP1,2021,Fødevarer,Island,Prisniveau indeks for fødevarer EU=100,2021,142
A010101,IS,PPP1,2024,Fødevarer,Island,Prisniveau indeks for fødevarer EU=100,2024,146
A010101,NO,PPP1,2015,Fødevarer,Norge,Prisniveau indeks for fødevarer EU=100,2015,157
A010101,NO,PPP1,2018,Fødevarer,Norge,Prisniveau indeks for fødevarer EU=100,2018,161
A010101,NO,PPP1,2021,Fødevarer,Norge,Prisniveau indeks for fødevarer EU=100,2021,149
A010101,NO,PPP1,2024,Fødevarer,Norge,Prisniveau indeks for fødevarer EU=100,2024,131
A010101,SE,PPP1,2015,Fødevarer,Sverige,Prisniveau indeks for fødevarer EU=100,2015,125
A010101,SE,PPP1,2018,Fødevarer,Sverige,Prisniveau indeks for fødevarer EU=100,2018,118
A010101,SE,PPP1,2021,Fødevarer,Sverige,Prisniveau indeks for fødevarer EU=100,2021,116
A010101,SE,PPP1,2024,Fødevarer,Sverige,Prisniveau indeks for fødevarer EU=100,2024,107
