VAREGR,ENHED,ContentsCode,Tid,VAREGR_label,ENHED_label,ContentsCode_label,Tid_label,value
01,100,PRIS07,2015M01,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2015M01,73.05
01,100,PRIS07,2015M02,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2015M02,72.78
01,100,PRIS07,2015M03,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2015M03,73.17
01,100,PRIS07,2015M04,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2015M04,73.23
01,100,PRIS07,2015M05,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2015M05,73.39
01,100,PRIS07,2015M06,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2015M06,73.94
01,100,PRIS07,2015M07,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2015M07,73.92
01,100,PRIS07,2015M08,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2015M08,73.52
01,100,PRIS07,2015M09,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2015M09,73.7
01,100,PRIS07,2015M10,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2015M10,73.67
01,100,PRIS07,2015M11,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2015M11,73.08
01,100,PRIS07,2015M12,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2015M12,73.24
01,100,PRIS07,2016M01,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2016M01,72.94
01,100,PRIS07,2016M02,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2016M02,73.28
01,100,PRIS07,2016M03,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2016M03,72.67
01,100,PRIS07,2016M04,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2016M04,73.06
01,100,PRIS07,2016M05,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2016M05,73.7
01,100,PRIS07,2016M06,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2016M06,73.78
