Kuukausi,Hyödyke,Tiedot,Kuukausi_label,Hyödyke_label,Tiedot_label,value
2015M01,01,ip_khi,2015M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.16
2015M02,01,ip_khi,2015M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79.37
2015M03,01,ip_khi,2015M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79.4
2015M04,01,ip_khi,2015M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79.12
2015M05,01,ip_khi,2015M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.79
2015M06,01,ip_khi,2015M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.63
2015M07,01,ip_khi,2015M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.69
2015M08,01,ip_khi,2015M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.64
2015M09,01,ip_khi,2015M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.67
2015M10,01,ip_khi,2015M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.39
2015M11,01,ip_khi,2015M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.68
2015M12,01,ip_khi,2015M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.56
2016M01,01,ip_khi,2016M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.31
2016M02,01,ip_khi,2016M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.05
2016M03,01,ip_khi,2016M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.17
2016M04,01,ip_khi,2016M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.38
2016M05,01,ip_khi,2016M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.46
2016M06,01,ip_khi,2016M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.34
2016M07,01,ip_khi,2016M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.7
2016M08,01,ip_khi,2016M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.21
2016M09,01,ip_khi,2016M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.17
2016M10,01,ip_khi,2016M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.36
2016M11,01,ip_khi,2016M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.05
2016M12,01,ip_khi,2016M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.1
2017M01,01,ip_khi,2017M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",76.45
2017M02,01,ip_khi,2017M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.66
2017M03,01,ip_khi,2017M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",76.86
2017M04,01,ip_khi,2017M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.02
2017M05,01,ip_khi,2017M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",76.7
2017M06,01,ip_khi,2017M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",76.55
2017M07,01,ip_khi,2017M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",76.52
2017M08,01,ip_khi,2017M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.16
2017M09,01,ip_khi,2017M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",76.85
2017M10,01,ip_khi,2017M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.09
2017M11,01,ip_khi,2017M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.83
2017M12,01,ip_khi,2017M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.04
2018M01,01,ip_khi,2018M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",77.61
2018M02,01,ip_khi,2018M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.64
2018M03,01,ip_khi,2018M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.82
2018M04,01,ip_khi,2018M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.32
2018M05,01,ip_khi,2018M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.52
2018M06,01,ip_khi,2018M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.36
2018M07,01,ip_khi,2018M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.07
2018M08,01,ip_khi,2018M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.54
2018M09,01,ip_khi,2018M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79
2018M10,01,ip_khi,2018M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79.1
2018M11,01,ip_khi,2018M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.69
2018M12,01,ip_khi,2018M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.92
2019M01,01,ip_khi,2019M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79.21
2019M02,01,ip_khi,2019M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.24
2019M03,01,ip_khi,2019M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79.53
2019M04,01,ip_khi,2019M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79.9
2019M05,01,ip_khi,2019M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.91
2019M06,01,ip_khi,2019M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79.2
2019M07,01,ip_khi,2019M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",78.64
2019M08,01,ip_khi,2019M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79.89
2019M09,01,ip_khi,2019M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79.22
2019M10,01,ip_khi,2019M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79.4
2019M11,01,ip_khi,2019M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",79.59
2019M12,01,ip_khi,2019M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.32
2020M01,01,ip_khi,2020M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.64
2020M02,01,ip_khi,2020M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",81.3
2020M03,01,ip_khi,2020M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.94
2020M04,01,ip_khi,2020M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.73
2020M05,01,ip_khi,2020M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.79
2020M06,01,ip_khi,2020M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",81.11
2020M07,01,ip_khi,2020M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.95
2020M08,01,ip_khi,2020M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.6
2020M09,01,ip_khi,2020M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.8
2020M10,01,ip_khi,2020M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.76
2020M11,01,ip_khi,2020M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.79
2020M12,01,ip_khi,2020M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.47
2021M01,01,ip_khi,2021M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.93
2021M02,01,ip_khi,2021M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",81.18
2021M03,01,ip_khi,2021M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",81.3
2021M04,01,ip_khi,2021M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",81.42
2021M05,01,ip_khi,2021M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",81.17
2021M06,01,ip_khi,2021M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.81
2021M07,01,ip_khi,2021M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.93
2021M08,01,ip_khi,2021M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",80.98
2021M09,01,ip_khi,2021M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",81.26
2021M10,01,ip_khi,2021M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",81.56
2021M11,01,ip_khi,2021M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",82.04
2021M12,01,ip_khi,2021M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",81.8
2022M01,01,ip_khi,2022M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",83.52
2022M02,01,ip_khi,2022M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",84.82
2022M03,01,ip_khi,2022M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",85.47
2022M04,01,ip_khi,2022M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",86.27
2022M05,01,ip_khi,2022M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",88.52
2022M06,01,ip_khi,2022M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",89.62
2022M07,01,ip_khi,2022M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",90.97
2022M08,01,ip_khi,2022M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",91.11
2022M09,01,ip_khi,2022M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",93.05
2022M10,01,ip_khi,2022M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",94.4
2022M11,01,ip_khi,2022M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",95.22
2022M12,01,ip_khi,2022M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",94.92
2023M01,01,ip_khi,2023M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",96.41
2023M02,01,ip_khi,2023M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",98.63
2023M03,01,ip_khi,2023M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",99.31
