Kuukausi,Hyödyke,Tiedot,Kuukausi_label,Hyödyke_label,Tiedot_label,value
2015M01,01,ip_ykhi,2015M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.14
2015M02,01,ip_ykhi,2015M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",79.35
2015M03,01,ip_ykhi,2015M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",79.37
2015M04,01,ip_ykhi,2015M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",79.09
2015M05,01,ip_ykhi,2015M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.76
2015M06,01,ip_ykhi,2015M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.59
2015M07,01,ip_ykhi,2015M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.65
2015M08,01,ip_ykhi,2015M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.61
2015M09,01,ip_ykhi,2015M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.65
2015M10,01,ip_ykhi,2015M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.36
2015M11,01,ip_ykhi,2015M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.65
2015M12,01,ip_ykhi,2015M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.53
2016M01,01,ip_ykhi,2016M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.35
2016M02,01,ip_ykhi,2016M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.09
2016M03,01,ip_ykhi,2016M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.19
2016M04,01,ip_ykhi,2016M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.41
2016M05,01,ip_ykhi,2016M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.49
2016M06,01,ip_ykhi,2016M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.32
2016M07,01,ip_ykhi,2016M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.67
2016M08,01,ip_ykhi,2016M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.24
2016M09,01,ip_ykhi,2016M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.2
2016M10,01,ip_ykhi,2016M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.37
2016M11,01,ip_ykhi,2016M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.04
2016M12,01,ip_ykhi,2016M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.1
2017M01,01,ip_ykhi,2017M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",76.45
2017M02,01,ip_ykhi,2017M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.66
2017M03,01,ip_ykhi,2017M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",76.86
2017M04,01,ip_ykhi,2017M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.02
2017M05,01,ip_ykhi,2017M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",76.7
2017M06,01,ip_ykhi,2017M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",76.55
2017M07,01,ip_ykhi,2017M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",76.52
2017M08,01,ip_ykhi,2017M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.16
2017M09,01,ip_ykhi,2017M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",76.85
2017M10,01,ip_ykhi,2017M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.09
2017M11,01,ip_ykhi,2017M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",77.83
