"Tuotteet toimialoittain (CPA 2015, MIG)",Kuukausi,Indeksisarja,Tiedot,"Tuotteet toimialoittain (CPA 2015, MIG)_label",Kuukausi_label,Indeksisarja_label,Tiedot_label,value
10,2015M01,1,pisteluku15,10 Food products,2015M01,Producer price index for manufactured products,Point figure (2015=100),101.2
10,2015M02,1,pisteluku15,10 Food products,2015M02,Producer price index for manufactured products,Point figure (2015=100),100.9
10,2015M03,1,pisteluku15,10 Food products,2015M03,Producer price index for manufactured products,Point figure (2015=100),100.8
10,2015M04,1,pisteluku15,10 Food products,2015M04,Producer price index for manufactured products,Point figure (2015=100),100.6
10,2015M05,1,pisteluku15,10 Food products,2015M05,Producer price index for manufactured products,Point figure (2015=100),100.4
10,2015M06,1,pisteluku15,10 Food products,2015M06,Producer price index for manufactured products,Point figure (2015=100),99.8
10,2015M07,1,pisteluku15,10 Food products,2015M07,Producer price index for manufactured products,Point figure (2015=100),100.3
10,2015M08,1,pisteluku15,10 Food products,2015M08,Producer price index for manufactured products,Point figure (2015=100),99.8
10,2015M09,1,pisteluku15,10 Food products,2015M09,Producer price index for manufactured products,Point figure (2015=100),99.7
10,2015M10,1,pisteluku15,10 Food products,2015M10,Producer price index for manufactured products,Point figure (2015=100),99.1
10,2015M11,1,pisteluku15,10 Food products,2015M11,Producer price index for manufactured products,Point figure (2015=100),98.9
10,2015M12,1,pisteluku15,10 Food products,2015M12,Producer price index for manufactured products,Point figure (2015=100),98.6
10,2016M01,1,pisteluku15,10 Food products,2016M01,Producer price index for manufactured products,Point figure (2015=100),98.2
10,2016M02,1,pisteluku15,10 Food products,2016M02,Producer price index for manufactured products,Point figure (2015=100),97.9
10,2016M03,1,pisteluku15,10 Food products,2016M03,Producer price index for manufactured products,Point figure (2015=100),97.9
10,2016M04,1,pisteluku15,10 Food products,2016M04,Producer price index for manufactured products,Point figure (2015=100),97.8
10,2016M05,1,pisteluku15,10 Food products,2016M05,Producer price index for manufactured products,Point figure (2015=100),97.2
10,2016M06,1,pisteluku15,10 Food products,2016M06,Producer price index for manufactured products,Point figure (2015=100),97.4
10,2016M07,1,pisteluku15,10 Food products,2016M07,Producer price index for manufactured products,Point figure (2015=100),97.6
10,2016M08,1,pisteluku15,10 Food products,2016M08,Producer price index for manufactured products,Point figure (2015=100),97.8
10,2016M09,1,pisteluku15,10 Food products,2016M09,Producer price index for manufactured products,Point figure (2015=100),98.1
10,2016M10,1,pisteluku15,10 Food products,2016M10,Producer price index for manufactured products,Point figure (2015=100),98.1
10,2016M11,1,pisteluku15,10 Food products,2016M11,Producer price index for manufactured products,Point figure (2015=100),98.4
10,2016M12,1,pisteluku15,10 Food products,2016M12,Producer price index for manufactured products,Point figure (2015=100),98.5
10,2017M01,1,pisteluku15,10 Food products,2017M01,Producer price index for manufactured products,Point figure (2015=100),99.6
10,2017M02,1,pisteluku15,10 Food products,2017M02,Producer price index for manufactured products,Point figure (2015=100),99.2
10,2017M03,1,pisteluku15,10 Food products,2017M03,Producer price index for manufactured products,Point figure (2015=100),99.6
10,2017M04,1,pisteluku15,10 Food products,2017M04,Producer price index for manufactured products,Point figure (2015=100),99.7
10,2017M05,1,pisteluku15,10 Food products,2017M05,Producer price index for manufactured products,Point figure (2015=100),99.9
10,2017M06,1,pisteluku15,10 Food products,2017M06,Producer price index for manufactured products,Point figure (2015=100),100
10,2017M07,1,pisteluku15,10 Food products,2017M07,Producer price index for manufactured products,Point figure (2015=100),100.4
10,2017M08,1,pisteluku15,10 Food products,2017M08,Producer price index for manufactured products,Point figure (2015=100),100.5
10,2017M09,1,pisteluku15,10 Food products,2017M09,Producer price index for manufactured products,Point figure (2015=100),100.3
10,2017M10,1,pisteluku15,10 Food products,2017M10,Producer price index for manufactured products,Point figure (2015=100),99.9
10,2017M11,1,pisteluku15,10 Food products,2017M11,Producer price index for manufactured products,Point figure (2015=100),100.4
10,2017M12,1,pisteluku15,10 Food products,2017M12,Producer price index for manufactured products,Point figure (2015=100),100.4
10,2018M01,1,pisteluku15,10 Food products,2018M01,Producer price index for manufactured products,Point figure (2015=100),100.4
10,2018M02,1,pisteluku15,10 Food products,2018M02,Producer price index for manufactured products,Point figure (2015=100),100.2
10,2018M03,1,pisteluku15,10 Food products,2018M03,Producer price index for manufactured products,Point figure (2015=100),100.2
10,2018M04,1,pisteluku15,10 Food products,2018M04,Producer price index for manufactured products,Point figure (2015=100),100.5
10,2018M05,1,pisteluku15,10 Food products,2018M05,Producer price index for manufactured products,Point figure (2015=100),100.6
10,2018M06,1,pisteluku15,10 Food products,2018M06,Producer price index for manufactured products,Point figure (2015=100),100.8
10,2018M07,1,pisteluku15,10 Food products,2018M07,Producer price index for manufactured products,Point figure (2015=100),100.9
10,2018M08,1,pisteluku15,10 Food products,2018M08,Producer price index for manufactured products,Point figure (2015=100),101
10,2018M09,1,pisteluku15,10 Food products,2018M09,Producer price index for manufactured products,Point figure (2015=100),101.2
10,2018M10,1,pisteluku15,10 Food products,2018M10,Producer price index for manufactured products,Point figure (2015=100),101.3
10,2018M11,1,pisteluku15,10 Food products,2018M11,Producer price index for manufactured products,Point figure (2015=100),101.2
10,2018M12,1,pisteluku15,10 Food products,2018M12,Producer price index for manufactured products,Point figure (2015=100),101.5
10,2019M01,1,pisteluku15,10 Food products,2019M01,Producer price index for manufactured products,Point figure (2015=100),101.6
10,2019M02,1,pisteluku15,10 Food products,2019M02,Producer price index for manufactured products,Point figure (2015=100),101.7
10,2019M03,1,pisteluku15,10 Food products,2019M03,Producer price index for manufactured products,Point figure (2015=100),102
10,2019M04,1,pisteluku15,10 Food products,2019M04,Producer price index for manufactured products,Point figure (2015=100),102
10,2019M05,1,pisteluku15,10 Food products,2019M05,Producer price index for manufactured products,Point figure (2015=100),102.4
10,2019M06,1,pisteluku15,10 Food products,2019M06,Producer price index for manufactured products,Point figure (2015=100),102.6
10,2019M07,1,pisteluku15,10 Food products,2019M07,Producer price index for manufactured products,Point figure (2015=100),102.7
10,2019M08,1,pisteluku15,10 Food products,2019M08,Producer price index for manufactured products,Point figure (2015=100),102.7
10,2019M09,1,pisteluku15,10 Food products,2019M09,Producer price index for manufactured products,Point figure (2015=100),101.8
10,2019M10,1,pisteluku15,10 Food products,2019M10,Producer price index for manufactured products,Point figure (2015=100),101.6
10,2019M11,1,pisteluku15,10 Food products,2019M11,Producer price index for manufactured products,Point figure (2015=100),101.5
10,2019M12,1,pisteluku15,10 Food products,2019M12,Producer price index for manufactured products,Point figure (2015=100),101.3
10,2020M01,1,pisteluku15,10 Food products,2020M01,Producer price index for manufactured products,Point figure (2015=100),101.7
10,2020M02,1,pisteluku15,10 Food products,2020M02,Producer price index for manufactured products,Point figure (2015=100),101.8
10,2020M03,1,pisteluku15,10 Food products,2020M03,Producer price index for manufactured products,Point figure (2015=100),102
10,2020M04,1,pisteluku15,10 Food products,2020M04,Producer price index for manufactured products,Point figure (2015=100),101.7
