Konsumgrp,ContentsCode,Tid,Konsumgrp_label,ContentsCode_label,Tid_label,value
01,KpiIndMnd,2015M01,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2015M01,97.2
01,KpiIndMnd,2015M02,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2015M02,99.1
01,KpiIndMnd,2015M03,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2015M03,97.7
01,KpiIndMnd,2015M04,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2015M04,98.1
01,KpiIndMnd,2015M05,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2015M05,99.7
01,KpiIndMnd,2015M06,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2015M06,100.7
01,KpiIndMnd,2015M07,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2015M07,102.6
01,KpiIndMnd,2015M08,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2015M08,101.7
01,KpiIndMnd,2015M09,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2015M09,101.9
01,KpiIndMnd,2015M10,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2015M10,100.9
01,KpiIndMnd,2015M11,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2015M11,101.6
01,KpiIndMnd,2015M12,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2015M12,98.6
01,KpiIndMnd,2016M01,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2016M01,98.9
01,KpiIndMnd,2016M02,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2016M02,102.3
01,KpiIndMnd,2016M03,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2016M03,99
01,KpiIndMnd,2016M04,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2016M04,102
01,KpiIndMnd,2016M05,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2016M05,102.1
01,KpiIndMnd,2016M06,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2016M06,103.1
01,KpiIndMnd,2016M07,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2016M07,106.1
01,KpiIndMnd,2016M08,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2016M08,105
01,KpiIndMnd,2016M09,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2016M09,104.6
01,KpiIndMnd,2016M10,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2016M10,104.1
01,KpiIndMnd,2016M11,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2016M11,103.2
01,KpiIndMnd,2016M12,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2016M12,100.3
01,KpiIndMnd,2017M01,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2017M01,100.9
01,KpiIndMnd,2017M02,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2017M02,102.4
01,KpiIndMnd,2017M03,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2017M03,102
01,KpiIndMnd,2017M04,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2017M04,99.9
01,KpiIndMnd,2017M05,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2017M05,102.8
01,KpiIndMnd,2017M06,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2017M06,104
01,KpiIndMnd,2017M07,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2017M07,106.8
01,KpiIndMnd,2017M08,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2017M08,103.2
01,KpiIndMnd,2017M09,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2017M09,102.6
01,KpiIndMnd,2017M10,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2017M10,102.9
01,KpiIndMnd,2017M11,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2017M11,102.4
01,KpiIndMnd,2017M12,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2017M12,100.9
