VareTjenesteGrp,ContentsCode,Tid,VareTjenesteGrp_label,ContentsCode_label,Tid_label,value
01,KpiIndMnd,2015M01,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2015M01,69.5
01,KpiIndMnd,2015M02,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2015M02,70.9
01,KpiIndMnd,2015M03,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2015M03,69.9
01,KpiIndMnd,2015M04,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2015M04,70.2
01,KpiIndMnd,2015M05,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2015M05,71.3
01,KpiIndMnd,2015M06,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2015M06,72.1
01,KpiIndMnd,2015M07,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2015M07,73.4
01,KpiIndMnd,2015M08,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2015M08,72.8
01,KpiIndMnd,2015M09,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2015M09,72.9
01,KpiIndMnd,2015M10,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2015M10,72.2
01,KpiIndMnd,2015M11,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2015M11,72.7
01,KpiIndMnd,2015M12,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2015M12,70.5
01,KpiIndMnd,2016M01,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2016M01,70.8
01,KpiIndMnd,2016M02,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2016M02,73.2
01,KpiIndMnd,2016M03,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2016M03,70.8
01,KpiIndMnd,2016M04,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2016M04,72.9
01,KpiIndMnd,2016M05,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2016M05,73
01,KpiIndMnd,2016M06,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2016M06,73.7
01,KpiIndMnd,2016M07,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2016M07,75.9
01,KpiIndMnd,2016M08,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2016M08,75.1
01,KpiIndMnd,2016M09,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2016M09,74.8
01,KpiIndMnd,2016M10,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2016M10,74.5
01,KpiIndMnd,2016M11,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2016M11,73.8
01,KpiIndMnd,2016M12,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2016M12,71.7
01,KpiIndMnd,2017M01,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2017M01,72.2
01,KpiIndMnd,2017M02,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2017M02,73.3
01,KpiIndMnd,2017M03,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2017M03,72.9
01,KpiIndMnd,2017M04,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2017M04,71.4
01,KpiIndMnd,2017M05,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2017M05,73.5
01,KpiIndMnd,2017M06,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2017M06,74.4
01,KpiIndMnd,2017M07,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2017M07,76.4
01,KpiIndMnd,2017M08,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2017M08,73.8
01,KpiIndMnd,2017M09,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2017M09,73.4
01,KpiIndMnd,2017M10,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2017M10,73.6
01,KpiIndMnd,2017M11,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2017M11,73.3
01,KpiIndMnd,2017M12,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2017M12,72.2
01,KpiIndMnd,2018M01,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2018M01,74
01,KpiIndMnd,2018M02,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2018M02,75.5
01,KpiIndMnd,2018M03,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2018M03,74.1
01,KpiIndMnd,2018M04,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2018M04,74.2
01,KpiIndMnd,2018M05,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2018M05,74.3
01,KpiIndMnd,2018M06,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2018M06,74.7
01,KpiIndMnd,2018M07,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2018M07,77.4
01,KpiIndMnd,2018M08,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2018M08,76.2
01,KpiIndMnd,2018M09,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2018M09,75.9
01,KpiIndMnd,2018M10,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2018M10,75.3
01,KpiIndMnd,2018M11,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2018M11,76.4
01,KpiIndMnd,2018M12,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2018M12,74.6
01,KpiIndMnd,2019M01,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2019M01,74.9
01,KpiIndMnd,2019M02,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2019M02,77
01,KpiIndMnd,2019M03,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2019M03,76.2
01,KpiIndMnd,2019M04,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2019M04,75.6
01,KpiIndMnd,2019M05,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2019M05,75
01,KpiIndMnd,2019M06,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2019M06,75.6
01,KpiIndMnd,2019M07,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2019M07,78.8
01,KpiIndMnd,2019M08,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2019M08,76.9
01,KpiIndMnd,2019M09,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2019M09,76.5
01,KpiIndMnd,2019M10,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2019M10,75.6
01,KpiIndMnd,2019M11,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2019M11,75.8
01,KpiIndMnd,2019M12,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2019M12,74.3
01,KpiIndMnd,2020M01,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2020M01,76.5
01,KpiIndMnd,2020M02,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2020M02,78.5
01,KpiIndMnd,2020M03,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2020M03,78.3
01,KpiIndMnd,2020M04,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2020M04,79
01,KpiIndMnd,2020M05,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2020M05,78.5
01,KpiIndMnd,2020M06,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2020M06,77.9
01,KpiIndMnd,2020M07,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2020M07,80.5
01,KpiIndMnd,2020M08,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2020M08,79.8
01,KpiIndMnd,2020M09,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2020M09,79.4
01,KpiIndMnd,2020M10,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2020M10,78.7
01,KpiIndMnd,2020M11,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2020M11,78.4
01,KpiIndMnd,2020M12,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2020M12,76.4
01,KpiIndMnd,2021M01,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2021M01,77
01,KpiIndMnd,2021M02,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2021M02,78.6
01,KpiIndMnd,2021M03,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2021M03,78.1
01,KpiIndMnd,2021M04,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2021M04,77.4
01,KpiIndMnd,2021M05,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2021M05,77
01,KpiIndMnd,2021M06,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2021M06,76.5
01,KpiIndMnd,2021M07,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2021M07,78.2
01,KpiIndMnd,2021M08,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2021M08,77.5
01,KpiIndMnd,2021M09,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2021M09,76.4
01,KpiIndMnd,2021M10,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2021M10,75.6
01,KpiIndMnd,2021M11,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2021M11,75.6
01,KpiIndMnd,2021M12,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2021M12,74.9
01,KpiIndMnd,2022M01,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2022M01,75.8
01,KpiIndMnd,2022M02,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2022M02,79.3
01,KpiIndMnd,2022M03,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2022M03,78.1
01,KpiIndMnd,2022M04,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2022M04,78.7
01,KpiIndMnd,2022M05,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2022M05,79
01,KpiIndMnd,2022M06,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2022M06,80.3
01,KpiIndMnd,2022M07,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2022M07,86.4
01,KpiIndMnd,2022M08,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2022M08,85.5
01,KpiIndMnd,2022M09,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2022M09,85.6
01,KpiIndMnd,2022M10,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2022M10,85.5
01,KpiIndMnd,2022M11,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2022M11,85.1
