Marked,NaringUtenriks,ContentsCode,Tid,Marked_label,NaringUtenriks_label,ContentsCode_label,Tid_label,value
01,SNN10,Indeksnivo,2015M01,Domestic market,Food products,Producer price index (2021=100),2015M01,83.6
01,SNN10,Indeksnivo,2015M02,Domestic market,Food products,Producer price index (2021=100),2015M02,84.8
01,SNN10,Indeksnivo,2015M03,Domestic market,Food products,Producer price index (2021=100),2015M03,85
01,SNN10,Indeksnivo,2015M04,Domestic market,Food products,Producer price index (2021=100),2015M04,85
01,SNN10,Indeksnivo,2015M05,Domestic market,Food products,Producer price index (2021=100),2015M05,85.6
01,SNN10,Indeksnivo,2015M06,Domestic market,Food products,Producer price index (2021=100),2015M06,85.1
01,SNN10,Indeksnivo,2015M07,Domestic market,Food products,Producer price index (2021=100),2015M07,86
01,SNN10,Indeksnivo,2015M08,Domestic market,Food products,Producer price index (2021=100),2015M08,86.4
01,SNN10,Indeksnivo,2015M09,Domestic market,Food products,Producer price index (2021=100),2015M09,86.2
01,SNN10,Indeksnivo,2015M10,Domestic market,Food products,Producer price index (2021=100),2015M10,86.4
01,SNN10,Indeksnivo,2015M11,Domestic market,Food products,Producer price index (2021=100),2015M11,86.8
01,SNN10,Indeksnivo,2015M12,Domestic market,Food products,Producer price index (2021=100),2015M12,87.2
01,SNN10,Indeksnivo,2016M01,Domestic market,Food products,Producer price index (2021=100),2016M01,87.9
01,SNN10,Indeksnivo,2016M02,Domestic market,Food products,Producer price index (2021=100),2016M02,88.2
01,SNN10,Indeksnivo,2016M03,Domestic market,Food products,Producer price index (2021=100),2016M03,89
01,SNN10,Indeksnivo,2016M04,Domestic market,Food products,Producer price index (2021=100),2016M04,89.1
01,SNN10,Indeksnivo,2016M05,Domestic market,Food products,Producer price index (2021=100),2016M05,89.6
01,SNN10,Indeksnivo,2016M06,Domestic market,Food products,Producer price index (2021=100),2016M06,89.9
01,SNN10,Indeksnivo,2016M07,Domestic market,Food products,Producer price index (2021=100),2016M07,90.7
01,SNN10,Indeksnivo,2016M08,Domestic market,Food products,Producer price index (2021=100),2016M08,90.4
01,SNN10,Indeksnivo,2016M09,Domestic market,Food products,Producer price index (2021=100),2016M09,89.5
01,SNN10,Indeksnivo,2016M10,Domestic market,Food products,Producer price index (2021=100),2016M10,89.7
01,SNN10,Indeksnivo,2016M11,Domestic market,Food products,Producer price index (2021=100),2016M11,89.7
01,SNN10,Indeksnivo,2016M12,Domestic market,Food products,Producer price index (2021=100),2016M12,90
01,SNN10,Indeksnivo,2017M01,Domestic market,Food products,Producer price index (2021=100),2017M01,89.3
01,SNN10,Indeksnivo,2017M02,Domestic market,Food products,Producer price index (2021=100),2017M02,90
01,SNN10,Indeksnivo,2017M03,Domestic market,Food products,Producer price index (2021=100),2017M03,90
01,SNN10,Indeksnivo,2017M04,Domestic market,Food products,Producer price index (2021=100),2017M04,90
01,SNN10,Indeksnivo,2017M05,Domestic market,Food products,Producer price index (2021=100),2017M05,90.2
01,SNN10,Indeksnivo,2017M06,Domestic market,Food products,Producer price index (2021=100),2017M06,90
01,SNN10,Indeksnivo,2017M07,Domestic market,Food products,Producer price index (2021=100),2017M07,90.6
01,SNN10,Indeksnivo,2017M08,Domestic market,Food products,Producer price index (2021=100),2017M08,90.5
01,SNN10,Indeksnivo,2017M09,Domestic market,Food products,Producer price index (2021=100),2017M09,90.1
01,SNN10,Indeksnivo,2017M10,Domestic market,Food products,Producer price index (2021=100),2017M10,89.9
01,SNN10,Indeksnivo,2017M11,Domestic market,Food products,Producer price index (2021=100),2017M11,90.1
