freq,na_item,ppp_cat,geo,time,freq_label,na_item_label,ppp_cat_label,geo_label,time_label,value
A,PLI_EU27_2020,A0101,DK,2015,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Denmark,2015,146.4
A,PLI_EU27_2020,A0101,DK,2016,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Denmark,2016,146.8
A,PLI_EU27_2020,A0101,DK,2017,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Denmark,2017,131.1
A,PLI_EU27_2020,A0101,DK,2018,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Denmark,2018,128.8
A,PLI_EU27_2020,A0101,DK,2019,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Denmark,2019,129.0
A,PLI_EU27_2020,A0101,DK,2020,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Denmark,2020,120.8
A,PLI_EU27_2020,A0101,DK,2021,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Denmark,2021,120.5
A,PLI_EU27_2020,A0101,DK,2022,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Denmark,2022,121.0
A,PLI_EU27_2020,A0101,DK,2023,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Denmark,2023,122.6
A,PLI_EU27_2020,A0101,DK,2024,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Denmark,2024,120.2
A,PLI_EU27_2020,A0101,FI,2015,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Finland,2015,121.1
A,PLI_EU27_2020,A0101,FI,2016,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Finland,2016,119.8
A,PLI_EU27_2020,A0101,FI,2017,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Finland,2017,118.1
A,PLI_EU27_2020,A0101,FI,2018,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Finland,2018,118.6
A,PLI_EU27_2020,A0101,FI,2019,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Finland,2019,118.7
A,PLI_EU27_2020,A0101,FI,2020,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Finland,2020,114.2
A,PLI_EU27_2020,A0101,FI,2021,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Finland,2021,114.4
