freq,unit,coicop,geo,time,freq_label,unit_label,coicop_label,geo_label,time_label,value
M,I15,CP01,DK,2015-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2015-01,99.5
M,I15,CP01,DK,2015-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2015-02,99.2
M,I15,CP01,DK,2015-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2015-03,99.7
M,I15,CP01,DK,2015-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2015-04,99.8
M,I15,CP01,DK,2015-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2015-05,100.0
M,I15,CP01,DK,2015-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2015-06,100.8
M,I15,CP01,DK,2015-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2015-07,100.7
M,I15,CP01,DK,2015-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2015-08,100.2
M,I15,CP01,DK,2015-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2015-09,100.4
M,I15,CP01,DK,2015-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2015-10,100.4
M,I15,CP01,DK,2015-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2015-11,99.6
M,I15,CP01,DK,2015-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2015-12,99.8
M,I15,CP01,DK,2016-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2016-01,99.4
M,I15,CP01,DK,2016-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2016-02,99.9
M,I15,CP01,DK,2016-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2016-03,99.0
M,I15,CP01,DK,2016-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2016-04,99.5
M,I15,CP01,DK,2016-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2016-05,100.4
M,I15,CP01,DK,2016-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2016-06,100.5
M,I15,CP01,DK,2016-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2016-07,100.5
M,I15,CP01,DK,2016-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2016-08,100.6
M,I15,CP01,DK,2016-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2016-09,100.2
M,I15,CP01,DK,2016-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2016-10,99.8
M,I15,CP01,DK,2016-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2016-11,100.6
M,I15,CP01,DK,2016-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2016-12,100.9
M,I15,CP01,DK,2017-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2017-01,101.4
M,I15,CP01,DK,2017-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2017-02,102.5
M,I15,CP01,DK,2017-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2017-03,101.4
